,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars,similarityIndex_Titan,similarityIndex_Arrakis
2846,KELT-14 b,KELT-14,0,0.02956,17.038,380.12468,0,,1904,5802,1.37,1.18,0.279,4.23,,94.0708138520835,72.0092715880373,95.7416534071641,95.2593123564279,1215.55482196227,2605.7145972071,1116.52748353187,1437.10622898974,1.96813655916733E-06,1.70915396273092E-06,8.30746582398682E-08,3.09380030271895E-09,6.09847188912569E-07
3083,HAT-P-53 b,HAT-P-53,0,0.03159,14.773,471.65972,0.134,,1778,5956,1.21,1.09,0.217,4.31,,85.4567133443768,65.4153549677192,86.9745534805053,86.5363805847993,1104.24600065798,2367.10831205223,1014.28663359213,1305.50986036222,2.26492876745118E-06,1.95781639688518E-06,9.65021033835155E-08,3.66194569024578E-09,5.9922372608663E-07
3529,HAT-P-31 b,HAT-P-31,0,0.055,11.99,689.98,0.245,,1450,6065,1.36,1.22,0.348,,,72.8818740943058,55.7895743705822,74.1763661168436,73.8026697673516,941.75770211026,2018.79154035974,865.035733671389,1113.40585833629,2.94864950395661E-06,2.52841783260908E-06,1.27747994291386E-07,5.01473933736045E-09,5.91112705922413E-07
2879,HATS-35 b,HATS-35,0,0.03199,16.41,388.38826,0.306,,2037,6300,1.43,1.32,0.465,4.24,,102.745351811157,78.6494518332921,104.570264245492,104.043445151222,1327.64459787328,2845.99496960321,1219.48566622044,1569.62589182792,1.61682066047352E-06,1.41023222868177E-06,6.79547486085667E-08,2.49330935976832E-09,5.8299995010497E-07
3009,K2-237 b,K2-237,0,0.03558,16.197,433.20012,0.042,1860,1828,6360,1.26,1.26,0.371,4.34,,92.0760268529398,70.4823032022053,93.7114359818802,93.2393230520433,1189.77878307937,2550.45999283894,1092.85133556276,1406.63215627166,1.9528747549663E-06,1.69427281312664E-06,8.26216492176543E-08,3.08966597845998E-09,5.82445250103938E-07
3079,KELT-3 b,KELT-3,0,0.04122,15.076,469.415,0,,1816,6306,1.47,1.28,0.489,4.21,,91.6598804429827,70.1637516916155,93.2878981839464,92.8179190136511,1184.40146407307,2538.93294496301,1087.91208942612,1400.27474770431,1.95501915235752E-06,1.69604896032994E-06,8.28838926689773E-08,3.10366563541181E-09,5.80022350853305E-07
3345,HATS-1 b,HATS-1,0,0.0444,14.594,589.55,0.12,,1359,5870,1.04,0.99,0.041,,,47.5237326996508,36.3784391216963,48.3678258795451,48.1241515003557,614.087410060469,1316.38367883118,564.059685532391,726.01319677005,5.69440083650681E-06,4.74730657488257E-06,2.53676936914025E-07,1.106565313563E-08,5.65045344502812E-07
2832,KELT-18 b,KELT-18,0,0.0455,17.598,375.0394,0,3152,2085,6670,1.91,1.52,0.813,4.06,,99.0656294760293,75.8327001315857,100.825184491018,100.317232897355,1280.09633029924,2744.06849730345,1175.81100294607,1513.41130547302,1.62588679697118E-06,1.41532306415409E-06,6.83655354590212E-08,2.52285435418092E-09,5.5313796879031E-07
3802,Kepler-434 b,Kepler-434,0,0.1143,12.67,908.96,0.131,,1000,5977,1.38,1.2,0.33,4.24,,49.8897623461154,38.1895861121488,50.7758797815671,50.5200737626159,644.660535006406,1381.92151925968,592.142116404976,762.158689762756,5.32871206244742E-06,4.46236218490289E-06,2.37274971928128E-07,1.02104909540783E-08,5.40544522848128E-07
3117,HAT-P-8 b,HAT-P-8,0,0.0487,16.81,483.08,0,,1700,6200,1.58,1.28,0.519,,,85.5920492154337,65.5189517911703,87.1122931207794,86.6734263005333,1105.99477016375,2370.85704814049,1015.89293647561,1307.57736690689,2.04212485894935E-06,1.76483207213266E-06,8.66922580917671E-08,3.28507913710172E-09,5.35158055925546E-07
3361,WASP-73 b,WASP-73,0,0.05512,13.002,597.5,0,,1790,6036,2.07,1.34,0.716,3.93,,87.1926177478983,66.7441540556127,88.7412901647573,88.2942165492672,1126.67683634187,2415.19199771827,1034.89010129852,1332.02902107826,1.93861261705287E-06,1.67808887529882E-06,8.27798640845523E-08,3.13254276598085E-09,5.33271678972617E-07
2931,KELT-7 b,KELT-7,0,0.04415,17.183,406.8224,0,,2048,6789,1.73,1.53,0.758,4.15,,98.822995235848,75.6469686152703,100.57824070073,100.071533195957,1276.96108347242,2737.34764993822,1172.93117458577,1509.70461724898,1.5670592659621E-06,1.36401526645038E-06,6.59278240788113E-08,2.43420371045878E-09,5.30234593187225E-07
3230,K2-34 b,K2-34,0,0.0465,15.435,539.67534,0.054,,1715,6149,1.58,1.23,0.484,4.2,,86.0777545514312,65.8907492277972,87.6066253162063,87.1652680782363,1112.27090873477,2384.31084355402,1021.65777824037,1314.99741713536,1.94665004718973E-06,1.68314656446907E-06,8.2780199931291E-08,3.13544060498511E-09,5.17199265822904E-07
2963,KELT-17 b,KELT-17,0,0.04881,17.094,416.3573,,,2087,7454,1.65,1.64,0.876,4.22,,97.4490675950972,74.5952552881091,99.1799100325786,98.6802472388562,1259.2076028725,2699.29053995467,1156.62401290122,1488.71532322832,1.54520784546601E-06,1.3440277542498E-06,6.50676425226743E-08,2.40845804566224E-09,5.12529084080854E-07
3024,OGLE-TR-56 b,OGLE-TR-56,0,0.02383,15.278,441.77,,,2212,6050,,,0.35,,,110.882001148506,84.877889410872,112.851432748798,112.282893594605,1432.78393845752,3071.37609561351,1316.05964317463,1693.92830792264,1.23556636342147E-06,1.08162137544427E-06,5.179644796266E-08,1.87831424609528E-09,5.0974517638831E-07
3561,HAT-P-14 b,HAT-P-14,0,0.0606,12.89,709.367,0.107,,1570,6600,1.47,1.39,0.563,4.25,,78.3063267068743,59.9418811849899,79.6971651903239,79.2956553664324,1011.85085066196,2169.04617062852,929.418619042959,1196.27443700767,2.21982312946532E-06,1.91057188218837E-06,9.54616781533054E-08,3.68915598910495E-09,5.03933678647734E-07
3262,K2-34 b,K2-34,0,0.04419,15.132,559.3808,0,,1742,6132,1.53,1.28,0.471,4.17,,87.6999390172979,67.1324980443022,89.25762222517,88.8079473578769,1133.23228951646,2429.2445436995,1040.91150280522,1339.77929479758,1.82900486816884E-06,1.58303857989058E-06,7.7723381370723E-08,2.93399813384319E-09,5.02277712384998E-07
3140,WASP-72 b,WASP-72,0,0.03708,14.24,491.3763,0,,2210,6250,1.98,1.39,0.724,3.99,,106.603347943386,81.6026684569744,108.496784208622,107.950183528205,1377.49646594595,2952.85953711429,1265.2762630762,1628.5639412187,1.26801618492257E-06,1.10818117126852E-06,5.3368811347658E-08,1.94865134996947E-09,4.92674297091419E-07
3328,HAT-P-36 b,HAT-P-36,0,0.0238,14.168,582.24,0.063,,1823,5560,1.1,1.02,0.013,,,48.7083507705243,37.2852398699896,49.5734845542938,49.3237361346913,629.394689218254,1349.19700820498,578.119929931876,744.110435848931,4.29024111040742E-06,3.58130112024769E-06,1.90898569101501E-07,8.27732779872292E-09,4.64224196240291E-07
3582,HAT-P-14 b,HAT-P-14,0,0.0596,13.451,724.6524,0.066,,1612,6583,1.53,1.32,0.592,4.1,,79.9582650581353,61.2064059882906,81.3784444585688,80.9684644445358,1033.19670222031,2214.80403855061,949.025492787917,1221.5108604773,1.96977654665067E-06,1.69702178735505E-06,8.44732577658171E-08,3.24956687592538E-09,4.63318802344717E-07
3675,WASP-161 b,WASP-161,0,0.0673,12.812,791.3967,,990,1557,6400,1.71,1.39,0.647,4.11,,76.9351143162532,58.8922463259105,78.3015979992408,77.9071189641582,994.132455709253,2131.06427171851,913.143684690895,1175.32662347086,2.07390983134969E-06,1.78320988951164E-06,8.93002367617658E-08,3.46377454878189E-09,4.57116218528127E-07
3074,HATS-23 b,HATS-23,0,0.03397,20.849,467.2101,0.114,,1654,5780,1.2,1.12,0.155,4.33,,75.7602181402546,57.9928874880221,77.105833894885,76.7173790519278,978.950799959089,2098.52023398098,899.198829564399,1157.37790437506,2.14081327066239E-06,1.83670923749906E-06,9.11761239939231E-08,3.53589205045519E-09,4.5572467234421E-07
3691,TOI-150.01,TOI-150,0,0.07037,14.067,797.7533,0.262,,1404,6255,1.53,1.35,0.497,4.13,,70.43708701377,53.9181401855432,71.6881559299198,71.3269950430327,910.166897239696,1951.07215831175,836.018529981688,1076.05719940456,2.39142571777393E-06,2.04541219591002E-06,1.03308531888396E-07,4.07940669030097E-09,4.47628694393583E-07
3837,EPIC 246851721 b,EPIC 246851721,0,0.07229,11.781,953.49,,642,1401,6202,1.59,1.32,0.526,4.16,,70.4877079831461,53.9568894955852,71.7396760040712,71.3782555619559,910.821006212478,1952.47433390082,836.619350802058,1076.83052863846,2.36156750491146E-06,2.02112091427699E-06,1.02582872534644E-07,4.05667325801667E-09,4.4635332408092E-07
3976,TOI-558 b,TOI-558,0,0.1291,12.173,1147.36055,0.298,,1061,6466,1.5,1.35,0.547,4.22,,53.2647356307676,40.773058688872,54.2107976827312,53.9376867410982,688.270926818296,1475.40659494777,632.199709979377,813.717668913016,3.77369439881952E-06,3.17412153187339E-06,1.67301605355628E-07,7.07605413902434E-09,4.31093869546057E-07
3362,HATS-42 b,HATS-42,0,0.03689,15.693,597.5204,0.229,,1856,6060,1.48,1.27,0.425,4.2,,93.5511154777705,71.6114531803151,95.2127244057845,94.7330480695297,1208.83943555288,2591.31921159662,1110.35917803618,1429.16687202727,1.40134740240711E-06,1.21671276959858E-06,5.9246919335803E-08,2.20966984824481E-09,4.29966038733394E-07
3395,HAT-P-36 b,HAT-P-36,0,0.02402,15.211,611.82275,0.063,1821,1820,5560,1.11,1.05,0.022,4.37,,55.3000130825827,42.3310216827418,56.2822247322038,55.9986780579089,714.57017117771,1531.78276464797,656.356439559048,844.810308425256,0.0000032038089677,2.69698935361014E-06,1.40744176208999E-07,5.89217400610255E-09,4.22599338013849E-07
2836,WASP-121 b,WASP-121,0,0.02544,20.905,375.99289,0,,2358,6459,1.46,1.35,0.519,4.24,,118.423897804118,90.6510560533627,120.527284865582,119.920075201287,1530.23806339881,3280.28286915386,1405.57449426529,1809.1447732465,9.0660345824227E-07,7.95360055321096E-07,3.7601255549009E-08,1.34714528478379E-09,4.13638043379511E-07
3247,HAT-P-49 b,HAT-P-49,0,0.0438,15.838,549.823,0,,2131,6820,1.83,1.54,0.814,4.1,,101.000869215549,77.3140863159354,102.794797007523,102.276922617074,1305.10291736592,2797.67367229736,1198.78038386154,1542.97568331102,1.16241958794928E-06,1.01294512598157E-06,4.8917886753426E-08,1.80054664175015E-09,4.10430460567244E-07
4078,CoRoT-20 b,CoRoT-20,0,0.0891,11.209,1315.8162,,,1024,,1.16,1.1,0.17,4.35,,47.8717654163575,36.6448510022001,48.7220401822903,48.4765812914187,618.584584366398,1326.02401139654,568.190489524183,731.330042288766,4.26355513339452E-06,3.56127984492994E-06,1.91279192511682E-07,8.3382822601296E-09,4.09888761389968E-07
3167,HATS-40 b,HATS-40,0,0.04997,17.71,505.3497,0.312,,2101,6460,2.26,1.56,0.903,3.92,,97.0450366163307,74.2859778907038,98.768702854169,98.2711116990223,1253.98683583168,2688.09908347646,1151.82856494539,1482.54300035246,1.23188106544096E-06,1.07107919138877E-06,5.18216733433193E-08,1.91903914096651E-09,4.05506964863379E-07
3061,HATS-67 b,HATS-67,0,0.03032,18.887,460.8535,0.057,3821,2193,6594,1.44,1.44,0.547,4.28,,109.910276009299,84.1340538194403,111.86244830532,111.298891598982,1420.22759786454,3044.4597942016,1304.52622723044,1679.08340339554,9.9230154975601E-07,8.67812108529297E-07,4.13925443356708E-08,1.50081386213726E-09,3.99827966174344E-07
3935,HATS-61 b,HATS-61,0,0.07908,13.395,1080.622,0.092,374.2,1226,5542,1.66,1.08,0.369,4.03,,61.6778642246938,47.2131354461296,62.7733561312648,62.4571075030338,796.982849372893,1708.44605838692,732.055222151056,942.243818656274,2.57587861811657E-06,2.18606157649101E-06,1.12519488383005E-07,4.5824072735478E-09,3.81018483292049E-07
3088,WASP-103 b,WASP-103,0,0.01985,17.127,473.547,,,2508,6110,1.44,1.22,0.413,4.22,,126.62321107922,96.9274615853768,128.872230312701,128.222979283837,1636.1871285786,3507.39975496717,1502.89223015875,1934.40449726267,7.31043229774612E-07,6.43401620096496E-07,3.03409208529639E-08,1.07793139340421E-09,3.75978541333757E-07
3661,Kepler-17 b,Kepler-17,0,0.02591,14.68,778.65,0.011,,1570,5781,1.01,1.04,0.012,4.45,,45.7580670550412,35.0268584163748,46.5707993496698,46.3361782887987,591.272008551843,1267.47562163949,543.102981341072,699.039377874726,3.91687294929714E-06,3.25548211187537E-06,1.74985654781299E-07,7.71974185249333E-09,3.7480331136393E-07
3338,HAT-P-57 b,HAT-P-57,0,0.0406,15.838,587.9855,0,,2200,7500,1.5,1.47,0.806,4.25,,104.647006374701,80.1051292567725,106.505695062635,105.969125377052,1352.21720737634,2898.66985198347,1242.05642432741,1598.67719378598,9.936878167209E-07,8.6734243876116E-07,4.17283075279059E-08,1.52689727114759E-09,3.72728308958183E-07
3504,Kepler-5 b,Kepler-5,0,0.05064,16.04,671.864,0.024,,1868,6297,1.79,1.37,0.669,4.07,,89.4366958609247,68.4619496575492,91.0252264901495,90.5666465322493,1155.67414017554,2477.35184153104,1061.52508813223,1366.31147811791,1.30442153443663E-06,1.12979596226576E-06,5.52608827813714E-08,2.07772015037863E-09,3.72277944533873E-07
3627,TOI-1333 b,TOI-1333,0,0.0626,15.648,753.2571,0.073,,1679,6274,1.93,1.46,0.713,4.03,,81.7318409572593,62.5640418306129,83.1835217410108,82.764447849422,1056.11431766357,2263.9312058447,970.076083873642,1248.60552318772,1.52675733237235E-06,1.31623399207369E-06,6.508890656719E-08,2.48997100579172E-09,3.71681012341542E-07
3564,HATS-52 b,HATS-52,0,0.02498,15.491,711.9392,0.246,,1834,6010,1.05,1.11,0.068,4.45,,71.9013552779925,55.039007400341,73.1784318072896,72.8097629945729,929.087732261074,1991.63165848054,853.397945480726,1098.42661407482,1.82281339429857E-06,1.559829736167E-06,7.84270554294627E-08,3.08257161763863E-09,3.66008133515376E-07
3901,HATS-36 b,HATS-36,0,0.05425,13.843,1022.14128,0.105,561,1356,6149,1.16,1.22,0.215,4.4,,65.0602621835946,49.8022914581557,66.215830580092,65.8822389597182,840.689180596965,1802.13679384638,772.200939262561,993.916223482086,2.21010192380873E-06,1.88134056844289E-06,9.60584650475809E-08,3.86255539942881E-09,3.62202681458807E-07
3485,HAT-P-23 b,HAT-P-23,0,0.0232,15.334,664.237,0.106,,2056,5905,1.2,1.13,0.199,4.33,,97.5832643541007,74.6979801447316,99.316490328451,98.8161394509002,1260.94165311421,2703.00772320753,1158.21679565171,1490.76542772277,1.08747078949648E-06,9.46102631212179E-07,4.58835043376171E-08,1.69915600574852E-09,3.62157390212111E-07
3274,HAT-P-7 b,HAT-P-7,0,0.0377,15.043,564.442,0,,2733,6532.23,1.99,1.35,0.814,3.97,,108.86580580633,83.3345333791318,110.799426736015,110.241225472397,1406.73126739151,3015.52849082728,1292.12939935587,1663.12718304179,8.20723732943743E-07,7.17646051090932E-07,3.44412546781652E-08,1.25314453208912E-09,3.36487897246515E-07
3924,HAT-P-34 b,HAT-P-34,0,0.0677,13.417,1057.694,0.441,,1520,6442,1.53,1.39,0.56,,,73.9875655563334,56.6359584244813,75.3016963271165,74.9223306274856,956.045115317756,2049.41864205722,878.159197316569,1130.29734701756,1.61749342272963E-06,1.38740148683783E-06,6.97138049824519E-08,2.72509512761957E-09,3.32672802854892E-07
3040,WASP-178 b,WASP-178,0,0.0545,21.745,448.1403,0,5550,2402,8640,1.8,1.93,1.215,4.21,,100.08105705452,76.6099890406884,101.858647595023,101.345489472523,1293.21738069568,2772.19533447358,1187.86312360385,1528.92384584958,9.51526707952631E-07,8.28083515175073E-07,3.97843608896734E-08,1.46395613714132E-09,3.31942806026604E-07
4059,HAT-P-21 b,HAT-P-21,0,0.0494,11.478,1291.289,0.228,,1283,5588,1.1,0.95,0.025,4.33,,39.8132465262921,30.4762206737276,40.5203898408689,40.3162504019043,514.454821971702,1102.80705978464,472.543843674318,608.221213746532,4.34955709318372E-06,3.58290421851814E-06,1.98256337510959E-07,9.14073750702649E-09,3.27134219334319E-07
3365,Qatar-7 b,Qatar-7,0,0.0352,19.055,597.5204,0,,2053,6387,1.56,1.41,0.563,4.2,,102.745268722748,78.6493882308252,104.570179681308,104.043361013067,1327.64352422979,2845.99266809574,1219.48468004324,1569.6246224983,9.06110340800864E-07,7.89886630513448E-07,3.79150546538139E-08,1.38961835864169E-09,3.24908372370061E-07
3629,HATS-12 b,HATS-12,0,0.04795,15.132,756.4354,0.085,,2097,6408,2.21,1.49,0.863,3.92,,97.9522595175526,74.980438346714,99.6920394026164,99.1897965300081,1265.70969786527,2713.22870508632,1162.59640314541,1496.40251351111,9.4253601233099E-07,8.20145654773235E-07,3.97677474415434E-08,1.47189814292992E-09,3.16703927507368E-07
3573,HATS-24 b,HATS-24,0,0.0238,15.637,718.2958,0,,2166,6125,1.12,1.07,0.19,4.37,,95.2370615267606,72.9020101761906,96.928615399769,96.4402945014501,1230.62472437414,2638.0190757741,1130.3696895048,1454.92282618064,9.75616265325532E-07,8.47624393467989E-07,4.11979698796917E-08,1.53209798161242E-09,3.14185322920705E-07
4188,Kepler-1514 b,Kepler-1514,0,0.753,12.42,1678.1424,0.401,3.23,388,6145,1.29,1.2,0.328,4.29,,19.4078326277547,14.8562963729074,19.7525450109581,19.653032803092,250.782188103514,537.587278215863,230.35177051564,296.49065441692,1.67164008985704E-05,9.55151899396614E-06,1.07327161915679E-06,6.42018201817194E-08,3.05302585215422E-07
3913,HATS-16 b,HATS-16,0,0.03744,14.572,1039.3041,0,,1592,5738,1.24,0.97,0.173,4.24,,74.1736534935825,56.7784049098886,75.4910894668354,75.110769615247,958.44968779002,2054.57318505094,880.367877009923,1133.14018554324,1.45040524056283E-06,1.24383585093753E-06,6.23477964004088E-08,2.43441935638944E-09,3.00541244756216E-07
4202,TOI-172 b,TOI-172,0,0.0914,10.817,1722.6386,0.3806,299,1198,5645,1.78,1.13,0.461,3.99,,60.6538256932989,46.4292550298319,61.7311291308419,61.4201311834651,783.750530827531,1680.08070211868,719.900898002273,926.599729996563,2.06430828997296E-06,1.75138008967881E-06,9.0928806182268E-08,3.72577096079228E-09,2.99335896207691E-07
3077,WASP-12 b,WASP-12,0,0.0234,21.297,467.2101,0,,2580,6360,1.66,1.43,0.607,4.16,,128.408954339695,98.2944112923518,130.689691067184,130.031283773531,1659.26196701328,3556.86395209848,1524.0872357849,1961.68503899413,5.71898467803555E-07,5.03353625378032E-07,2.36032211922376E-08,8.35781028515846E-10,2.99293724089736E-07
3796,Kepler-433 b,Kepler-433,0,0.0679,16.25,896.24,0.119,,1776,6360,2.26,1.46,0.88,3.89,,82.7164421995578,63.3177338139105,84.1856109865938,83.7614886258963,1068.83703939603,2291.20416888634,981.762326421459,1263.64713408102,1.14996928472281E-06,9.91819215335006E-07,4.8928881960791E-08,1.86700247436891E-09,2.87220876964493E-07
3657,HATS-24 b,HATS-24,0,0.02547,16.668,775.5052,0.242,,2067,6346,1.17,1.21,0.292,4.38,,102.503172176267,78.4640683079693,104.323783134971,103.798205798636,1324.51522531959,2839.28671457768,1216.61123357514,1565.92614854323,7.90523655600059E-07,6.89229225556368E-07,3.31787608560871E-08,1.21759871145439E-09,2.83978136286049E-07
4101,Qatar-5 b,Qatar-5,0,0.04127,12.408,1373.0256,0,669,1415,5747,1.08,1.13,0.056,4.43,,53.2887873775815,40.791469805961,54.2352766248495,53.9620423596865,688.581716271678,1476.07281633138,632.485180416435,814.085103973361,2.33394722983453E-06,1.96170234725876E-06,1.0339780712881E-07,4.37595202077222E-09,2.81658190171453E-07
3927,TOI-1107 b,TOI-1107,0,0.0561,14.572,1064.72516,0.025,532,1728,6311,1.81,1.35,0.671,4.05,,85.0364780592042,65.0936735073202,86.5468541827643,86.1108360120013,1098.81584643338,2355.46800437341,1009.29885655234,1299.08998663909,1.05476566433714E-06,9.11383724153826E-07,4.49249791275991E-08,1.70629366338496E-09,2.75589729241678E-07
4099,Qatar-3 b,Qatar-3,0,0.03783,12.285,1369.8473,0,1330,1681,6007,1.27,1.15,0.279,4.29,,83.1551106045476,63.6535254480901,84.6320708041653,84.2056992040839,1074.50538086234,2303.35506478497,986.96888635511,1270.34860791182,1.02325222539883E-06,8.83583736076039E-07,4.38718535187682E-08,1.67600872416932E-09,2.59009629810718E-07
3951,WASP-173 A b,WASP-173 A,0,0.02508,14.404,1102.8701,0,1920,1842,5767,1.1,1.09,0.083,4.39,,75.4243927641414,57.7358200754586,76.7640437535164,76.377310830017,974.611365244369,2089.21803865793,895.21291462709,1152.2475486345,1.16604562756539E-06,1.00072921782009E-06,5.00818143920206E-08,1.94938798829635E-09,2.53687541128296E-07
4240,TOI-559 b,TOI-559,0,0.0723,12.229,1910.14873,0.151,,1180,5925,1.23,1.03,0.227,4.27,,57.1272582337558,43.7297402327444,58.1419245135686,57.8490087766487,738.18128458753,1582.39654343992,678.044031564397,872.724868543457,1.84126226729439E-06,1.5554115490997E-06,8.11286947104913E-08,3.37010266137945E-09,2.40215644155845E-07
4084,HAT-P-16 b,HAT-P-16,0,0.0413,14.448,1332.605,0.036,,1626,6158,1.24,1.22,0.294,4.34,,80.6339383269094,61.7236199670326,82.0661187038153,81.6526742257145,1041.92754940125,2233.51985089763,957.045065953939,1231.83302336242,9.81107353423826E-07,8.45346539257254E-07,4.19366872112513E-08,1.60946356035739E-09,2.33285879000617E-07
4150,NGTS-13 b,NGTS-13,0,0.0549,12.801,1538.2972,0.086,1096,1605,5819,1.79,1.3,0.517,4.04,,80.5364586563691,61.6490012858199,81.966907647283,81.5539629888903,1040.66794635631,2230.81971267137,955.888078714358,1230.34384052242,9.65550704661264E-07,8.32218911833309E-07,4.14256912499278E-08,1.59186972004946E-09,2.30018740791465E-07
3773,KELT-16 b,KELT-16,0,0.02044,15.861,874.0325,0,,2453,6236,1.36,1.21,0.401,4.25,,123.865885810769,94.8167858509808,126.065930788196,125.430817738082,1600.55779904973,3431.02322108761,1470.1655074145,1892.28123759923,4.52296134408698E-07,3.97722799692015E-07,1.88136869973605E-08,6.70805422689517E-10,2.24600097254105E-07
3868,MASCARA-4 b,MASCARA-4,0,0.047,17.15,985.273,0,,2100,7800,1.92,1.75,1.087,4.1,,104.812848128084,80.2320777051905,106.674482415722,106.137062388972,1354.36016473742,2903.26358578803,1244.02480185054,1601.21073428651,5.74954203368942E-07,5.01745145529315E-07,2.4077391677103E-08,8.80152279933908E-10,2.14158690636212E-07
4184,KELT-24 b,KELT-24,0,0.06969,14.258,1646.3594,0.077,750.9,1459,6509,1.51,1.46,0.565,4.25,,73.0857898930239,55.9456677169635,74.3839037677436,74.00916185527,944.39264085753,2024.43990621907,867.456012440882,1116.52105052532,1.04209007807522E-06,8.93048562520034E-07,4.48558272355793E-08,1.75687025630103E-09,2.08063582405193E-07
4079,Kepler-1704 b,Kepler-1704,0,2.026,11.938,1318.98789,0.921,0.34,254,5745,1.7,1.13,0.452,4.03,,12.8194960704546,9.81306035696317,13.0471896582277,12.9814586524956,165.649680548844,355.093643519942,152.154734306833,195.841588915431,2.01649379643521E-05,1.12097438100857E-05,1.56350831177567E-06,2.21365904518123E-07,2.02839203583182E-07
3872,TOI-1431 b,TOI-1431,0,0.046,16.701,991.62463,0.0022,5300,2370,7690,1.92,1.9,1.068,4.15,,105.479961525094,80.7427392782997,107.35344475297,106.812604152254,1362.98040382461,2921.74229395905,1251.94277780816,1611.40212924769,5.14240165399329E-07,4.48859979714712E-07,2.1541962579452E-08,7.86970089642271E-10,1.96469734218552E-07
4264,TOI-628 b,TOI-628,0,0.0486,11.882,2011.8639,0.072,,1586,6250,1.34,1.31,0.394,4.3,,79.9764248572904,61.2203069407306,81.3969268031501,80.9868536761073,1033.43135769447,2215.30705592447,949.24103163596,1221.78828510471,8.09200986735664E-07,6.9736704135932E-07,3.48162760172874E-08,1.34068204902436E-09,1.91002102921977E-07
3970,HAT-P-69 b,HAT-P-69,0,0.06555,18.786,1137.8314,0,,1930,7394,1.93,1.65,1,4.11,,86.9199999427879,66.5354707375456,88.463830256198,88.0181544680805,1123.15415088838,2407.64062056795,1031.65439768928,1327.86427826574,6.72630902929555E-07,5.81367363717385E-07,2.84202609430488E-08,1.07315229859707E-09,1.82938738123576E-07
4031,KELT-21 b,KELT-21,0,0.05224,17.777,1242.7153,0,2950,2051,7598,1.64,1.46,0.905,4.17,,94.9656676885395,72.6942637795823,96.6524011975973,96.1654718508525,1227.11785465343,2630.50160189579,1127.1485131715,1450.77678173342,5.3011280588156E-07,4.60322822208067E-07,2.2303730531006E-08,8.28966048408492E-10,1.67831723154958E-07
3933,KELT-20 b,KELT-20,0,0.0542,19.515,1074.90106,,4362.5,2262,8720,1.56,1.76,1.104,4.29,,97.9825393183832,75.0036169109504,99.7228570183854,99.2204588883667,1266.10096436335,2714.06744045805,1162.95579442139,1496.86509365265,4.83846668305595E-07,4.20667486247342E-07,2.02779290282499E-08,7.4922513320081E-10,1.62441820200983E-07
4407,HAT-P-2 b,HAT-P-2,0,0.0679,11.243,2771.4776,,,1398,6290,1.51,1.31,0.505,4.2,,71.9936218824244,55.1096355867569,73.2723372057957,72.903195302977,930.279973630428,1994.1873973772,854.493058783587,1099.83615765723,8.23581232339184E-07,7.05776014038324E-07,3.57586719143747E-08,1.40810465185757E-09,1.61300123216734E-07
3991,MASCARA-1 b,MASCARA-1,0,0.043,16.814,1175.971,0,,2570,7554,2.1,1.72,1.176,4,,111.756725413867,85.5474728301034,113.741693436588,113.168669199254,1444.08686287272,3095.6055212286,1326.44175472224,1707.29134411763,3.61314160408546E-07,3.16185824679868E-07,1.50830942708121E-08,5.45968613534498E-10,1.52656283459985E-07
4194,HATS-66 b,HATS-66,0,0.04714,15.816,1694.0339,0.064,2637,1998,6626,1.84,1.41,0.767,4.06,,95.9202091977095,73.4249456559394,97.6238968038478,97.1320731170239,1239.4521535366,2656.94192533123,1138.47797642921,1465.35917442766,4.38547343873582E-07,3.81124875470518E-07,1.84916650715284E-08,6.86595396567515E-10,1.41252794849438E-07
4060,KELT-19 A b,KELT-19 A,0,0.0637,21.409,1293.5681,,2340,1935,7500,1.83,1.62,0.978,4.13,,87.6841432505111,67.1204067099774,89.2415459017379,88.7919520260556,1133.02818135902,2428.80700884246,1040.72402268233,1339.53798515103,5.13898856921672E-07,4.44234919230614E-07,2.16379745744943E-08,8.15042669922632E-10,1.41149624427628E-07
4426,HAT-P-2 b,HAT-P-2,0,0.06878,12.969,2888.95,0.5171,,1540,6290,1.64,1.36,0.577,4.16,,73.9552369589269,56.6112115486399,75.2687935250541,74.8895935878844,955.627374885251,2048.52315604281,877.775488852379,1129.80346770681,6.04127081938078E-07,5.1816462187786E-07,2.60528128379026E-08,1.01878985011333E-09,1.24568952590246E-07
3807,KELT-9 b,KELT-9,0,0.03462,21.196,915.3504,0,44900,4050,10170,2.36,2.52,1.724,4.09,,137.049308621829,104.908424636569,139.483511074907,138.780801011961,1770.91003171085,3796.19745370291,1626.63969205071,2093.68248273962,1.67783020746675E-07,1.47980865203664E-07,6.8977866721081E-09,2.42213752737868E-10,1.0105759515269E-07
