Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
YZ Cet d,YZ Cet,0,0.0276,,1.21,0.02,,,,0.17,0.13,,,
Proxima Cen b,Proxima Cen,0,0.0485,,1.27,0.35,0.65,234,3050,0.14,0.12,-2.81,,
OGLE-2018-BLG-0596L b,OGLE-2018-BLG-0596L,0,3.02,,1.3,,,,,,0.2,,,
TRAPPIST-1 c,TRAPPIST-1,0,0.0158,1.097,1.308,,2.21,,2566,0.12,0.09,-3.257,5.24,
TRAPPIST-1 g,TRAPPIST-1,0,0.04683,1.129,1.321,,0.25,,2566,0.12,0.09,-3.257,5.24,
TRAPPIST-1 g,TRAPPIST-1,0,0.0451,1.127,1.34,0.061,0.26,199,2559,0.12,0.08,-3.281,,
Wolf 1061 b,Wolf 1061,0,0.035509,,1.36,0,,,3393,,0.25,-2.104,,
GJ 1061 b,GJ 1061,0,0.021,,1.37,0.31,3.8,,2953,0.16,0.12,-2.77,,
TRAPPIST-1 b,TRAPPIST-1,0,0.01154,1.116,1.374,,4.15,,2566,0.12,0.09,-3.257,5.24,
TRAPPIST-1 c,TRAPPIST-1,0,0.01521,1.056,1.38,0.083,2.27,342,2559,0.12,0.08,-3.281,,
LHS 1678 c,LHS 1678,0,0.0331,0.982,1.4,0.22,13.5,,3490,0.33,0.34,-1.839,,
Ross 128 b,Ross 128,0,0.0496,,1.4,0.116,1.38,301,3192,0.2,0.17,-2.441,,
TOI-500 b,TOI-500,0,0.01189,1.166,1.42,0.063,1138,1617,4440,0.68,0.74,,4.62,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
GJ 9827 c,GJ 9827,0,0.0429,1.24,1.45,,59,771,4219,0.62,0.64,,4.66,
Kepler-307 c,Kepler-307,0,,2.8,1.5,,,,,1.08,0.98,,4.36,
TOI-178 b,TOI-178,0,0.02607,1.152,1.5,,,1040,4316,0.65,0.65,-0.879,4.45,
LTT 1445 A c,LTT 1445 A,0,0.02661,1.147,1.54,0.223,10.9,508,3340,0.27,0.26,,,
GJ 1132 b,GJ 1132,0,,,1.58,,,,,,,,,
TOI-270 b,TOI-270,0,0.03197,1.206,1.58,0.034,,581,3506,0.38,0.39,-1.712,4.87,
TOI-561 b,TOI-561,0,0.01055,1.423,1.59,0,,,5455,0.85,0.79,,4.47,
Kepler-138 c,Kepler-138,0,,1.75,1.6,,,,,0.55,0.59,,,
GJ 1132 b,GJ 1132,0,,1.16,1.62,0,,409,3270,0.21,0.18,-2.359,,
GJ 1132 b,GJ 1132,0,0.01533,1.43,1.63,,,644,,0.26,0.18,,4.88,
K2-138 f,K2-138,0,0.10447,2.904,1.63,0.062,,,5356.3,0.86,0.94,,4.54,
GJ 1061 d,GJ 1061,0,0.054,,1.64,0.53,0.6,,2953,0.16,0.12,-2.77,,
GJ 581 e,GJ 581,0,0.029,,1.657,0.125,,,3396,0.33,0.31,-1.885,4.89,
GJ 1132 b,GJ 1132,0,0.0153,1.13,1.66,0.22,,529,3270,0.21,0.18,-2.359,,
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,0,0.702,,1.66,,,,,,0.11,,,
Kepler-78 b,Kepler-78,0,,1.2,1.69,,,,5121,0.74,0.83,,4.61,
GJ 581 e,GJ 581,0,0.028453,,1.7,0,,,,0.29,0.31,-1.886,,
GJ 581 e,GJ 581,0,0.02815,,1.7,0,,,3396,0.33,0.31,-1.885,4.89,
Kepler-11 f,Kepler-11,0,,2.6,1.7,,,,,,0.9,,,
GJ 393 b,GJ 393,0,0.05402,,1.71,,9.21,485,3579,0.43,0.43,-1.571,4.88,
HD 215152 c,HD 215152,0,0.067393,,1.72,0,,,4935,0.73,0.77,,4.4,
GJ 1061 c,GJ 1061,0,0.035,,1.74,0.29,1.4,,2953,0.16,0.12,-2.77,,
tau Cet g,tau Cet,0,0.133,,1.75,0.06,,,,,0.78,,,
LHS 1140 c,LHS 1140,0,0.02734,1.169,1.76,0.274,,709,2988,0.21,0.19,-2.488,,
Kepler-78 b,Kepler-78,0,,1.228,1.77,,,,5121,0.75,0.78,,4.61,
GJ 3138 b,GJ 3138,0,0.0197,,1.78,0.19,118.1,,3717,0.5,0.68,-1.347,,
K2-3 d,K2-3,0,0.2097,1.65,1.8,,,,3835,0.6,0.62,-1.15,4.66,
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,0,1.45,,1.8,,,,,,0.42,,,
LHS 1140 c,LHS 1140,0,0.02675,1.282,1.81,0.31,6.16,438,3216,0.21,0.18,-2.356,,
