Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.1,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.1,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.7,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.7,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.1,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.7,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.7,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.7,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.1,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.1,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.7,,21,,,,,,0.38,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0,2.1,,21,,,,,,0.38,,,
GJ 3293 c,GJ 3293,0,0.36175,,21.09,0.11,0.17,,3466,0.4,0.42,-1.658,,
K2-32 b,K2-32,0,,5.38,21.1,0,,,5315,0.87,0.87,,4.43,
Kepler-48 b,Kepler-48,0,,2.14,21.1,,,,5190,0.89,0.89,,4.49,
K2-233 d,K2-233,0,0.15224,2.358,21.14,0.1999,,523,5033,0.71,0.79,,4.64,
Kepler-27 c,Kepler-27,0,,7.17,21.2,,,,,0.86,0.98,,,
GJ 436 b,GJ 436,0,0.02849,,21.23094,0.145,,,3586.11,0.42,0.44,,4.84,
GJ 436 b,GJ 436,0,0.0278,,21.294,0.12,,,,,0.41,,,
HD 219134 d,HD 219134,0,0.23508,,21.29461,0,,,4913,0.77,0.79,-0.509,4.51,
K2-229 c,K2-229,0,0.07577,2.12,21.3,0,,800,5185,0.79,0.84,,4.56,
K2-66 b,K2-66,0,0.05983,2.49,21.3,0,840,1372,5887,1.67,1.11,,4.03,
GJ 436 b,GJ 436,0,0.028,,21.36,0.152,,,3456,0.43,0.42,-1.633,4.8,
GJ 436 b,GJ 436,0,0.0278,,21.3891,0.207,,,3456,0.43,0.42,-1.633,4.8,
HD 10180 g,HD 10180,0,1.422,,21.4,0.19,,,5911,,1.06,0.173,4.39,
HD 190360 c,HD 190360,0,0.1294,,21.45342,0.165,,,5537.68,1.17,0.99,,4.3,
Kepler-54 b,Kepler-54,0,,2.19,21.5,,,,,0.53,0.56,,,
HD 192310 b,HD 192310,0,0.319,,21.6,0.3,,,5144,0.73,0.85,0.34,4.6,
Kepler-245 d,Kepler-245,0,,3.31,21.6,,,,,0.87,0.8,,,
GJ 436 b,GJ 436,0,0.0278,,21.6751,0.145,,,3456,0.43,0.42,-1.633,4.8,
GJ 436 b,GJ 436,0,,,21.67601,0.1495,,,,,0.45,,,
MOA-2013-BLG-605L b,MOA-2013-BLG-605L,0,4.13,,21.77,,,,,,0.18,,,
K2-100 b,K2-100,0,0.0301,3.88,21.8,0,1915,1841,5945,1.24,1.15,,4.33,
Kepler-109 c,Kepler-109,0,,2.52,21.8,,,,5952,1.32,1.04,,4.21,
Kepler-409 b,Kepler-409,0,,1.19,22,,,,5460,0.89,0.92,,4.5,
WASP-47 e,WASP-47,0,,1.829,22,,,,5576,1.15,1.04,,4.34,
GJ 436 b,GJ 436,0,0.0291,4.17,22.1,0.13827,,,,0.46,0.47,,4.79,
HD 16417 b,HD 16417,0,0.14,,22.1,0.2,,,,,1.2,,,
Kepler-56 b,Kepler-56,0,0.1028,6.51,22.1,,,,4840,4.23,1.32,,3.31,
AU Mic c,AU Mic,0,,,22.2,0.041,,,3700,0.75,0.5,-1.046,4.39,
BD+20 594 b,BD+20 594,0,,2.578,22.2481,0,,,5766,1.08,1.67,,4.5,
HAT-P-26 b,HAT-P-26,0,,7.062,22.2481,0.12,,,5079,0.87,1.12,,4.56,
HD 47186 b,HD 47186,0,0.05,,22.2481,0.04,,,5657,1.08,0.96,,4.36,
HD 99492 b,HD 99492,0,0.12,,22.2481,0.25,,,4815,0.83,0.48,,4.28,
TOI-132 b,TOI-132,0,0.026,3.42,22.4,0.059,860,1395,5397,0.9,0.97,-0.222,4.48,
Kepler-19 d,Kepler-19,0,,,22.5,0.05,,,5544,0.86,0.94,,4.51,
GJ 436 b,GJ 436,0,0.0285,,22.6603,0.16,,,3350,,0.44,-1.62,,
GJ 143 b,GJ 143,0,0.1915,2.61,22.7,0.188,,422,4640,0.69,0.73,-0.686,4.61,
Kepler-189 c,Kepler-189,0,,2.4,22.7,,,,,0.76,0.84,,,
HD 47186 b,HD 47186,0,0.05,,22.78,0.038,,,,,,,,
61 Vir d,61 Vir,0,0.476,,22.9,0.35,,,5577,0.96,0.94,-0.095,4.34,
HIP 48714 b,HIP 48714,0,0.112,,22.9,0.5,,,,,0.58,,,
HD 10180 f,HD 10180,0,0.4929,,22.94733,0.119,,,5911,1.11,1.06,,4.39,
Kepler-176 c,Kepler-176,0,,2.56,23,,,,,0.88,0.83,,,
GJ 436 b,GJ 436,0,0.02872,4.2,23.1,,,,,0.45,,,,
Kepler-30 d,Kepler-30,0,0.5,8.8,23.1,0.022,,,5498,0.95,0.99,,4.77,
Kepler-60 b,Kepler-60,0,,2.2,23.1,,,,,1.45,1.1,,,
GJ 436 b,GJ 436,0,0.03109,4.191,23.13802,0.15,,686,3350,,,,4.43,
GJ 436 b,GJ 436,0,0.02872,4.222,23.1688,,,649,3350,0.46,0.45,-1.585,4.84,
GJ 436 b,GJ 436,0,0.029,4.26,23.201,0.2,,650,,,,,,
HD 10180 g,HD 10180,0,1.427,,23.26516,0.263,,,5911,1.11,1.06,,4.39,
HAT-P-11 b,HAT-P-11,0,0.05254,4.36,23.4,0.218,,,4780,0.68,0.81,,,
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,0,1.1,,23.4,,,,,,0.21,,,
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,0,1.1,,23.4,,,,,,0.21,,,
GJ 436 b,GJ 436,0,0.02887,4.091,23.42407,,,669,3500,0.45,0.46,,4.79,
HATS-38 b,HATS-38,0,0.05036,6.882,23.51942,0,464.7,1294,5732,1.1,0.89,0.072,4.3,
GJ 3293 b,GJ 3293,0,0.14339,,23.54,0.06,1.07,,3466,0.4,0.42,-1.658,,
Kepler-215 d,Kepler-215,0,,2.34,23.6,,,,,1.01,0.81,,,
TOI-674 b,TOI-674,0,0.025,5.25,23.6,0,38.4,635,3514,0.42,0.42,-1.614,4.81,
Kepler-4 b,Kepler-4,0,0.0449,4.125,23.83725,,,1620,5857,1.48,1.17,,4.17,
HD 10180 f,HD 10180,0,0.4929,,23.9,0.135,,,5911,,1.06,0.173,4.39,
HD 192310 c,HD 192310,0,1.18,,24,0.32,,185,5166,,0.8,-0.415,4.51,
Kepler-226 b,Kepler-226,0,,1.56,24,,,,,0.81,0.88,,,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.5,,24,,,,,,0.38,,,
HAT-P-11 b,HAT-P-11,0,,,24.02795,0.232,,,,,0.81,,,
Kepler-231 c,Kepler-231,0,,2.13,24.1,,,,,0.61,0.65,,,
HD 109271 c,HD 109271,0,0.196,,24.154,0.15,,,5783,,1.05,0.301,4.28,
DMPP-1 b,DMPP-1,0,0.1462,,24.27,0.083,,877,6196,1.26,1.21,,4.41,
HD 11964 c,HD 11964,0,0.2315,,24.34566,0.106,,,5345.6,2.05,1.15,,3.87,
Kepler-4 b,Kepler-4,0,0.0456,4.002,24.472,0,,1650,5857,1.49,1.22,0.354,4.17,
K2-25 b,K2-25,0,0.0287,3.44,24.5,0.428,9.91,494,3207,0.29,0.26,-2.088,4.94,
K2-292 b,K2-292,0,0.13,2.63,24.5,0.04,67,795,5725,1.09,1,,4.33,
Kepler-25 c,Kepler-25,0,,5.2,24.6,,,,6270,1.31,1.19,,4.28,
Kepler-83 d,Kepler-83,0,,2.13,24.6,,,,,0.59,0.63,,,
HD 147379 b,HD 147379,0,0.3193,,24.7,0.01,,,4090,0.57,0.58,-1.097,,
HD 11964 c,HD 11964,0,0.229,,25,0.3,,,5303,2.01,0.91,0.459,3.79,
Kepler-11 g,Kepler-11,0,0.466,3.33,25,0.15,,,5663,1.06,0.96,,4.37,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.2,,25,,,,,,0.38,,,
rho CrB c,rho CrB,0,0.4123,,25,0.052,9.85,448,5627,1.36,0.89,0.232,4.12,
HD 10180 e,HD 10180,0,0.2699,,25.1,0.026,,,5911,,1.06,0.173,4.39,
HD 99492 b,HD 99492,0,0.123,,25.10857,0.07,,,4929,0.78,0.85,,4.57,
Kepler-11 g,Kepler-11,0,,,25.13,0.052,,,5820,1.13,1.05,0.12,4.35,
Kepler-276 c,Kepler-276,0,,2.83,25.2,,,,,1.03,1.1,,,
Kepler-33 f,Kepler-33,0,,4.15,25.2,,,,,1.69,1.1,,,
GJ 436 b,GJ 436,0,0.0308,4.1,25.4,0.1616,,,3416,0.46,0.56,,4.84,
GJ 436 b,GJ 436,0,,,25.4,0.1616,,,3479,0.45,0.45,,,
HD 10180 e,HD 10180,0,0.2699,,25.58532,0.051,,,5911,1.11,1.06,,4.39,
K2-19 c,K2-19,0,,4.86,25.6,0,,,5430,0.86,0.93,,4.63,
Kepler-411 b,Kepler-411,0,0.0375,2.401,25.6,0.146,,1138,,0.82,0.87,,,
GJ 3293 b,GJ 3293,0,0.1434,,25.72,0.07,,,3466,0.4,0.42,-1.658,,
GJ 3293 c,GJ 3293,0,0.364,,25.72,0.33,,,3466,0.4,0.42,-1.658,,
HAT-P-11 b,HAT-P-11,0,0.053,4.73,25.743,0.198,,878,4780,0.75,0.81,-0.585,,
HD 179079 b,HD 179079,0,0.1214,,25.74423,0.049,,,5646,1.63,1.14,0.38,,
K2-24 c,K2-24,0,,7.82,26,0,,,5743,1.21,1.12,,4.29,
Kepler-411 c,Kepler-411,0,0.0739,4.421,26.4,0.108,,838,,0.82,0.87,,,
Kepler-65 c,Kepler-65,0,,2.61,26.6,,,,,1.42,1.27,,,
HAT-P-11 b,HAT-P-11,0,0.05259,4.45,26.69772,,,838,4780,0.69,0.81,,4.66,
HD 99492 b,HD 99492,0,0.1231,,26.72937,0.085,,,4936.48,0.82,0.86,,4.54,
TOI-1728 b,TOI-1728,0,0.0391,5.05,26.78,0.057,57.78,767,3980,0.62,0.65,-1.056,4.66,
EPIC 211945201 b,EPIC 211945201,0,0.148,6.12,27,0,,886,6025,1.38,1.18,,4.25,
K2-10 b,K2-10,0,,3.84,27,0.31,,,5620,0.98,0.92,,4.5,
K2-24 c,K2-24,0,0.247,7.82,27,0,24,606,5743,1.21,1.12,0.158,4.29,
MOA-2011-BLG-291L b,MOA-2011-BLG-291L,0,1.2,,27,,,,,,0.22,,,
HD 152843 c,HD 152843,0,,5.83,27.5,0.115,,,6310,1.43,1.15,,4.19,
HD 179079 b,HD 179079,0,0.1216,,27.5,0.115,,,5684,1.6,1.15,0.382,4.06,
HD 99492 b,HD 99492,0,0.12186,,27.65,0.13,,,4740,0.96,0.83,-0.379,4.77,
Kepler-122 e,Kepler-122,0,,2.02,27.7,,,,,0.95,1.03,,,
CoRoT-24 c,CoRoT-24,0,0.098,5,28,0,,850,4950,0.86,0.91,,4.55,
rho CrB c,rho CrB,0,0.4157,,28.12781,0.044,,,5770.31,1.36,0.91,,4.13,
Kepler-333 b,Kepler-333,0,,1.61,28.2,,,,,0.64,0.67,,,
TOI-1710 b,TOI-1710,0,0.16,5.34,28.3,0.16,,,5665,0.97,0.98,,4.46,
K2-19 b,K2-19,0,,7.74,28.5,0,,,5430,0.86,0.93,,4.63,
Kepler-328 b,Kepler-328,0,,2.3,28.5,,,,,1.06,1.15,,4.44,
HD 147379 b,HD 147379,0,0.323,,28.55,0.07,,,4156,,0.6,-0.971,,
HAT-P-11 b,HAT-P-11,0,,4.82,28.6047,0.2,,,4708,0.77,0.88,,4.37,
HD 103197 b,HD 103197,0,0.25,,28.6047,0,,,5250,0.88,0.8,,4.45,
K2-39 b,K2-39,0,,6.277,28.6047,0,,,4881,2.97,0.66,,3.44,
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,0,1.065,,29,,,,,,0.02,,,
K2-27 b,K2-27,0,,4.45,29.1,0.16,,,5320,0.85,0.89,,4.6,
NGTS-14 A b,NGTS-14 A,0,0.0403,4.977,29.24036,0,,1143,5187,0.84,0.9,,4.2,
HD 134060 c,HD 134060,0,2.3928,,29.29,0.11,,,5966,,1.09,0.158,4.43,
LTT 9779 b,LTT 9779,0,0.01679,4.72,29.32,0,,1978,5443,0.95,0.77,-0.149,4.35,
GJ 163 d,GJ 163,0,1.0304,,29.4,0.373,,,,,,,,
Kepler-31 c,Kepler-31,0,,4.71,29.5,,,,,1.16,1.19,,,
Kepler-117 b,Kepler-117,0,0.1445,8.059,29.875,0.0493,,984,6150,1.61,1.13,,4.1,
Kepler-9 c,Kepler-9,0,,,29.875,0.068,,,5754,1.05,1.03,0.037,4.41,
Kepler-414 c,Kepler-414,0,,3.01,29.9,,,,,0.95,0.89,,,
Kepler-9 c,Kepler-9,0,,8.3,29.9,,,,,,1,,,
Kepler-9 c,Kepler-9,0,0.227,8.08,29.9,0.06691,,,5774,0.96,1.02,-0.038,4.49,
K2-105 b,K2-105,0,0.081,3.59,30,,,,5434,0.95,1.01,,4.48,
Kepler-56 b,Kepler-56,0,,,30,0.04,,,4819.44,4.22,,,,
MOA-2011-BLG-028L b,MOA-2011-BLG-028L,0,4.14,,30,,,,,,0.75,,,
MOA-2011-BLG-028L b,MOA-2011-BLG-028L,0,4.14,,30,,,,,,0.75,,,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.6,,30,,,,,,0.47,,,
TOI-216.02,TOI-216,0,0.1293,7.69,30,0.132,25.9,628,5026,0.84,0.87,,4.66,
WASP-107 b,WASP-107,0,,,30.5,0.06,,,4425,0.67,0.68,-0.879,4.63,
Kepler-338 b,Kepler-338,0,,2.43,30.6,,,,,1.74,1.14,,,
GJ 143 b,GJ 143,0,0.1932,,30.63,0.325,,,,0.73,0.76,-0.706,,
HD 34445 d,HD 34445,0,0.4817,,30.7,0.027,,,5836,1.38,1.07,0.303,4.21,
Kepler-128 b,Kepler-128,0,,1.13,30.7,,,,,1.66,1.18,,4.07,
LP 714-47 b,LP 714-47,0,0.0417,4.7,30.8,0.04,,700,3950,0.58,0.59,-1.125,4.64,
HD 147379 b,HD 147379,0,0.3315,,30.82936,0.1,,,4126.06,0.63,0.65,,4.65,
GJ 9066 b,GJ 9066,0,0.403,,30.9,0.18,,,,,0.15,,,
K2-27 b,K2-27,0,0.06702,4.48,30.9,0.251,116,902,5248,0.89,0.87,,4.48,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.4,,31,,,,,,0.5,,,
HD 103197 b,HD 103197,0,0.249,,31.2,0,,,5303,,0.9,-0.328,4.4,
HATS-37 A b,HATS-37 A,0,0.04913,6.793,31.46517,0,229.7,1085,5326,0.88,0.84,-0.256,4.48,
HD 85390 b,HD 85390,0,1.373,,31.46517,0.5,,,5186,,0.76,,4.41,
HD 156668 c,HD 156668,0,1.57,,31.4968,0.089,,,4903.69,0.77,0.79,,4.55,
HD 179079 b,HD 179079,0,0.12,,31.783,0.12,,,5730,1.7,1.53,,4.16,
HD 49674 b,HD 49674,0,0.06,,31.783,0.09,,,5602,1.02,1.03,,4.44,
GJ 229 b,GJ 229,0,0.97,,32,0.1,,,3564,,0.58,-1.553,,
Kepler-56 b,Kepler-56,0,,5.1,32,,,,,,1.4,,,
WASP-166 b,WASP-166,0,0.0641,7.062,32.10083,0,440,1270,6050,1.22,1.19,,4.34,
K2-98 b,K2-98,0,0.0943,4.3,32.2,0,,1102,6120,1.31,1.07,,4.23,
K2-19 b,K2-19,0,,7,32.4,0.2,,,5322,0.82,0.88,,4.51,
GJ 433 c,GJ 433,0,4.819,,32.422,0.12,,,,,0.48,,,
TOI-1338 b,TOI-1338,0,0.4607,6.85,33,0.088,,,6050,1.33,1.13,,4,
HD 177830 c,HD 177830,0,0.496,,33.05415,0.54,,,4744.94,3.58,1.32,,3.45,
TOI-500 d,TOI-500,0,,,33.12,0.016,,,4440,0.68,0.74,,4.62,
Kepler-128 c,Kepler-128,0,,1.13,33.3,,,,,1.66,1.18,,4.07,
Kepler-24 b,Kepler-24,0,,2.02,33.3,,,,,1.09,0.97,,,
HD 49674 b,HD 49674,0,0.058,,33.4,0.087,,,5662,,1.06,,4.56,
Kepler-24 c,Kepler-24,0,,2.36,33.6,,,,,1.09,0.97,,,
MOA-2015-BLG-337L b,MOA-2015-BLG-337L,0,0.24,,33.7,,,,,,0.01,,,
MOA-2015-BLG-337L b,MOA-2015-BLG-337L,0,0.24,,33.7,,,,,,0.01,,,
Kepler-203 d,Kepler-203,0,,1.22,33.9,,,,,0.94,1.01,,,
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,0,3.45,,34,,,,,,0.76,,,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,3,,34,,,,,,0.55,,,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.7,,34,,,,,,0.54,,,
HD 206255 b,HD 206255,0,0.461,,34.2,0.23,,,5635,,1.42,,,
HD 99492 b,HD 99492,0,0.1232,,34.6,0.254,,,5069.61,0.75,0.85,-0.475,4.62,
Kepler-58 b,Kepler-58,0,,2.66,34.9,,,,,1.08,1.02,,,
HD 85390 b,HD 85390,0,1.52,,34.9613,0.41,,,5164,0.8,0.54,,4.36,
HD 89345 b,HD 89345,0,0.1066,7.398,34.9613,0.22,,1089,5576,1.75,1.16,0.425,4.02,
K2-32 d,K2-32,0,,3.75,35,0,,,5315,0.87,0.87,,4.43,
KOI-94 e,KOI-94,0,0.3046,6.56,35,0.019,,584,6182,1.52,1.28,0.479,4.18,
Kepler-62 f,Kepler-62,0,0.718,1.41,35,,,208,4925,0.64,0.69,-0.678,4.68,
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,0,3.82,,35,,,,,,0.82,,,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.6,,35,,,,,,0.57,,,
Kepler-231 b,Kepler-231,0,,2.2,35.4,,,,,0.61,0.65,,,
Kepler-53 c,Kepler-53,0,,3.12,35.5,,,,,0.94,1.02,,,
Kepler-58 b,Kepler-58,0,,2.78,35.5,,,,5843,1.03,0.95,,4.39,
HD 99492 b,HD 99492,0,0.119,,35.59696,0.05,,,4954,,0.78,,4.77,
HD 89345 b,HD 89345,0,0.105,6.86,35.7,0.203,,1053,5499,1.66,1.12,0.356,4.04,
Kepler-183 c,Kepler-183,0,,2.23,35.7,,,,,0.94,1.04,,,
GJ 15 A c,GJ 15 A,0,5.4,,36,0.27,,,3607,0.38,0.38,-1.655,4.87,
Kepler-122 f,Kepler-122,0,,1.75,36,,,,,0.95,1.03,,,
Kepler-22 b,Kepler-22,0,0.849,2.38,36,0,,262,5518,0.98,0.97,-0.102,4.44,
Kepler-53 c,Kepler-53,0,,3.17,36,,,,5858,0.89,0.98,,4.53,
Kepler-62 e,Kepler-62,0,0.427,1.61,36,,,270,4925,0.64,0.69,-0.678,4.68,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.7,,36,,,,,,0.55,,,
Kepler-103 c,Kepler-103,0,,5.14,36.1,,,,5845,1.44,1.09,,4.16,
HD 49674 b,HD 49674,0,0.058,,36.51848,0.06,,,5628.43,1.04,1.06,,4.43,
HD 49674 b,HD 49674,0,0.058,,36.549,0.29,,,5583,1.04,0.99,-0.022,4.4,
Kepler-128 c,Kepler-128,0,,1.13,37,,,,,1.66,1.18,,,
TOI-942 c,TOI-942,0,0.088,4.793,37,0.175,,,4969,0.89,0.88,-0.359,,
K2-280 b,K2-280,0,0.1461,7.5,37.1,0.35,,787,5500,1.28,1.03,,4.21,
Kepler-145 b,Kepler-145,0,,2.65,37.1,,,,,1.85,1.32,,4.02,
WASP-139 b,WASP-139,0,0.062,8.967,37.18611,0,,910,5310,0.8,0.92,,4.59,
WASP-132 c,WASP-132,0,0.0182,1.85,37.35,0.13,,,4714,0.75,0.78,-0.597,4.58,
Kepler-279 d,Kepler-279,0,,3.1,37.5,,,,,1.07,1.1,,4.42,
WASP-107 b,WASP-107,0,0.0553,10.357,37.82177,0,,736,,0.66,0.69,,,
HD 34445 f,HD 34445,0,1.543,,37.9,0.031,,,5836,1.38,1.07,0.303,4.21,
Kepler-267 b,Kepler-267,0,,2.11,37.9,,,,,0.55,0.59,,,
HATS-7 b,HATS-7,0,0.04012,6.311,38.1396,0.17,,1084,4985,0.81,0.85,-0.434,4.54,
WASP-107 b,WASP-107,0,0.055,10.536,38.1396,0,,770,4430,0.66,0.69,,4.5,
WASP-107 b,WASP-107,0,0.0558,10.626,38.1396,0,,,4430,0.66,0.69,,4.5,
HD 49674 b,HD 49674,0,0.0568,,38.14,0,,,,,1,,,
HD 89345 b,HD 89345,0,0.1115,7.263,38.45743,0.22,,1068,5622,1.73,1.32,0.433,4.08,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,3.1,,39,,,,,,0.63,,,
TOI-849 b,TOI-849,0,0.01598,3.444,39.09,0,,,5373.8,0.92,0.93,,4.48,
HATS-7 b,HATS-7,0,0.04012,6.311,39.09309,0.12,,,4985,0.81,0.85,,,
Kepler-328 c,Kepler-328,0,,5.4,39.4,,,,,1.06,1.15,,4.44,
Kepler-277 c,Kepler-277,0,,3.36,39.6,,,,,1.69,1.12,,,
K2-39 b,K2-39,0,0.0574,5.71,39.8,0.152,1356,1670,4912,2.93,1.19,,3.58,
HATS-72 b,HATS-72,0,0.066517,8.097,39.85588,0.013,49.58,739,4656.1,0.72,0.73,-0.659,4.59,
Kepler-114 c,Kepler-114,0,,1.29,40,,,,,0.54,0.56,,,
Kepler-84 b,Kepler-84,0,,1.95,40,,,,,1.02,1,,,
Kepler-35 b,Kepler-35,0,0.60347,8.16,40.363,0.042,,,5606,1.03,0.89,-0.027,4.36,
WASP-156 b,WASP-156,0,0.0453,5.717,40.68224,0.007,150,970,4910,0.76,0.84,,4.6,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.8,,41,,,,,,0.63,,,
TOI-1670 b,TOI-1670,0,0.103,2.06,41.31769,0.59,,1062,6170,1.32,1.21,,4.29,
Kepler-27 b,Kepler-27,0,,5.85,41.8,,,,,0.86,0.98,,,
HD 85390 b,HD 85390,0,1.52,,42,0.41,,,5186,,0.76,-0.367,4.41,
Kepler-297 c,Kepler-297,0,,7.39,42.1,,,,,1.04,1.04,,,
Kepler-83 b,Kepler-83,0,,2.71,42.1,,,,,0.59,0.63,,,
HD 95338 b,HD 95338,0,0.262,3.89,42.44,0.197,7.42,385,5212,0.87,0.83,-0.31,4.54,
Kepler-128 b,Kepler-128,0,,1.13,42.7,,,,,1.66,1.18,,,
Kepler-129 c,Kepler-129,0,0.39,2.52,43,,,,5770,1.65,1.18,,,
Kepler-55 b,Kepler-55,0,,2.58,43,,,,,0.66,0.65,,,
Kepler-9 b,Kepler-9,0,0.143,8.29,43.4,0.0609,,,5774,0.96,1.02,-0.038,4.49,
Kepler-9 b,Kepler-9,0,,8.2,43.5,,,,,,1,,,
Kepler-9 b,Kepler-9,0,,,43.541,0.058,,,5754,1.05,1.03,0.037,4.41,
TOI-257 b,TOI-257,0,0.1528,7.163,43.86032,0,186,1027,6095,1.87,1.41,0.636,4.04,
HATS-8 b,HATS-8,0,0.04667,9.785,43.86054,0.376,,1324,5679,1.09,1.06,,4.39,
Kepler-9 b,Kepler-9,0,,7.74,43.98767,0.0636,,,,0.98,1.03,,,
K2-19 b,K2-19,0,0.0762,7.46,44,0.119,,,5390,0.91,0.95,,4.49,
HD 102117 b,HD 102117,0,0.149,,44.4962,0,,,5672,,1.03,0.196,4.27,
Kepler-326 b,Kepler-326,0,,3.03,44.6,,,,,1.59,0.93,,,
55 Cnc f,55 Cnc,0,0.775,,44.812,0,,,5250,0.96,0.9,-0.197,4.42,
55 Cnc f,55 Cnc,0,0.788,,44.812,0.305,,,,,0.95,,,
GJ 433 c,GJ 433,0,3.6,,45,0.08,,,3472,,0.48,-1.699,,
Kepler-226 c,Kepler-226,0,,2.29,45.2,,,,,0.81,0.88,,,
Kepler-52 c,Kepler-52,0,,1.84,45.4,,,,4075,0.52,0.54,,4.74,
55 Cnc f,55 Cnc,0,0.781,,45.766,0.2,,,5250,0.96,0.9,-0.197,4.42,
HATS-8 b,HATS-8,0,0.04668,9.785,46.08535,0.25,,,5679,1.09,1.06,,,
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,0,4,,46.1,,,,,,1.06,,,
55 Cnc f,55 Cnc,0,0.792,,46.87969,0.142,,,5317.89,0.96,0.97,,4.46,
55 Cnc f,55 Cnc,0,0.7733,,47.0051,0.08,,,5250,0.96,0.9,-0.197,4.42,
WASP-182 b,WASP-182,0,0.0451,9.528,47.03884,0,,1479,5638,1.34,1.08,,4.22,
HD 177830 c,HD 177830,0,0.5137,,47.6725,0.3,,,4949,2.62,1.47,0.685,3.65,
CoRoTID 223977153 b,CoRoTID 223977153,0,0.071,6.389,47.6745,,132.26,938,5970,0.79,1.08,-0.155,4.67,
55 Cnc f,55 Cnc,0,0.7708,,47.8,0.08,,,5172,0.94,0.91,,4.43,
Kepler-1656 b,Kepler-1656,0,0.1974,,47.8,0.838,,,,1.1,1.03,,,
HIP 38594 c,HIP 38594,0,3.805,,48.4,0.16,,,,,0.61,,,
Kepler-297 b,Kepler-297,0,,3.24,48.5,,,,,1.04,1.04,,,
Kepler-1656 b,Kepler-1656,0,0.197,5.02,48.6,0.836,,651,5731,1.1,1.03,,4.37,
Kepler-279 c,Kepler-279,0,,4.3,49.4,,,,,1.07,1.1,,4.42,
MOA-2009-BLG-319L b,MOA-2009-BLG-319L,0,2,,50,,,,,,0.38,,,
K2-39 b,K2-39,0,0.062,8.2,50.3,0,,,4881,3.88,1.53,,3.44,
HD 104067 b,HD 104067,0,0.26,,50.8528,0,,,4937,0.74,0.62,,4.49,
HD 117618 b,HD 117618,0,0.17,,50.8528,0.37,,,5855,,1.05,,,
Kepler-82 b,Kepler-82,0,,3.95,51,,,,,0.93,0.97,,,
Kepler-101 b,Kepler-101,0,0.0474,5.77,51.1,0.086,,1513,5667,1.56,1.17,,4.12,
55 Cnc c,55 Cnc,0,0.2373,,51.2,0.03,,,5172,0.94,0.91,,4.43,
HD 27894 c,HD 27894,0,0.198,,51.48846,0.015,,,,,0.8,,,
KOI-94 d,KOI-94,0,,,52.1,,,,6184,1.43,1.18,0.43,4.2,
WASP-127 b,WASP-127,0,0.0484,14.695,52.3466,0,,,,1.33,0.95,,,
55 Cnc c,55 Cnc,0,0.237,,52.44,0.07,,,5250,0.96,0.9,-0.197,4.42,
55 Cnc c,55 Cnc,0,0.238,,52.44,0.053,,,5250,0.96,0.9,-0.197,4.42,
BD-06 1339 c,BD-06 1339,0,0.435,,53,0.31,,,4324,,0.7,-1.022,4.74,
Kepler-58 c,Kepler-58,0,,2.86,53,,,,5843,1.03,0.95,,4.39,
