Name,starName,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
CoRoT-28 b,CoRoT-28,0,5.20851,0.059,10.705,152.87623,5150,1.78,766.183
CoRoT-29 b,CoRoT-29,0,2.85057,0.039,10.088,266.9772,5260,0.9,806.507
CoRoT-29 b,CoRoT-29,0,2.85057,0.0386,10.088,270.1555,5260,0.9,806.507
CoRoT-3 b,CoRoT-3,0,4.2567994,0.0574,11.321,6814.2752,6740,1.56,768.771
CoRoT-3 b,CoRoT-3,0,4.2567994,0.05783,11.624,6979.5468,6740,1.57,768.771
CoRoT-30 b,CoRoT-30,0,9.06005,0.0844,11.31,921.707,5650,0.91,1032.23
CoRoT-31 b,CoRoT-31,0,4.62941,0.0586,16.365,266.9772,5700,2.15,2005.76
CoRoT-4 b,CoRoT-4,0,9.20205,0.09,13.34,228.83,6190,1.17,726.412
CoRoT-4 b,CoRoT-4,0,9.20205,0.09025,13.339,223.43449,6190,1.17,726.412
CoRoT-4 b,CoRoT-4,0,9.20205,0.0912,13.002,232.33373,6190,1.15,726.412
CoRoT-5 b,CoRoT-5,0,4.0378962,0.04963,15.558,151.92274,6100,1.19,882.472
CoRoT-5 b,CoRoT-5,0,4.0378962,0.05004,13.249,149.3801,6100,1.05,882.472
CoRoT-5 b,CoRoT-5,0,4.0378962,0.04947,15.558,148.42,6100,1.19,882.472
CoRoT-6 b,CoRoT-6,0,8.886593,0.0855,13.283,940.7768,6090,1.04,645.294
CoRoT-6 b,CoRoT-6,0,8.886593,0.0854,13.07,937.5985,6090,1.02,645.294
CoRoT-6 b,CoRoT-6,0,8.886593,0.0855,13.068,940.74,6090,1.02,645.294
CoRoT-7 b,CoRoT-7,0,0.85359159,0.017016,1.585,5.74,5259,0.82,159.906
CoRoT-7 b,CoRoT-7,0,0.853585,0.0169,1.861,6.99226,5250,0.96,159.906
CoRoT-7 b,CoRoT-7,0,0.853585,0.0172,1.68,21,5275,0.87,159.906
CoRoT-8 b,CoRoT-8,0,6.21229,0.063,6.39,69.92,5080,0.77,322.037
CoRoT-8 b,CoRoT-8,0,6.21229,0.0633,7.981,68.65128,5080,0.9,322.037
CoRoT-8 b,CoRoT-8,0,6.212381,0.06339,6.389,69.28694,5080,0.77,322.037
CoRoT-9 b,CoRoT-9,0,95.2738,0.4027,11.624,262.52758,5625,0.94,412.98
CoRoT-9 b,CoRoT-9,0,95.2738,0.407,11.77,266.97,5625,0.94,412.98
CoRoT-9 b,CoRoT-9,0,95.272656,0.4021,11.949,266.9772,5625,0.96,412.98
CoRoT-9 b,CoRoT-9,0,95.272656,0.4029,11.949,268.88418,5625,0.96,412.98
CoRoTID 223977153 b,CoRoTID 223977153,0,6.71837,0.071,6.389,47.6745,5970,0.79,576.683
EPIC 211945201 b,EPIC 211945201,0,19.49213,0.148,6.12,27,6025,1.38,181.69
EPIC 220674823 b,EPIC 220674823,0,0.571336,0.01312,1.82,9,5496,0.95,244.59
EPIC 220674823 b,EPIC 220674823,0,0.571292,0.0116,1.52,8.36,5470,0.87,244.59
EPIC 220674823 c,EPIC 220674823,0,13.3387,0.1071,2.77,5.7,5496,0.95,244.59
EPIC 220674823 c,EPIC 220674823,0,13.3397,0.105,2.5,5.8,5470,0.87,244.59
EPIC 246851721 b,EPIC 246851721,0,6.180235,0.07229,11.781,953.49,6202,1.59,372.632
EPIC 248847494 b,EPIC 248847494,0,3650,4.5,12.442,4131.79,4898,2.7,551.886
EPIC 249893012 b,EPIC 249893012,0,3.5951,0.047,1.95,8.75,5430,1.71,321.296
EPIC 249893012 c,EPIC 249893012,0,15.624,0.13,3.67,14.67,5430,1.71,321.296
EPIC 249893012 d,EPIC 249893012,0,35.747,0.22,3.94,10.18,5430,1.71,321.296
GJ 1132 b,GJ 1132,0,1.628931,0.0153,1.13,1.66,3270,0.21,12.613
GJ 1214 b,GJ 1214,0,1.58040456,0.01411,2.847,6.26125,3026,0.22,14.6427
GJ 1214 b,GJ 1214,0,1.58040433,0.0149,2.742,8.17,3250,0.21,14.6427
GJ 1252 b,GJ 1252,0,0.5182349,0.00916,1.193,2.09,3458,0.39,20.373
GJ 143 b,GJ 143,0,35.61253,0.1915,2.61,22.7,4640,0.69,16.32
GJ 3470 b,GJ 3470,0,3.33714,0.0348,4.2,14,3600,0.5,29.4214
GJ 3470 b,GJ 3470,0,3.33665,0.03557,4.83,13.9,3600,0.57,29.4214
GJ 3470 b,GJ 3470,0,3.3366496,0.0355,4.57,13.9,3600,0.55,29.4214
GJ 3470 b,GJ 3470,0,3.3366487,0.031,3.88,13.73,3652,0.48,29.4214
GJ 3473 b,GJ 3473,0,1.1980035,0.01589,1.264,1.86,3347,0.36,27.3644
GJ 357 b,GJ 357,0,3.93072,0.035,1.217,1.84,3505,0.34,9.44181
GJ 367 b,GJ 367,0,0.321962,0.0071,0.718,0.546,3522,0.46,9.41263
GJ 3929 b,GJ 3929,0,2.6162745,0.02569,1.15,1.21,3369,0.32,15.8095
GJ 436 b,GJ 436,0,2.64389524,0.02887,4.091,23.42407,3500,0.45,9.75321
GJ 436 b,GJ 436,0,2.64385,0.02872,4.222,23.1688,3350,0.46,9.75321
GJ 436 b,GJ 436,0,2.64389803,0.0308,4.1,25.4,3416,0.46,9.75321
GJ 486 b,GJ 486,0,1.467119,0.01734,1.305,2.82,3340,0.33,8.07426
GJ 9827 b,GJ 9827,0,1.208966,0.0206,1.58,3.69,4219,0.62,29.661
GJ 9827 b,GJ 9827,0,1.2089819,0.0188,1.577,4.91,4340,0.6,29.661
GJ 9827 b,GJ 9827,0,1.2089802,0.01888,1.62,3.42,4269,0.61,29.661
GJ 9827 c,GJ 9827,0,3.64823,0.0429,1.24,1.45,4219,0.62,29.661
GJ 9827 c,GJ 9827,0,3.6480957,0.03925,1.241,0.84,4340,0.6,29.661
GJ 9827 c,GJ 9827,0,3.648083,0.03942,1.269,2.42,4269,0.61,29.661
GJ 9827 d,GJ 9827,0,6.201467,0.05615,2.07,5.2,4269,0.61,29.661
GJ 9827 d,GJ 9827,0,6.20142,0.0611,2.04,2.35,4219,0.62,29.661
GJ 9827 d,GJ 9827,0,6.2014698,0.05591,2.022,4.04,4340,0.6,29.661
GPX-1 b,GPX-1,0,1.744579,0.0338,16.477,6261.21962,7000,1.56,655.013
Gaia-1 b,Gaia-1,0,3.052524,0.04047,13.776,533.95172,5470,0.95,363.66
Gaia-2 b,Gaia-2,0,3.6915224,0.0467,14.818,259.66581,5720,1.06,209.229
HAT-P-1 b,HAT-P-1,0,4.46543,0.0553,13.922,169.08556,5975,1.14,158.979
HAT-P-1 b,HAT-P-1,0,4.4652934,0.05535,13.641,166.54292,5975,1.11,158.979
HAT-P-1 b,HAT-P-1,0,4.46529,0.0551,15.244,168.4499,5975,1.15,158.979
HAT-P-1 b,HAT-P-1,0,4.46529976,0.05561,14.785,166.86075,5980,1.17,158.979
HAT-P-1 b,HAT-P-1,0,4.46529976,0.0553,13.922,166.86075,5980,1.14,158.979
HAT-P-11 b,HAT-P-11,0,4.88781501,0.05259,4.45,26.69772,4780,0.69,37.7647
HAT-P-11 b,HAT-P-11,0,4.8878162,0.053,4.73,25.743,4780,0.75,37.7647
HAT-P-12 b,HAT-P-12,0,3.21305992,0.03767,10.301,63.88383,4665,0.68,142.751
HAT-P-12 b,HAT-P-12,0,3.2130598,0.0384,10.749,67.059,4650,0.7,142.751
HAT-P-12 b,HAT-P-12,0,3.21305929,0.03838,10.749,66.23577,4650,0.7,142.751
HAT-P-13 b,HAT-P-13,0,2.9162383,0.0427,14.359,280.64389,5653,1.56,246.81
HAT-P-13 b,HAT-P-13,0,2.91626,0.0427,14.359,271.098,5653,1.56,246.81
HAT-P-14 b,HAT-P-14,0,4.627669,0.0606,12.89,709.367,6600,1.47,222.663
HAT-P-14 b,HAT-P-14,0,4.6276691,0.06108,13.664,721.79193,6600,1.59,222.663
HAT-P-14 b,HAT-P-14,0,4.627649,0.0596,13.451,724.6524,6583,1.53,222.663
HAT-P-14 b,HAT-P-14,0,4.627682,0.06062,12.89,731.96249,6600,1.47,222.663
HAT-P-15 b,HAT-P-15,0,10.863502,0.0964,12.016,618.471,5568,1.08,192.516
HAT-P-15 b,HAT-P-15,0,10.863502,0.0965,12.016,619.45067,5568,1.08,192.516
HAT-P-16 b,HAT-P-16,0,2.7759712,0.04134,14.448,1341.56043,6158,1.24,226.637
HAT-P-16 b,HAT-P-16,0,2.77596,0.0413,14.448,1332.605,6158,1.24,226.637
HAT-P-17 b,HAT-P-17,0,10.338523,0.0882,11.321,169.71,5246,0.84,92.3831
HAT-P-17 b,HAT-P-17,0,10.338523,0.0882,11.321,170.67471,5246,0.84,92.3831
HAT-P-18 b,HAT-P-18,0,5.508023,0.0559,11.153,62.61,4803,0.75,161.4
HAT-P-18 b,HAT-P-18,0,5.508023,0.05596,11.153,63.566,4803,0.75,161.4
HAT-P-18 b,HAT-P-18,0,5.507978,0.0559,10.615,62.29468,4870,0.72,161.4
HAT-P-19 b,HAT-P-19,0,4.008778,0.0466,12.689,92.802,4990,0.82,202.078
HAT-P-19 b,HAT-P-19,0,4.008778,0.04664,12.689,90.26372,4990,0.82,202.078
HAT-P-2 b,HAT-P-2,0,5.63341,0.0677,11.007,2873.1832,6290,1.47,127.774
HAT-P-2 b,HAT-P-2,0,5.6334729,0.0674,13.339,2777.8342,6290,1.68,127.774
HAT-P-2 b,HAT-P-2,0,5.63332,0.0679,11.243,2771.4776,6290,1.51,127.774
HAT-P-2 b,HAT-P-2,0,5.6334754,0.0688,12.969,2765.121,6290,1.64,127.774
HAT-P-2 b,HAT-P-2,0,5.6334729,0.06878,12.969,2888.95,6290,1.64,127.774
HAT-P-20 b,HAT-P-20,0,2.8753186,0.03617,9.718,2310.6241,4595,0.69,71.0374
HAT-P-20 b,HAT-P-20,0,2.875317,0.0361,9.718,2302.899,4595,0.69,71.0374
HAT-P-20 b,HAT-P-20,0,2.87531694,0.03593,11.489,2294.7326,4595,0.68,71.0374
HAT-P-21 b,HAT-P-21,0,4.124481,0.0495,11.478,1261.7851,5588,1.1,277.278
HAT-P-21 b,HAT-P-21,0,4.124481,0.0494,11.478,1291.289,5588,1.1,277.278
HAT-P-22 b,HAT-P-22,0,3.21222,0.0414,12.106,682.352,5302,1.04,81.7647
HAT-P-22 b,HAT-P-22,0,3.21222,0.04142,12.106,690.32676,5302,1.04,81.7647
HAT-P-22 b,HAT-P-22,0,3.21223328,0.04171,11.882,696.68336,5314,1.06,81.7647
HAT-P-23 b,HAT-P-23,0,1.21288287,0.0232,15.334,626.1251,5905,1.2,364.813
HAT-P-23 b,HAT-P-23,0,1.21288287,0.02302,13.72,658,5885,1.09,364.813
HAT-P-23 b,HAT-P-23,0,1.212884,0.0232,15.334,664.237,5905,1.2,364.813
HAT-P-24 b,HAT-P-24,0,3.3552479,0.04651,13.922,229.79109,6373,1.32,415.344
HAT-P-24 b,HAT-P-24,0,3.35524,0.0465,13.922,217.704,6373,1.32,415.344
HAT-P-24 b,HAT-P-24,0,3.3552464,0.0465,14.751,217.71355,6373,1.32,415.344
HAT-P-25 b,HAT-P-25,0,3.652836,0.04659,13.339,180.20961,5500,0.96,300.384
HAT-P-25 b,HAT-P-25,0,3.65281514,0.0466,12.722,180.84527,5519,0.92,300.384
HAT-P-25 b,HAT-P-25,0,3.652836,0.0466,13.339,180.202,5500,0.96,300.384
HAT-P-26 b,HAT-P-26,0,4.234516,0.0479,6.333,18.751,5079,0.79,141.837
HAT-P-27 b,HAT-P-27,0,3.039577,0.04,11.43,197.05,5316,0.86,199.173
HAT-P-27 b,HAT-P-27,0,3.0395824,0.03998,11.433,195.78328,5190,0.87,199.173
HAT-P-27 b,HAT-P-27,0,3.039586,0.0403,11.635,209.759,5300,0.9,199.173
HAT-P-28 b,HAT-P-28,0,3.257215,0.04337,13.585,202.45771,5680,1.1,401.319
HAT-P-28 b,HAT-P-28,0,3.257215,0.0434,13.585,198.953,5680,1.1,401.319
HAT-P-29 b,HAT-P-29,0,5.723186,0.0667,12.408,247.261,6087,1.22,313.576
HAT-P-29 b,HAT-P-29,0,5.72339,0.0665,11.926,243.77561,6115,1.24,313.576
HAT-P-29 b,HAT-P-29,0,5.72339,0.06669,12.408,214.85308,6087,1.22,313.576
HAT-P-3 b,HAT-P-3,0,2.899736,0.03842,10.615,185.61272,5185,0.87,134.554
HAT-P-3 b,HAT-P-3,0,2.899703,0.03894,9.976,190.38017,5185,0.82,134.554
HAT-P-3 b,HAT-P-3,0,2.89973838,0.03878,10.211,189.10885,5190,0.85,134.554
HAT-P-3 b,HAT-P-3,0,2.899736,0.03866,9.27,187.83,5185,0.8,134.554
HAT-P-3 b,HAT-P-3,0,2.899736,0.03899,10.077,193.55847,5185,0.83,134.554
HAT-P-3 b,HAT-P-3,0,2.899703,0.03882,10.077,189.42668,5185,0.83,134.554
HAT-P-30 b,HAT-P-30,0,2.810595,0.0419,15.02,237.10118,6304,1.22,213.985
HAT-P-30 b,HAT-P-30,0,2.810595,0.0419,15.02,225.968,6304,1.22,213.985
HAT-P-31 b,HAT-P-31,0,5.005425,0.061,11.994,682.38101,6070,1.36,344.05
HAT-P-31 b,HAT-P-31,0,5.005425,0.055,11.99,689.98,6065,1.36,344.05
HAT-P-32 b,HAT-P-32,0,2.15000825,0.03427,20.053,238.3725,6207,1.22,289.205
HAT-P-32 b,HAT-P-32,0,2.150008,0.0343,20.053,273.322,6207,1.22,289.205
HAT-P-32 b,HAT-P-32,0,2.1500082,0.03397,22.194,216.1244,6001,1.37,289.205
HAT-P-33 b,HAT-P-33,0,3.474474,0.04995,18.898,209.7678,6446,1.64,396.11
HAT-P-33 b,HAT-P-33,0,3.474474,0.0499,18.898,242.176,6446,1.64,396.11
HAT-P-34 b,HAT-P-34,0,5.452654,0.06774,13.417,1058.3739,6442,1.53,249.325
HAT-P-34 b,HAT-P-34,0,5.452654,0.0677,13.417,1057.694,6442,1.53,249.325
HAT-P-35 b,HAT-P-35,0,3.646706,0.04978,14.93,335.62848,6096,1.44,506.965
HAT-P-35 b,HAT-P-35,0,3.646706,0.0498,14.93,334.979,6096,1.44,506.965
HAT-P-36 b,HAT-P-36,0,1.327347,0.02382,14.168,587.9855,5560,1.1,294.419
HAT-P-36 b,HAT-P-36,0,1.32734683,0.02388,14.617,588.62116,5620,1.04,294.419
HAT-P-36 b,HAT-P-36,0,1.32734683,0.0241,14.314,587.41341,5620,1.04,294.419
HAT-P-36 b,HAT-P-36,0,1.3273466,0.02402,15.211,611.82275,5560,1.11,294.419
HAT-P-36 b,HAT-P-36,0,1.327347,0.0238,14.168,582.24,5560,1.1,294.419
HAT-P-37 b,HAT-P-37,0,2.797436,0.03793,13.204,381.396,5500,0.88,390.594
HAT-P-37 b,HAT-P-37,0,2.797436,0.0379,13.204,371.528,5500,0.88,390.594
HAT-P-38 b,HAT-P-38,0,4.640382,0.05231,9.247,84.86061,5330,0.92,255.206
HAT-P-38 b,HAT-P-38,0,4.640382,0.0523,9.247,84.857,5330,0.92,255.206
HAT-P-39 b,HAT-P-39,0,3.54387,0.05095,17.609,180.84527,6430,1.62,697.004
HAT-P-39 b,HAT-P-39,0,3.54387,0.0509,17.609,190.372,6430,1.62,697.004
HAT-P-4 b,HAT-P-4,0,3.0565254,0.04449,14.28,206.90733,5860,1.6,320.451
HAT-P-4 b,HAT-P-4,0,3.056536,0.0446,14.235,216.1244,5860,1.59,320.451
HAT-P-4 b,HAT-P-4,0,3.0565195,0.04465,14.986,216.1244,5860,1.6,320.451
HAT-P-40 b,HAT-P-40,0,4.457243,0.06076,19.392,184.65923,6080,2.21,464.469
HAT-P-40 b,HAT-P-40,0,4.457243,0.0608,19.392,195.457,6080,2.21,464.469
HAT-P-41 b,HAT-P-41,0,2.694047,0.0426,18.887,254.253,6390,1.68,348.185
HAT-P-41 b,HAT-P-41,0,2.694047,0.04258,18.887,252.67485,6390,1.68,348.185
HAT-P-42 b,HAT-P-42,0,4.641878,0.0575,14.348,331.801,5743,1.53,405.238
HAT-P-42 b,HAT-P-42,0,4.641878,0.0575,14.348,279.6904,5743,1.53,405.238
HAT-P-43 b,HAT-P-43,0,3.332687,0.0443,14.359,210.395,5645,1.1,528.825
HAT-P-43 b,HAT-P-43,0,3.332687,0.04445,14.359,232.0159,5645,1.1,528.825
HAT-P-44 b,HAT-P-44,0,4.301219,0.0507,13.922,111.871,5295,0.95,347.85
HAT-P-45 b,HAT-P-45,0,3.128992,0.0452,15.984,283.492,6330,1.32,298.64
HAT-P-45 b,HAT-P-45,0,3.128992,0.04521,15.984,273.3338,6330,1.32,298.64
HAT-P-46 b,HAT-P-46,0,4.463129,0.0577,14.392,156.684,6120,1.4,290.736
HAT-P-49 b,HAT-P-49,0,2.691548,0.0438,15.838,549.823,6820,1.83,350.351
HAT-P-49 b,HAT-P-49,0,2.691548,0.04378,15.838,562.5591,6820,1.83,350.351
HAT-P-5 b,HAT-P-5,0,2.7884736,0.04073,14.056,324.1866,5960,1.17,303.336
HAT-P-5 b,HAT-P-5,0,2.788491,0.04075,14.12,336.89,5960,1.17,303.336
HAT-P-50 b,HAT-P-50,0,3.1220109,0.0453,14.437,429.0705,6280,1.7,515.458
HAT-P-50 b,HAT-P-50,0,3.1220109,0.04527,14.437,431.93097,6280,1.7,515.458
HAT-P-51 b,HAT-P-51,0,4.2180278,0.05069,14.493,98.20947,5449,1.04,440.089
HAT-P-51 b,HAT-P-51,0,4.2180278,0.05067,14.493,98.84513,5449,1.04,440.089
HAT-P-52 b,HAT-P-52,0,2.7535953,0.03696,11.31,259.66711,5131,0.89,361.155
HAT-P-52 b,HAT-P-52,0,2.7535953,0.03694,11.31,259.98494,5131,0.89,361.155
HAT-P-53 b,HAT-P-53,0,1.9616241,0.03159,14.773,471.65972,5956,1.21,666.802
HAT-P-53 b,HAT-P-53,0,1.9616241,0.0316,14.773,469.43491,5956,1.21,666.802
HAT-P-54 b,HAT-P-54,0,3.799847,0.04117,10.581,241.5508,4390,0.62,143.651
HAT-P-54 b,HAT-P-54,0,3.799847,0.04122,10.581,578.4506,4390,0.62,143.651
HAT-P-55 b,HAT-P-55,0,3.5852467,0.04604,13.249,184.97706,5808,1.01,511.388
HAT-P-55 b,HAT-P-55,0,3.5852467,0.04604,13.249,184.3414,5808,1.01,511.388
HAT-P-56 b,HAT-P-56,0,2.7908327,0.04232,16.432,603.877,6566,1.43,320.639
HAT-P-56 b,HAT-P-56,0,2.7908327,0.0423,16.432,692.8694,6566,1.43,320.639
HAT-P-57 b,HAT-P-57,0,2.465295,0.0406,15.838,587.9855,7500,1.5,279.86
HAT-P-58 b,HAT-P-58,0,4.0138379,0.04994,14.93,118.23217,6078,1.53,515.59
HAT-P-59 b,HAT-P-59,0,4.1419771,0.05064,12.588,489.45575,5678,1.1,265.471
HAT-P-6 b,HAT-P-6,0,3.853003,0.05244,15.637,337.85329,6570,1.52,275.358
HAT-P-6 b,HAT-P-6,0,3.853003,0.05239,14.908,351.51998,6570,1.46,275.358
HAT-P-6 b,HAT-P-6,0,3.852985,0.05235,14.908,335.932,6570,1.46,275.358
HAT-P-6 b,HAT-P-6,0,3.852985,0.05237,14.908,336.58197,6570,1.46,275.358
HAT-P-60 b,HAT-P-60,0,4.7947813,0.06277,18.282,182.43351,6212,2.2,233.22
HAT-P-61 b,HAT-P-61,0,1.90231289,0.0301,10.077,335.94463,5587,0.94,338.84
HAT-P-62 b,HAT-P-62,0,2.6453235,0.03772,12.027,241.86742,5629,1.17,348.815
HAT-P-63 b,HAT-P-63,0,3.377728,0.04294,12.543,195.14664,5400,0.97,4483.05
HAT-P-64 b,HAT-P-64,0,4.007232,0.05387,19.089,184.34048,6457,1.74,651.897
HAT-P-65 b,HAT-P-65,0,2.6054552,0.03951,21.185,167.49641,5835,1.86,738.519
HAT-P-66 b,HAT-P-66,0,2.972086,0.04363,17.822,248.86089,6002,1.88,935.456
HAT-P-67 b,HAT-P-67,0,4.8101025,0.06505,23.371,108.0622,6406,2.55,371.686
HAT-P-68 b,HAT-P-68,0,2.29840551,0.02996,12.016,230.10892,4508,0.67,202.152
HAT-P-69 b,HAT-P-69,0,4.7869491,0.06555,18.786,1137.8314,7394,1.93,341.263
HAT-P-7 b,HAT-P-7,0,2.204737,0.0377,15.043,564.442,6532.23,1.99,341.079
HAT-P-7 b,HAT-P-7,0,2.2047372,0.03676,16.713,534.59006,6441,1.84,341.079
HAT-P-7 b,HAT-P-7,0,2.204737,0.03813,16.926,574.00098,6350,2,341.079
HAT-P-7 b,HAT-P-7,0,2.2047354,0.0355,15.906,566.05523,6350,1.84,341.079
HAT-P-7 b,HAT-P-7,0,2.2047304,0.03805,16.421,571.77617,6350,1.96,341.079
HAT-P-70 b,HAT-P-70,0,2.74432452,0.04739,20.961,2154.8874,8450,1.86,330.739
HAT-P-8 b,HAT-P-8,0,3.0763776,0.0487,16.81,483.08,6200,1.58,211.553
HAT-P-8 b,HAT-P-8,0,3.0763458,0.04496,16.814,430.34182,6200,1.58,211.553
HAT-P-9 b,HAT-P-9,0,3.92281072,0.05287,15.614,238.05467,6350,1.34,455.203
HAT-P-9 b,HAT-P-9,0,3.922814,0.0529,15.468,247.27174,6350,1.34,455.203
HAT-P-9 b,HAT-P-9,0,3.922814,0.0529,15.693,241.86863,6350,1.32,455.203
HAT-P-9 b,HAT-P-9,0,3.92289,0.053,15.69,247.9,6350,1.32,455.203
HATS-1 b,HATS-1,0,3.446459,0.04446,14.594,556.2025,5870,1.04,283.971
HATS-1 b,HATS-1,0,3.446459,0.0444,14.594,589.55,5870,1.04,283.971
HATS-10 b,HATS-10,0,3.312846,0.04493,10.862,185.93055,5880,1.1,534.889
HATS-10 b,HATS-10,0,3.312846,0.04491,10.862,167.17858,5880,1.1,534.889
HATS-11 b,HATS-11,0,3.6191613,0.04614,16.926,270.1555,6060,1.44,944.603
HATS-12 b,HATS-12,0,3.142833,0.04795,15.132,756.4354,6408,2.21,746.138
HATS-13 b,HATS-13,0,3.0440499,0.04059,13.585,188.15536,5523,0.89,421.855
HATS-13 b,HATS-13,0,3.0440499,0.04057,13.585,172.58169,5523,0.89,421.855
HATS-14 b,HATS-14,0,2.7667641,0.03815,11.646,339.76027,5346,0.93,513.011
HATS-14 b,HATS-14,0,2.7667641,0.03815,11.646,340.39593,5346,0.93,513.011
HATS-15 b,HATS-15,0,1.74748753,0.02712,12.386,689.6911,5311,0.92,1139.55
HATS-16 b,HATS-16,0,2.686502,0.03744,14.572,1039.3041,5738,1.24,757.044
HATS-17 b,HATS-17,0,16.254611,0.1308,8.709,425.25654,5846,1.09,400.331
HATS-18 b,HATS-18,0,0.8378434,0.01761,14.986,629.3034,5600,1.02,624.368
HATS-18 b,HATS-18,0,0.83784,0.0174,14.897,629.14449,5600,1.02,624.368
HATS-2 b,HATS-2,0,1.354133,0.02298,13.092,486.2799,5227,0.9,341.925
HATS-2 b,HATS-2,0,1.354133,0.023,13.092,427.463,5227,0.9,341.925
HATS-22 b,HATS-22,0,4.7228124,0.05025,10.682,870.8542,4803,0.69,229.518
HATS-23 b,HATS-23,0,2.1605156,0.03397,20.849,467.2101,5780,1.2,639.004
HATS-24 b,HATS-24,0,1.3484954,0.02547,16.668,775.5052,6346,1.17,494.182
HATS-24 b,HATS-24,0,1.3484978,0.0238,15.637,718.2958,6125,1.12,494.182
HATS-25 b,HATS-25,0,4.2986432,0.05163,14.123,194.82979,5715,1.11,471.158
HATS-26 b,HATS-26,0,3.3023881,0.04735,19.616,206.5895,6071,2.04,861.843
HATS-27 b,HATS-27,0,4.637038,0.0611,16.814,168.4499,6438,1.74,816.988
HATS-28 b,HATS-28,0,3.1810781,0.04131,13.384,213.58176,5498,0.92,535.383
HATS-29 b,HATS-29,0,4.6058749,0.05475,14.022,207.54299,5670,1.07,353.891
HATS-3 b,HATS-3,0,3.547851,0.0485,15.48,340.39593,6351,1.4,411.211
HATS-3 b,HATS-3,0,3.547851,0.04852,15.48,349.613,6351,1.4,411.211
HATS-3 b,HATS-3,0,3.547851,0.0485,15.48,340.382,6351,1.4,411.211
HATS-30 b,HATS-30,0,3.1743516,0.04354,13.171,224.38798,5943,1.06,342.14
HATS-31 b,HATS-31,0,3.37796,0.0478,18.383,279.6904,6050,1.87,773.974
HATS-32 b,HATS-32,0,2.8126548,0.04024,14,292.4036,5700,1.1,745.116
HATS-33 b,HATS-33,0,2.5495551,0.03727,13.787,378.85336,5659,1.02,248.46
HATS-34 b,HATS-34,0,2.1061607,0.03166,16.029,299.07803,5380,0.98,508.842
HATS-35 b,HATS-35,0,1.8209993,0.03199,16.41,388.38826,6300,1.43,514.555
HATS-36 b,HATS-36,0,4.1752387,0.05425,13.843,1022.14128,6149,1.16,856.436
HATS-37 A b,HATS-37 A,0,4.3315366,0.04913,6.793,31.46517,5326,0.88,211.896
HATS-38 b,HATS-38,0,4.375021,0.05036,6.882,23.51942,5732,1.1,343.525
HATS-39 b,HATS-39,0,4.5776348,0.06007,17.598,200.2329,6572,1.62,878.521
HATS-4 b,HATS-4,0,2.516729,0.03623,11.433,416.03947,5403,0.93,416.459
HATS-4 b,HATS-4,0,2.516729,0.0362,11.433,420.471,5403,0.93,416.459
HATS-40 b,HATS-40,0,3.2642736,0.04997,17.71,505.3497,6460,2.26,1342.29
HATS-41 b,HATS-41,0,4.193649,0.0583,14.908,3082.951,6424,1.71,737.668
HATS-42 b,HATS-42,0,2.292102,0.03689,15.693,597.5204,6060,1.48,800.377
HATS-43 b,HATS-43,0,4.3888497,0.04944,13.227,82.95363,5099,0.81,362.273
HATS-44 b,HATS-44,0,2.7439004,0.03649,11.96,177.9848,5080,0.85,446.035
HATS-45 b,HATS-45,0,4.1876244,0.05511,14.415,222.481,6450,1.31,772.11
HATS-46 b,HATS-46,0,4.7423729,0.05367,10.122,54.98459,5495,0.85,453.808
HATS-47 b,HATS-47,0,3.9228038,0.04269,12.52,117.27927,4512,0.66,300.67
HATS-48 A b,HATS-48 A,0,3.1316666,0.03769,8.967,77.23269,4546,0.72,263.609
HATS-49 b,HATS-49,0,4.1480467,0.04515,8.575,112.19399,4405,0.7,324.413
HATS-5 b,HATS-5,0,4.763387,0.05428,10.223,75.64354,5304,0.87,246.384
HATS-5 b,HATS-5,0,4.763387,0.0542,10.223,75.323,5304,0.87,246.384
HATS-50 b,HATS-50,0,3.8297015,0.05046,12.666,123.9537,5990,1.12,756.742
HATS-51 b,HATS-51,0,3.3488702,0.04639,15.805,244.09344,5758,1.44,389.57
HATS-52 b,HATS-52,0,1.36665436,0.02498,15.491,711.9392,6010,1.05,555.134
HATS-53 b,HATS-53,0,3.8537768,0.04753,15.02,189.10885,5644,1.1,585.77
HATS-54 b,HATS-54,0,2.5441828,0.03763,11.96,241.5508,5702,1.32,748.585
HATS-55 b,HATS-55,0,4.2042001,0.05412,14.022,292.72143,6214,1.13,609.838
HATS-56 b,HATS-56,0,4.324799,0.06043,18.921,191.33366,6536,2.2,564.409
HATS-57 b,HATS-57,0,2.350621,0.03493,12.767,1000.21101,5587,0.96,279.485
HATS-58 A b,HATS-58 A,0,4.2180896,0.05798,12.274,327.3649,7175,1.43,403.591
HATS-59 b,HATS-59,0,5.416081,0.06112,12.621,256.17098,5670,1.04,642.884
HATS-6 b,HATS-6,0,3.3252725,0.03623,11.187,101.38777,3724,0.57,169.318
HATS-60 b,HATS-60,0,3.560829,0.04708,12.924,210.40346,5688,1.46,486.474
HATS-61 b,HATS-61,0,7.817953,0.07908,13.395,1080.622,5542,1.66,679.761
HATS-62 b,HATS-62,0,3.2768837,0.04163,11.825,56.89157,5416,0.93,523.067
HATS-63 b,HATS-63,0,3.0566527,0.04026,13.529,305.1168,5627,1.07,623.232
