Name,starName,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
WASP-44 b,WASP-44,0,2.4238133,0.03474,12.778,279.05474,5400,0.93,364.512
WASP-44 b,WASP-44,0,2.423804,0.03453,12.33,276.5121,5420,0.91,364.512
WASP-45 b,WASP-45,0,3.126096,0.0405,11.119,318.46566,5100,0.92,211.196
WASP-45 b,WASP-45,0,3.1260876,0.04054,13.002,318.78349,5100,0.94,211.196
WASP-45 b,WASP-45,0,3.126089,0.03963,10.604,306.38812,5150,0.85,211.196
WASP-45 b,WASP-45,0,3.1260876,0.04054,13.002,320.041,5140,0.94,211.196
WASP-46 b,WASP-46,0,1.43036763,0.02335,13.159,607.0553,5600,0.86,375.31
WASP-46 b,WASP-46,0,1.43037,0.02334,13.159,603.877,5600,0.86,375.31
WASP-46 b,WASP-46,0,1.43037,0.02448,14.684,667.733,5620,0.92,375.31
WASP-47 b,WASP-47,0,4.1591399,0.052,12.89,362.311,5350,1.15,264.78
WASP-47 b,WASP-47,0,4.16071,0.052,12.9,383,5576,1.16,264.78
WASP-47 d,WASP-47,0,9.095,0.088,3.71,16.8,5576,1.16,264.78
WASP-47 e,WASP-47,0,0.789636,0.0173,1.82,9.1,5576,1.16,264.78
WASP-48 b,WASP-48,0,2.143634,0.03449,18.719,327.68273,6000,1.75,454.144
WASP-48 b,WASP-48,0,2.143634,0.03444,18.719,311.46,5920,1.75,454.144
WASP-48 b,WASP-48,0,2.14363544,0.0332,15.65,288,6000,1.52,454.144
WASP-49 b,WASP-49,0,2.7817387,0.0379,12.498,120.135,5600,0.98,194.553
WASP-49 b,WASP-49,0,2.7817362,0.03873,13.428,126.81417,5600,1.04,194.553
WASP-49 b,WASP-49,0,2.7817387,0.0379,12.498,126.81417,5600,0.98,194.553
WASP-5 b,WASP-5,0,1.6284296,0.02683,12.218,502.15,5880,1.03,309.137
WASP-5 b,WASP-5,0,1.6284279,0.0267,12.184,502.15,5700,1.03,309.137
WASP-5 b,WASP-5,0,1.6284246,0.02714,13.047,497.40395,5700,1.08,309.137
WASP-5 b,WASP-5,0,1.6284246,0.0274,13.171,506.93885,5770,1.09,309.137
WASP-5 b,WASP-5,0,1.6284246,0.02729,13.126,520.28771,5700,1.08,309.137
WASP-5 b,WASP-5,0,1.6284229,0.02709,12.778,494.22565,5700,1.06,309.137
WASP-5 b,WASP-5,0,1.62842953,0.02739,13.171,505.3497,5770,1.09,309.137
WASP-50 b,WASP-50,0,1.9550959,0.02945,12.924,466.555,5400,0.84,184.848
WASP-50 b,WASP-50,0,1.9551,0.0293,13.07,466.8287,5400,0.84,184.848
WASP-50 b,WASP-50,0,1.9550938,0.02945,12.924,464.0318,5400,0.84,184.848
WASP-52 b,WASP-52,0,1.7497835,0.02713,14.235,145.88397,5000,0.79,174.818
WASP-52 b,WASP-52,0,1.7497798,0.0272,14.24,146.2,5000,0.79,174.818
WASP-53 b,WASP-53,0,3.3098443,0.04101,12.038,677.61356,4953,0.8,201.338
WASP-54 b,WASP-54,0,3.6936411,0.04988,18.528,192.60498,6100,1.83,251.303
WASP-54 b,WASP-54,0,3.6936411,0.04987,18.528,202.131,6100,1.83,251.303
WASP-55 b,WASP-55,0,4.4656291,0.0558,14.964,199.27941,6070,1.1,297.462
WASP-55 b,WASP-55,0,4.465633,0.0533,14.572,181.155,5960,1.06,297.462
WASP-55 b,WASP-55,0,4.465633,0.05326,14.572,181.48093,5900,1.06,297.462
WASP-56 b,WASP-56,0,4.617101,0.05614,12.24,190.38017,5600,1.11,321.084
WASP-56 b,WASP-56,0,4.617101,0.05458,12.24,181.473,5600,1.11,321.084
WASP-57 b,WASP-57,0,2.838971,0.0386,10.267,213.573,5600,0.84,398.276
WASP-57 b,WASP-57,0,2.83891856,0.03772,11.769,204.36469,5600,0.93,398.276
WASP-57 b,WASP-57,0,2.83891856,0.03769,11.769,204.68252,5600,0.93,398.276
WASP-58 b,WASP-58,0,5.01718,0.0561,15.36,282.86,5800,1.17,290.404
