Name,starName,controversial,solution,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
HD 2638 b,HD 2638,1,Published Confirmed,0,3.4442,0.04,,,5186,0.94
HD 2685 b,HD 2685,0,Published Confirmed,0,4.1269047,,,,6801,1.56
HD 2685 b,HD 2685,0,TESS Project Candidate,0,4.12691,,16.98,,6888,1.59
HD 2685 b,HD 2685,1,Published Confirmed,0,4.12688,0.0568,16.141,371.8611,6801,1.56
HD 26965 b,HD 26965,1,Published Confirmed,0,42.378,,,,5072,0.87
HD 27442 b,HD 27442,0,Published Confirmed,0,415.2,1.16,,,,
HD 27442 b,HD 27442,1,Published Confirmed,0,428.1,1.271,,,4846,
HD 27631 b,HD 27631,0,Published Confirmed,0,2208,3.25,,,5737,1
HD 27631 b,HD 27631,1,Published Confirmed,0,2198.14,3.242,,,5737,0.92
HD 27894 b,HD 27894,0,Published Confirmed,0,17.991,0.122,,,4875,
HD 27894 b,HD 27894,1,Published Confirmed,0,18.01938802,0.125367,,,,
HD 27894 b,HD 27894,0,Published Confirmed,0,18.02,0.125,,,,
HD 27894 b,HD 27894,0,Published Confirmed,0,17.9904,0.125,,,,
HD 27894 c,HD 27894,1,Published Confirmed,0,36.07,0.198,,,,
HD 27894 d,HD 27894,0,Published Confirmed,0,5174,5.448,,,,
HD 27894 d,HD 27894,1,Published Confirmed,0,5019.54244,5.359964,,2155.40718,,
HD 27969 b,HD 27969,1,Published Confirmed,0,654.5,1.552,,,5966,1.27
HD 28109 b,HD 28109,0,TESS Project Candidate,0,22.89108655,,2.537,,6321,1.41
HD 28109 b,HD 28109,1,Published Confirmed,0,22.89104,0.1357,2.199,18.496,6120,1.45
HD 28109 c,HD 28109,0,TESS Project Candidate,0,56.00654985,,4.351,,6321,1.41
HD 28109 c,HD 28109,1,Published Confirmed,0,56.00819,0.308,4.23,7.943,6120,1.45
HD 28109 d,HD 28109,0,TESS Project Candidate,0,84.25909262,,3.002,,6321,1.41
HD 28109 d,HD 28109,1,Published Confirmed,0,84.25999,0.411,3.25,5.681,6120,1.45
HD 28185 b,HD 28185,1,Published Confirmed,0,385.5277515,1.034659,,,,
HD 28185 b,HD 28185,0,Published Confirmed,0,379,1.1,,,,
HD 28185 b,HD 28185,0,Published Confirmed,0,379,1.02,,,5662,1.03
HD 28185 b,HD 28185,0,Published Confirmed,0,385.9,1.032,,,5546,
HD 28185 b,HD 28185,0,Published Confirmed,0,383,1.03,,,5705,
HD 28185 b,HD 28185,0,Published Confirmed,0,385.54,1.044,,,5622,1.08
HD 28185 c,HD 28185,1,Published Confirmed,0,17417.92079,13.109497,,6224.47064,,
HD 28192 b,HD 28192,1,Published Confirmed,0,14.23283446,0.117885,,,,
HD 28254 b,HD 28254,1,Published Confirmed,0,1116,2.15,,,5664,1.48
HD 285507 b,HD 285507,1,Published Confirmed,0,6.0881,0.06,,,4503,0.69
HD 285507 b,HD 285507,0,Published Confirmed,0,6.0881,,,,4503,0.66
HD 285968 b,HD 285968,0,Published Confirmed,0,8.7752,0.06649,,,3703.49,0.48
HD 285968 b,HD 285968,0,Published Confirmed,0,8.776,0.066,,,3543,0.49
HD 285968 b,HD 285968,1,Published Confirmed,0,8.7836,0.066,,,,
HD 28678 b,HD 28678,1,Published Confirmed,0,380.2,1.18,,,4972,6.48
HD 28678 b,HD 28678,0,Published Confirmed,0,387.10001,1.32,,,4722,6.98
HD 28678 b,HD 28678,0,Published Confirmed,0,387.1,1.25,,,5076,6.2
HD 29021 b,HD 29021,0,Published Confirmed,0,1365,2.294,,1420.69298,,
HD 29021 b,HD 29021,1,Published Confirmed,0,1362.3,2.28,,,5560,0.85
HD 290327 b,HD 290327,0,Published Confirmed,0,2443,3.43,,,5552,1
HD 290327 b,HD 290327,1,Published Confirmed,0,2443,3.43,,,5505,0.95
HD 29399 b,HD 29399,1,Published Confirmed,0,892.7,1.913,,,4845,4.5
HD 2952 b,HD 2952,1,Published Confirmed,0,311.60001,1.23,,,4844,10.76
HD 2952 b,HD 2952,0,Published Confirmed,0,311.6,1.2,,,4844,12.02
HD 29985 b,HD 29985,1,Published Confirmed,0,20608.14049,13.283797,,1881.53397,,
HD 30177 b,HD 30177,0,Published Confirmed,0,2770,3.95,,,5545.71,1.19
HD 30177 b,HD 30177,1,Published Confirmed,0,2514.534215,3.603011,,2761.28875,,
HD 30177 b,HD 30177,0,Published Confirmed,0,1620,2.6,,,,
HD 30177 b,HD 30177,0,Published Confirmed,0,2524.4,3.58,,,5580,
HD 30177 b,HD 30177,0,Published Confirmed,0,2770,3.81,,,5556,1.13
HD 30177 b,HD 30177,0,Published Confirmed,0,2527.83,3.704,,,5607,1.02
HD 30177 c,HD 30177,1,Published Confirmed,0,12085.45186,10.273072,,2084.54271,,
HD 30177 c,HD 30177,0,Published Confirmed,0,11613,9.89,,,5580,
HD 30562 b,HD 30562,0,Published Confirmed,0,1159.2,2.315,,,5994,1.53
HD 30562 b,HD 30562,1,Published Confirmed,0,1157,2.34,,,5882,1.61
HD 30562 b,HD 30562,0,Published Confirmed,0,1157,2.3,,,5861,1.64
HD 30669 b,HD 30669,1,Published Confirmed,0,1684,2.69,,,5400,0.91
HD 30856 b,HD 30856,1,Published Confirmed,0,847,1.85,,,4895,4.4
HD 30856 b,HD 30856,0,Published Confirmed,0,912,1.8,,,4982,4.2
HD 30856 b,HD 30856,0,Published Confirmed,0,912,2.04,,,4971,4.73
HD 31253 b,HD 31253,0,Published Confirmed,0,468.7,1.295,,,6014.94,1.83
HD 31253 b,HD 31253,0,Published Confirmed,0,466,1.26,,,5960,1.71
HD 31253 b,HD 31253,1,Published Confirmed,0,466,1.26,,,6130,1.75
HD 31527 b,HD 31527,1,Published Confirmed,0,16.5535,0.1254,,,5898,
HD 31527 c,HD 31527,1,Published Confirmed,0,51.2053,0.2663,,,5898,
HD 31527 d,HD 31527,1,Published Confirmed,0,271.6737,0.8098,,,5898,
HD 3167 b,HD 3167,1,Published Confirmed,0,0.959622,,1.6,,5438,0.83
HD 3167 b,HD 3167,0,Published Confirmed,0,0.959632,0.01752,1.574,5.69,5286,0.83
HD 3167 b,HD 3167,0,Published Candidate,0,0.959628,,1.8,,,0.88
HD 3167 b,HD 3167,0,Published Confirmed,0,0.959624,0.0186,1.7,,5528,0.87
HD 3167 b,HD 3167,0,Published Confirmed,0,0.96,,1.626,5.59,5261,0.88
HD 3167 b,HD 3167,0,Published Confirmed,0,0.959665,,1.624,,5366,0.84
HD 3167 b,HD 3167,0,Published Confirmed,0,0.959641,0.01815,1.7,5.02,5261,0.86
HD 3167 b,HD 3167,0,Published Confirmed,0,0.959628,,1.557,,5370,0.83
HD 3167 c,HD 3167,0,Published Confirmed,0,29.8454,0.1795,3.01,9.8,5261,0.86
HD 3167 c,HD 3167,0,Published Confirmed,0,29.83832,0.1841,2.86,,5528,0.87
HD 3167 c,HD 3167,0,Published Confirmed,0,29.8454,,2.85,,5370,0.83
HD 3167 c,HD 3167,1,Published Confirmed,0,29.875221,,2.3,,5438,0.83
HD 3167 c,HD 3167,0,Published Candidate,0,29.839835,,3,,,0.88
HD 3167 c,HD 3167,0,Published Confirmed,0,29.84622,0.1806,2.74,8.33,5286,0.83
HD 3167 c,HD 3167,0,Published Confirmed,0,,,,,,
HD 3167 c,HD 3167,0,Published Confirmed,0,29.844982,,2.831,,5366,0.84
HD 3167 d,HD 3167,1,Published Confirmed,0,8.509,0.07757,,,5261,0.86
HD 32518 b,HD 32518,1,Published Confirmed,0,157.54,0.59,,,4580,10.22
HD 32963 b,HD 32963,1,Published Confirmed,0,2372,3.41,,,5727,
HD 32963 b,HD 32963,0,Published Confirmed,0,2328,3.416,,,5706.08,1.11
HD 330075 b,HD 330075,1,Published Confirmed,0,3.38773,0.04,,,5000,0.84
HD 330075 b,HD 330075,0,Published Confirmed,0,3.38773,0.039,,,5017,
HD 331093 b,HD 331093,1,Published Confirmed,0,621.62,1.44,,,5544,
HD 33142 b,HD 33142,0,Published Confirmed,0,326,1.07,,,4978,4.45
HD 33142 b,HD 33142,0,Published Confirmed,0,326.60001,1.09,,,5009,3.97
HD 33142 b,HD 33142,0,Published Confirmed,0,326.6,1.06,,,5052,4.2
HD 33142 b,HD 33142,1,Published Confirmed,0,330,1.074,,,5025.4,4.17
HD 33142 c,HD 33142,1,Published Confirmed,0,810.2,1.955,,,5025.4,4.17
HD 33142 c,HD 33142,0,Published Confirmed,0,834,,,,,
HD 33142 d,HD 33142,1,Published Confirmed,0,89.9,0.452,,,5025.4,4.17
HD 332231 b,HD 332231,0,TESS Project Candidate,0,18.7121918,,9.935,,6125,1.27
HD 332231 b,HD 332231,1,Published Confirmed,0,18.71204,0.1436,9.718,77.55052,6089,1.28
HD 332231 b,HD 332231,0,Published Confirmed,0,18.71204,,,,6089,1.28
HD 33283 b,HD 33283,0,Published Confirmed,0,18.179,0.145,,,5995,1.2
HD 33283 b,HD 33283,1,Published Confirmed,0,18.1991,0.1508,,,5935,1.97
HD 33283 b,HD 33283,0,Published Confirmed,0,18.179,0.15,,,6108,1.74
HD 33564 b,HD 33564,1,Published Confirmed,0,388,1.1,,,6250,
HD 33844 b,HD 33844,0,Published Confirmed,0,551.4,1.6,,,4861,5.29
HD 33844 b,HD 33844,1,Published Confirmed,0,551.40002,1.6,,,4861,5.39
HD 33844 c,HD 33844,1,Published Confirmed,0,916,2.24,,,4861,5.29
HD 34445 b,HD 34445,0,Published Confirmed,0,1049,2.07,,,5836,1.38
HD 34445 b,HD 34445,0,Published Confirmed,0,1059,2.105,,,5829.49,1.48
HD 34445 b,HD 34445,0,Published Confirmed,0,1056.7,2.075,,,5836,1.38
HD 34445 b,HD 34445,1,Published Confirmed,0,1049,2.07,,,5879,1.38
HD 34445 c,HD 34445,1,Published Confirmed,0,214.67,0.7181,,,5836,1.38
HD 34445 d,HD 34445,1,Published Confirmed,0,117.87,0.4817,,,5836,1.38
HD 34445 e,HD 34445,1,Published Confirmed,0,49.175,0.2687,,,5836,1.38
HD 34445 f,HD 34445,1,Published Confirmed,0,676.8,1.543,,,5836,1.38
HD 34445 g,HD 34445,1,Published Confirmed,0,5700,6.36,,,5836,1.38
HD 35759 b,HD 35759,1,Published Confirmed,0,82.467,0.389,,,6060,
HD 360 b,HD 360,1,Published Confirmed,0,273.1,0.98,,,4770,10.86
HD 3651 b,HD 3651,1,Published Confirmed,0,62.25,0.295,,,5221,
HD 3651 b,HD 3651,0,Published Confirmed,0,62.242,0.2955,,,5205.95,0.87
HD 3651 b,HD 3651,0,Published Confirmed,0,62.218,0.295,,,5221,
HD 3651 b,HD 3651,0,Published Confirmed,0,62.206,0.296,,,5274.92,0.87
HD 3651 b,HD 3651,0,Published Confirmed,0,62.197,0.28,,,5274.92,0.87
HD 37124 b,HD 37124,0,Published Confirmed,0,154.46,0.53,,,,
HD 37124 b,HD 37124,0,Published Confirmed,0,,0.519,,,,
HD 37124 b,HD 37124,1,Published Confirmed,0,154.378,0.53364,,,,
HD 37124 b,HD 37124,0,Published Confirmed,0,154.26,0.5253,,,5698.64,0.95
HD 37124 b,HD 37124,0,Published Confirmed,0,153,0.54,,,,
HD 37124 c,HD 37124,1,Published Confirmed,0,885.5,1.71,,,,
HD 37124 c,HD 37124,0,Published Confirmed,0,843.6,1.64,,,,
HD 37124 c,HD 37124,0,Published Confirmed,0,1942,2.95,,,,
HD 37124 c,HD 37124,0,Published Confirmed,0,887.7,1.687,,,5698.64,0.95
HD 37124 c,HD 37124,0,Published Confirmed,0,,1.61,,,,
HD 37124 d,HD 37124,0,Published Confirmed,0,1768,2.671,,,5698.64,0.95
HD 37124 d,HD 37124,0,Published Confirmed,0,,3.142,,,,
HD 37124 d,HD 37124,0,Published Confirmed,0,2295,3.19,,,,
HD 37124 d,HD 37124,1,Published Confirmed,0,1862,2.807,,,,
HD 37605 b,HD 37605,0,Published Confirmed,0,54.21,,,,5329,0.98
HD 37605 b,HD 37605,0,Published Confirmed,0,55.01307,0.2831,,,5448,0.9
HD 37605 b,HD 37605,0,Published Confirmed,0,54.23,0.26,,,5475,
HD 37605 b,HD 37605,1,Published Confirmed,0,55.01292,0.277,,,5329,0.91
HD 37605 b,HD 37605,0,Published Confirmed,0,55.01307,0.28,,,5340,0.95
HD 37605 b,HD 37605,0,Published Confirmed,0,55.027,0.263,,,5329,0.98
HD 37605 c,HD 37605,0,Published Confirmed,0,2455,,,,,
HD 37605 c,HD 37605,0,Published Confirmed,0,2720,3.814,,,5448,0.9
HD 37605 c,HD 37605,1,Published Confirmed,0,2720,3.74,,,5329,0.91
HD 3765 b,HD 3765,1,Published Confirmed,0,1211,2.108,,,5049.8,0.83
HD 38283 b,HD 38283,1,Published Confirmed,0,363.20001,1.02,,,5981,1.49
HD 38283 b,HD 38283,0,Published Confirmed,0,363.2,1.02,,,5998,
HD 38529 b,HD 38529,1,Published Confirmed,0,14.30990015,0.114551,,,,
HD 38529 b,HD 38529,0,Published Confirmed,0,14.3098,0.131,,,5697,
HD 38529 b,HD 38529,0,Published Confirmed,0,14.32,0.13,,,5370,2.82
HD 38529 b,HD 38529,0,Published Confirmed,0,14.30944,0.1294,,,5541,2.56
HD 38529 b,HD 38529,0,Published Confirmed,0,14.31014,0.1329,,,5624.21,2.86
HD 38529 b,HD 38529,0,Published Confirmed,0,14.3093,0.1313,,,5541,2.84
HD 38529 b,HD 38529,0,Published Confirmed,0,14.3102,0.1313,,,5541,2.84
HD 38529 c,HD 38529,0,Published Confirmed,0,2165,3.74,,,5541,2.84
HD 38529 c,HD 38529,0,Published Confirmed,0,2146.1,3.72,,,5541,2.84
HD 38529 c,HD 38529,1,Published Confirmed,0,2127.605657,3.224617,,3320.46746,,
HD 38529 c,HD 38529,0,Published Confirmed,0,2133.3,3.7365,,,5624.21,2.86
HD 38529 c,HD 38529,0,Published Confirmed,0,2136.1,3.64,,,5541,2.56
HD 38529 c,HD 38529,0,Published Confirmed,0,2132.4,,,,,
HD 38529 c,HD 38529,0,Published Confirmed,0,2140.2,3.712,,,5697,
HD 38801 b,HD 38801,0,Published Confirmed,0,696.29999,1.65,,,5277,2.38
HD 38801 b,HD 38801,1,Published Confirmed,0,685.25,1.623,,,5338,2.03
HD 38801 b,HD 38801,0,Published Confirmed,0,687.14,1.66,,,5207,2.41
HD 38801 b,HD 38801,0,Published Confirmed,0,686.8,1.66,,,5207,2.41
HD 38801 b,HD 38801,0,Published Confirmed,0,696.3,1.7,,,5222,2.53
HD 39091 b,HD 39091,0,Published Confirmed,0,2088.33,,,4004.63793,5998,1.19
HD 39091 b,HD 39091,0,Published Confirmed,0,2090.3,,,4100.007,,
HD 39091 b,HD 39091,0,Published Confirmed,0,2091.2,3.22,,,5870,1.1
HD 39091 b,HD 39091,1,Published Confirmed,0,2088.758512,3.309065,,3889.98524,,
HD 39091 b,HD 39091,0,Published Confirmed,0,2091,3.308,,4099.98645,6037,1.1
HD 39091 b,HD 39091,0,Published Confirmed,0,2093.07,3.1,,,6037,1.1
HD 39091 b,HD 39091,0,Published Confirmed,0,2049,3.28,,,,
HD 39091 b,HD 39091,0,Published Confirmed,0,2151,3.38,,,5950,
HD 39194 b,HD 39194,1,Published Confirmed,0,5.6368,0.056,,,5205,
HD 39194 c,HD 39194,1,Published Confirmed,0,14.03,0.103,,,5205,
HD 39194 d,HD 39194,1,Published Confirmed,0,33.91,0.185,,,5205,
HD 39855 b,HD 39855,1,Published Confirmed,0,3.2498,0.041,,,5576,
HD 40307 b,HD 40307,0,Published Confirmed,0,4.3115,0.0475,,,4977,
HD 40307 b,HD 40307,0,Published Confirmed,0,4.3123,0.047524,,,4867.44,0.72
HD 40307 b,HD 40307,1,Published Confirmed,0,4.3123,0.0468,,,4956,
HD 40307 c,HD 40307,1,Published Confirmed,0,9.6184,0.0799,,,4956,
HD 40307 c,HD 40307,0,Published Confirmed,0,9.6183,0.08113,,,4867.44,0.72
HD 40307 c,HD 40307,0,Published Confirmed,0,9.6207,0.0812,,,4977,
HD 40307 d,HD 40307,0,Published Confirmed,0,20.4185,0.134,,,4977,
HD 40307 d,HD 40307,0,Published Confirmed,0,20.4321,0.13407,,,4867.44,0.72
HD 40307 d,HD 40307,1,Published Confirmed,0,20.432,0.1321,,,4956,
HD 40307 f,HD 40307,1,Published Confirmed,0,51.76,0.247,,,4956,
HD 40307 f,HD 40307,0,Published Confirmed,0,51.7768,0.2491,,,4867.44,0.72
HD 40307 f,HD 40307,0,Published Confirmed,0,51.56,0.2485,,,4977,
HD 40956 b,HD 40956,1,Published Confirmed,0,578.6,1.4,,,4869,8.56
HD 40979 b,HD 40979,0,Published Confirmed,0,264.15,0.846,,,6089,
HD 40979 b,HD 40979,1,Published Confirmed,0,264.14999,0.85,,,6165,1.21
HD 40979 b,HD 40979,0,Published Confirmed,0,265.36,0.8669,,,6149.73,1.24
HD 40979 b,HD 40979,0,Published Confirmed,0,263.84,0.855,,,6139,1.24
HD 41004 A b,HD 41004 A,1,Published Confirmed,0,963,,,,,
HD 41004 B b,HD 41004 B,0,Published Confirmed,0,1.328199,,,,,
HD 41004 B b,HD 41004 B,1,Published Confirmed,0,1.3283,,,,,
HD 4113 b,HD 4113,0,Published Confirmed,0,526.62,1.28,,,5688,
HD 4113 b,HD 4113,1,Published Confirmed,0,526.5239037,1.28031,,,,
HD 42012 b,HD 42012,1,Published Confirmed,0,857.5,1.67,,,5405,0.82
HD 4203 b,HD 4203,1,Published Confirmed,0,431.88,1.17,,,5596,1.42
HD 4203 b,HD 4203,0,Published Confirmed,0,431.88,1.164,,,5702,
HD 4203 b,HD 4203,0,Published Confirmed,0,406,1.1,,,,
HD 4203 b,HD 4203,0,Published Confirmed,0,437.05,1.1735,,,5582,1.5
HD 4203 b,HD 4203,0,Published Confirmed,0,437.18,1.177,,,5625.06,1.5
HD 4203 c,HD 4203,0,Published Confirmed,0,7400,7.8,,,5625.06,1.5
HD 4203 c,HD 4203,0,Published Confirmed,0,7053,,,,,
HD 4203 c,HD 4203,1,Published Confirmed,0,6700,6.95,,,5582,1.5
HD 4208 b,HD 4208,1,Published Confirmed,0,832.97,1.662,,,5717,0.85
HD 4208 b,HD 4208,0,Published Confirmed,0,828,1.65,,,5600,
HD 4208 b,HD 4208,0,Published Confirmed,0,829,1.7,,,,
HD 4208 b,HD 4208,0,Published Confirmed,0,828,1.65,,,5629,0.92
HD 4208 b,HD 4208,0,Published Confirmed,0,829.5,1.634,,,5669.81,0.94
HD 42618 b,HD 42618,0,Published Confirmed,0,148.49,0.5337,,,5716.65,0.99
HD 42618 b,HD 42618,1,Published Confirmed,0,149.61,0.554,,,5727,1
HD 4308 b,HD 4308,0,Published Confirmed,0,15.56,0.115,,,5685,
HD 4308 b,HD 4308,1,Published Confirmed,0,15.56,0.12,,,5686,1.02
HD 4313 b,HD 4313,0,Published Confirmed,0,356,1.13,,,5005,4.91
HD 4313 b,HD 4313,0,Published Confirmed,0,356,1.19,,,5035,4.9
HD 4313 b,HD 4313,1,Published Confirmed,0,356.21,1.157,,,4943,5.14
HD 43197 b,HD 43197,1,Published Confirmed,0,308.9207228,0.881867,,,,
HD 43197 b,HD 43197,0,Published Confirmed,0,327.8,0.92,,,5508,1
HD 43197 c,HD 43197,1,Published Confirmed,0,9295.973499,8.556456,,2479.19613,,
HD 43691 b,HD 43691,1,Published Confirmed,0,36.9987,0.238,,,6093,1.6
HD 43691 b,HD 43691,0,Published Confirmed,0,36.96,0.24,,,6200,
HD 44219 b,HD 44219,1,Published Confirmed,0,472.3,1.19,,,5752,1.32
HD 45184 b,HD 45184,0,Published Confirmed,0,5.8858,0.0641,,,5820.13,1.08
HD 45184 b,HD 45184,1,Published Confirmed,0,5.8854,0.0644,,,5869,
HD 45184 c,HD 45184,1,Published Confirmed,0,13.1354,0.11,,,5869,
HD 45184 c,HD 45184,0,Published Confirmed,0,13.1407,0.1095,,,5820.13,1.08
HD 45350 b,HD 45350,0,Published Confirmed,0,978.19,1.958,,,5607.78,1.26
HD 45350 b,HD 45350,0,Published Confirmed,0,890.76,1.77,,,5616,
HD 45350 b,HD 45350,0,Published Confirmed,0,962.1,1.92,,,,
HD 45350 b,HD 45350,1,Published Confirmed,0,963.6,1.92,,,5566,1.26
HD 45364 b,HD 45364,1,Published Confirmed,0,226.93,0.6813,,,5434,
HD 45364 c,HD 45364,1,Published Confirmed,0,342.85,0.8972,,,5434,
HD 45652 b,HD 45652,0,Published Confirmed,0,43.6,0.23,,,5232,0.96
HD 45652 b,HD 45652,0,Published Confirmed,0,43.6,0.23,,,5312,
HD 45652 b,HD 45652,1,Published Confirmed,0,44.073,0.237,,,5294,0.94
HD 457 b,HD 457,1,Published Confirmed,0,20324.58153,15.443431,,7574.93226,,
HD 46375 b,HD 46375,1,Published Confirmed,0,3.023573,0.0398,,,5285,
HD 46375 b,HD 46375,0,Published Confirmed,0,3.023495,0.03998,,,5264.38,0.91
HD 46375 b,HD 46375,0,Published Confirmed,0,3.024,0.041,,,,
HD 47186 b,HD 47186,0,Published Confirmed,0,4.0845,0.05,,,,
HD 47186 b,HD 47186,1,Published Confirmed,0,4.0845,0.05,,,5657,1.08
HD 47186 c,HD 47186,1,Published Confirmed,0,1353.6,2.395,,,,
HD 4732 b,HD 4732,1,Published Confirmed,0,360.2,1.19,,,4959,5.4
HD 4732 c,HD 4732,1,Published Confirmed,0,2732,4.6,,,4959,5.4
HD 47366 b,HD 47366,1,Published Confirmed,0,359.15,1.28,,,4914,6.2
HD 47366 b,HD 47366,0,Published Confirmed,0,363.3,1.214,,,4866,7.3
HD 47366 c,HD 47366,0,Published Confirmed,0,684.7,1.853,,,4866,7.3
HD 47366 c,HD 47366,1,Published Confirmed,0,682.85,1.97,,,4914,6.2
HD 47536 b,HD 47536,0,Published Confirmed,0,434.9,1.12,,,,
HD 47536 b,HD 47536,1,Published Confirmed,0,712.13,1.93,,,4380,23.47
HD 4760 b,HD 4760,1,Published Confirmed,0,434,1.14,,,4076,42.4
HD 48265 b,HD 48265,0,Published Confirmed,0,780.3,1.81,,,5650,2.05
HD 48265 b,HD 48265,0,Published Confirmed,0,762,1.6,,,,
HD 48265 b,HD 48265,1,Published Confirmed,0,778.51,1.814,,,5733,1.9
HD 4917 b,HD 4917,1,Published Confirmed,0,400.5,1.167,,,4802,5.01
HD 49674 b,HD 49674,0,Published Confirmed,0,4.948,0.0568,,,,
HD 49674 b,HD 49674,0,Published Confirmed,0,4.9437,0.058,,,5583,1.04
HD 49674 b,HD 49674,0,Published Confirmed,0,4.94724,0.058,,,5628.43,1.04
HD 49674 b,HD 49674,0,Published Confirmed,0,4.94737,0.058,,,5662,
HD 49674 b,HD 49674,1,Published Confirmed,0,4.94737,0.06,,,5602,1.02
HD 50499 b,HD 50499,0,Published Confirmed,0,2453,,,,,
HD 50499 b,HD 50499,0,Published Confirmed,0,2462,3.846,,,5978.1,1.43
HD 50499 b,HD 50499,0,Published Confirmed,0,2482.7,3.86,,,,
HD 50499 b,HD 50499,1,Published Confirmed,0,2447.1,3.833,,,6102,1.35
HD 50499 b,HD 50499,0,Published Confirmed,0,2483.7,3.93,,,6099,1.42
HD 50499 c,HD 50499,0,Published Confirmed,0,10400,10.1,,,5978.1,1.43
HD 50499 c,HD 50499,1,Published Confirmed,0,8619.9,9.02,,,6099,1.42
HD 50554 b,HD 50554,1,Published Confirmed,0,1293,2.353,,,5987,1.02
HD 50554 b,HD 50554,0,Published Confirmed,0,1224,,,,5929,
HD 50554 b,HD 50554,0,Published Confirmed,0,1222.8,2.265,,,5968.36,1.15
HD 50554 b,HD 50554,0,Published Confirmed,0,1254.6,2.22,,,5844,1.1
HD 50554 b,HD 50554,0,Published Confirmed,0,1293,2.41,,,6007,1.13
HD 51608 b,HD 51608,1,Published Confirmed,0,14.0726,0.1059,,,5358,
HD 51608 c,HD 51608,1,Published Confirmed,0,95.9446,0.3809,,,5358,
HD 52265 b,HD 52265,0,Published Confirmed,0,119.29,0.5,,,6117,1.32
HD 52265 b,HD 52265,1,Published Confirmed,0,119.27,0.52,,,6136,
HD 52265 b,HD 52265,0,Published Confirmed,0,119.263,0.506,,,6057.44,1.38
HD 52265 b,HD 52265,0,Published Confirmed,0,119.6,0.5,,,6060,1.1
HD 52265 b,HD 52265,0,Published Confirmed,0,118.96,0.49,,,,
HD 52265 b,HD 52265,0,Published Confirmed,0,119.29,0.504,,,6076,
HD 5278 b,HD 5278,1,Published Confirmed,0,14.339156,0.1202,2.45,7.8,6203,1.19
HD 5278 b,HD 5278,0,TESS Project Candidate,0,14.3392065,,2.314,,6295.7,1.14
HD 5278 c,HD 5278,1,Published Confirmed,0,40.87,0.2416,,,6203,1.19
HD 5319 b,HD 5319,0,Published Confirmed,0,674.6,1.75,,,5052,3.26
HD 5319 b,HD 5319,0,Published Confirmed,0,638.6,1.57,,,4871,4.06
HD 5319 b,HD 5319,1,Published Confirmed,0,637.1,1.57,,,4871,4.06
HD 5319 b,HD 5319,0,Published Confirmed,0,641,1.67,,,4900,4.19
HD 5319 b,HD 5319,0,Published Confirmed,0,641,1.6697,,,4958,3.85
HD 5319 c,HD 5319,1,Published Confirmed,0,872.2,1.93,,,4871,4.06
HD 5319 c,HD 5319,0,Published Confirmed,0,886,2.071,,,4958,3.85
HD 5319 c,HD 5319,0,Published Confirmed,0,877,1.94,,,4871,4.06
HD 55696 b,HD 55696,1,Published Confirmed,0,1827,3.18,,,6012,1.52
HD 5583 b,HD 5583,1,Published Confirmed,0,139.35,0.53,,,4830,9.09
HD 5608 b,HD 5608,0,Published Confirmed,0,792.6,1.9,,,4854,5.5
HD 5608 b,HD 5608,0,Published Confirmed,0,792.59998,1.99,,,4929,5.09
HD 5608 b,HD 5608,1,Published Confirmed,0,779.9,1.911,,,4877,5.14
HD 564 b,HD 564,1,Published Confirmed,0,492.3,1.2,,,5902,1.01
HD 56414 b,HD 56414,0,TESS Project Candidate,0,29.05009825,,3.753,,8208,1.8
HD 56414 b,HD 56414,1,Published Confirmed,0,29.04992,0.229,3.71,,8500,1.75
HD 56957 b,HD 56957,1,Published Confirmed,0,5859.089924,6.431189,,1893.34292,,
HD 5891 b,HD 5891,0,Published Confirmed,0,177.11,0.76,,,4907,8.7
HD 5891 b,HD 5891,1,Published Confirmed,0,177.11,0.64,,,4673,10.64
HD 59686 A b,HD 59686 A,1,Published Confirmed,0,299.36,1.086,,,4658,13.2
HD 60292 b,HD 60292,1,Published Confirmed,0,495.4,1.5,,,4348,27
HD 60532 b,HD 60532,1,Published Confirmed,0,201.9,0.77,,,6245,2.57
HD 60532 b,HD 60532,0,Published Confirmed,0,201.3,0.759,,,6095,
HD 60532 c,HD 60532,1,Published Confirmed,0,600.1,1.6,,,6245,2.57
HD 60532 c,HD 60532,0,Published Confirmed,0,604,1.58,,,6095,
HD 62364 b,HD 62364,1,Published Confirmed,0,27399.80247,18.992328,,5538.75835,,
HD 62364 c,HD 62364,1,Published Confirmed,0,74839.94555,36.876426,,7882.56267,,
HD 62509 b,HD 62509,0,Published Confirmed,0,,1.61,,,,
HD 62509 b,HD 62509,0,Published Confirmed,0,596.6,1.66,,,4858,
HD 62509 b,HD 62509,0,Published Confirmed,0,589.7,1.69,,,,8.9
HD 62509 b,HD 62509,1,Published Confirmed,0,589.64,1.64,,,4892.63,
HD 62549 b,HD 62549,1,Published Confirmed,0,14306.88519,11.786592,,2773.33249,,
HD 63433 b,HD 63433,0,Published Confirmed,0,7.107789,,,,5640,0.91
HD 63433 b,HD 63433,0,TESS Project Candidate,0,7.1079274,,1.902,,5694.11,0.9
HD 63433 b,HD 63433,1,Published Confirmed,0,7.10793,0.0719,2.15,,5640,0.91
HD 63433 c,HD 63433,0,Published Confirmed,0,20.543888,,,,5640,0.91
