Name,starName,controversial,solution,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
11 UMi b,11 UMi,1,Published Confirmed,0,516.21997,1.53,,,4213,29.79
14 And b,14 And,1,Published Confirmed,0,185.84,0.83,,,4813,11
14 And b,14 And,0,Published Confirmed,0,,0.68,,,,
14 Her b,14 Her,0,Published Confirmed,0,1796.4,2.8,,,5255,
14 Her b,14 Her,0,Published Confirmed,0,1766.41,2.83,,,5314.94,1
14 Her b,14 Her,0,Published Confirmed,0,1766,2.864,,,5280,1
14 Her b,14 Her,0,Published Confirmed,0,1773.40002,2.93,,,5338,0.93
14 Her b,14 Her,0,Published Confirmed,0,,2.73,,,,
14 Her b,14 Her,1,Published Confirmed,0,1765.038901,2.773069,,2586.74645,,
14 Her b,14 Her,0,Published Confirmed,0,1724,2.82,,,,
14 Her b,14 Her,0,Published Confirmed,0,1773.4,2.77,,,,
16 Cyg B b,16 Cyg B,1,Published Confirmed,0,798.5,1.66,,,5750,1.13
16 Cyg B b,16 Cyg B,0,Published Confirmed,0,799.45,1.676,,,5711.97,1.16
16 Cyg B b,16 Cyg B,0,Published Confirmed,0,798.5,1.681,,,5674,
16 Cyg B b,16 Cyg B,0,Published Confirmed,0,800.8,1.6,,,5760,
16 Cyg B b,16 Cyg B,0,Published Confirmed,0,799.5,1.68,,,5747,1.13
16 Cyg B b,16 Cyg B,0,Published Confirmed,0,799.5,1.68,,,,
17 Sco b,17 Sco,1,Published Confirmed,0,578.38,1.45,,,4157,25.92
18 Del b,18 Del,1,Published Confirmed,0,993.3,2.6,,,4979,8.5
18 Del b,18 Del,0,Published Confirmed,0,,2.54,,,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,Published Confirmed,0,,330,18.647,2543,4060,1.35
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,Published Confirmed,0,,330,,4000,4060,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Published Confirmed,0,,330,,3000,4060,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,Published Confirmed,0,,330,,3000,3993,1.31
24 Boo b,24 Boo,1,Published Confirmed,0,30.3506,0.19,,,4893,10.64
24 Sex b,24 Sex,1,Published Confirmed,0,452.8,1.333,,,5098,4.9
24 Sex c,24 Sex,1,Published Confirmed,0,883,2.08,,,5098,4.9
2M0437 b,2MASS J04372171+2651014,1,Published Confirmed,0,,118,,1271.31363,3100,0.84
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Published Confirmed,0,,84,,4131.79,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,0,Published Confirmed,0,,,11.209,,3309,0.37
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Published Confirmed,0,,52,,7786.5,3530,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Published Confirmed,0,,156,16.141,4417.837,3064,0.28
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Published Confirmed,0,,15,,2383.6,,
