,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityToTitan
1167,GJ 143 b,GJ 143,0,0.1915,2.61,22.7,0.188,,422.0,4640.0,0.69,0.73,-0.686,4.61,,(32.72560674788934+32.72560674788934j),(25.05077832001637+25.05077832001637j),(33.30686288865539+33.30686288865539j),(33.13906479168587+33.13906479168587j),(422.8704680559827+422.8704680559827j),(906.482975043866+906.482975043866j),(388.4205722587691+388.4205722587691j),(499.9443650908592+499.9443650908592j),0.0019804158873364397
1168,Kepler-189 c,Kepler-189,0,,2.4,22.7,,,,,0.76,0.84,,,,,,,,,,,,0.0019804158873364397
1169,HD 47186 b,HD 47186,0,0.05,,22.78,0.038,,,,,,,,,,,,,,,,,0.001973467821510866
1170,61 Vir d,61 Vir,0,0.476,,22.9,0.35,,,5577.0,0.96,0.94,-0.095,4.34,,(12.662471838871703+12.662471838871703j),(9.692861539976901+9.692861539976901j),(12.88737643942876+12.88737643942876j),(12.822450563680716+12.822450563680716j),(163.62066055795054+163.62066055795054j),(350.74415066879993+350.74415066879993j),(150.29101204310928+150.29101204310928j),(193.44275242120275+193.44275242120275j),0.0019631366561240204
1171,HIP 48714 b,HIP 48714,0,0.112,,22.9,0.5,,,,,0.58,,,,,,,,,,,,0.0019631366561240204
1172,HD 10180 f,HD 10180,0,0.4929,,22.94733,0.119,,,5911.0,1.11,1.06,,4.39,,,,,,,,,,0.0019590915561849
1173,Kepler-176 c,Kepler-176,0,,2.56,23.0,,,,,0.88,0.83,,,,,,,,,,,,0.001954609621023007
1174,GJ 436 b,GJ 436,0,0.02872,4.2,23.1,,,,,0.45,,,,,,,,,,,,,0.0019461563412261906
1175,Kepler-30 d,Kepler-30,0,0.5,8.8,23.1,0.022,,,5498.0,0.95,0.99,,4.77,,,,,,,,,,0.0019461563412261906
1176,Kepler-60 b,Kepler-60,0,,2.2,23.1,,,,,1.45,1.1,,,,,,,,,,,,0.0019461563412261906
1177,GJ 436 b,GJ 436,0,0.03109,4.191,23.13802,0.15,,686.0,3350.0,,,,4.43,,,,,,,,,,0.0019429615569944714
1178,GJ 436 b,GJ 436,0,0.02872,4.222,23.1688,,,649.0,3350.0,0.46,0.45,-1.585,4.84,,(104.18523277820415+104.18523277820415j),(79.75165107410649+79.75165107410649j),(106.03571967050223+106.03571967050223j),(105.50151769444152+105.50151769444152j),(1346.250307560216+1346.250307560216j),(2885.8789538108504+2885.8789538108504j),(1236.5756286316407+1236.5756286316407j),(1591.622745283463+1591.622745283463j),0.0019403828159698655
1179,GJ 436 b,GJ 436,0,0.029,4.26,23.201,0.2,,650.0,,,,,,,,,,,,,,,0.0019376924236227389
1180,HD 10180 g,HD 10180,0,1.427,,23.26516,0.263,,,5911.0,1.11,1.06,,4.39,,,,,,,,,,0.0019323538732530787
1181,HAT-P-11 b,HAT-P-11,0,0.05254,4.36,23.4,0.218,,,4780.0,0.68,0.81,,,,,,,,,,,,0.0019212295869357465
1182,MOA-2008-BLG-310L b,MOA-2008-BLG-310L,0,1.1,,23.4,,,,,,0.21,,,,,,,,,,,,0.0019212295869357465
1183,MOA-2008-BLG-310L b,MOA-2008-BLG-310L,0,1.1,,23.4,,,,,,0.21,,,,,,,,,,,,0.0019212295869357465
1184,GJ 436 b,GJ 436,0,0.02887,4.091,23.42407,,,669.0,3500.0,0.45,0.46,,4.79,,,,,,,,,,0.0019192572730255542
1185,HATS-38 b,HATS-38,0,0.05036,6.882,23.51942,0.0,464.7,1294.0,5732.0,1.1,0.89,0.072,4.3,,(51.36843430612882+0j),(39.32147905957928+0j),(52.2808151860922+0j),(52.017427387440364+0j),(663.7674902616338+0j),(1422.8799946136448+0j),(609.6924895215395+0j),(784.7481476121271+0j),0.001911483855182694
1186,GJ 3293 b,GJ 3293,0,0.14339,,23.54,0.06,1.07,,3466.0,0.4,0.42,-1.658,,,(47.155001903828875+47.155001903828875j),(36.096183287692725+36.096183287692725j),(47.992545868577615+47.992545868577615j),(47.75076212892039+47.75076212892039j),(609.3227813885818+609.3227813885818j),(1306.1700198037995+1306.1700198037995j),(559.6832158208912+559.6832158208912j),(720.3801496877815+720.3801496877815j),0.0019098143236074838
1187,Kepler-215 d,Kepler-215,0,,2.34,23.6,,,,,1.01,0.81,,,,,,,,,,,,0.0019049634881999067
1188,TOI-674 b,TOI-674,0,0.025,5.25,23.6,0.0,38.4,635.0,3514.0,0.42,0.42,-1.614,4.81,,(112.1752240945419+112.1752240945419j),(85.86782495550725+85.86782495550725j),(114.16762528511617+114.16762528511617j),(113.59245522714903+113.59245522714903j),(1449.4945772152284+1449.4945772152284j),(3107.1977258295124+3107.1977258295124j),(1331.4089199848918+1331.4089199848918j),(1713.6846879848185+1713.6846879848185j),0.0019049634881999067
1189,Kepler-4 b,Kepler-4,0,0.0449,4.125,23.83725,,,1620.0,5857.0,1.48,1.17,,4.17,,,,,,,,,,0.0018860214377770523
1190,HD 10180 f,HD 10180,0,0.4929,,23.9,0.135,,,5911.0,,1.06,0.173,4.39,,(20.44269655157806+0j),(15.64846340427206+0j),(20.80578967910848+0j),(20.700971283999536+0j),(264.15438912067776+0j),(566.2524924519123+0j),(242.6345813615338+0j),(312.3001210323763+0j),0.001881074302435004
1191,HD 192310 c,HD 192310,0,1.18,,24.0,0.32,,185.0,5166.0,,0.8,-0.415,4.51,,(11.626850494608608+11.626850494608608j),(8.900114718856912+8.900114718856912j),(11.833360897909103+11.833360897909103j),(11.773745093020468+11.773745093020468j),(150.23867238119826+150.23867238119826j),(322.0579562645637+322.0579562645637j),(137.99921136601378+137.99921136601378j),(177.621714803144+177.621714803144j),0.0018732438339057467
1192,Kepler-226 b,Kepler-226,0,,1.56,24.0,,,,,0.81,0.88,,,,,,,,,,,,0.0018732438339057467
1193,OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.5,,24.0,,,,,,0.38,,,,,,,,,,,,0.0018732438339057467
1194,HAT-P-11 b,HAT-P-11,0,,,24.02795,0.232,,,,,0.81,,,,,,,,,,,,0.0018710668615349313
1195,Kepler-231 c,Kepler-231,0,,2.13,24.1,,,,,0.61,0.65,,,,,,,,,,,,0.0018654782879055087
1196,HD 109271 c,HD 109271,0,0.196,,24.154,0.15,,,5783.0,,1.05,0.301,4.28,,(37.23228185108057+0j),(28.500545343133883+0j),(37.893583339770885+0j),(37.702677603826146+0j),(481.104371095401+0j),(1031.315626324209+0j),(441.9103466746028+0j),(568.7921893800466+0j),0.0018613116042438538
1197,DMPP-1 b,DMPP-1,0,0.1462,,24.27,0.083,,877.0,6196.0,1.26,1.21,,4.41,,,,,,,,,,0.00185242358752713
1198,HD 11964 c,HD 11964,0,0.2315,,24.34566,0.106,,,5345.6,2.05,1.15,,3.87,,,,,,,,,,0.0018466720507417378
1199,Kepler-4 b,Kepler-4,0,0.0456,4.002,24.472,0.0,,1650.0,5857.0,1.49,1.22,0.354,4.17,,(80.3848969865023+0j),(61.53298394738233+0j),(81.81265401353632+0j),(81.4004864762516+0j),(1038.7095119483627+0j),(2226.621530053647+0j),(954.0891916533582+0j),(1228.0284547941337+0j),0.0018371471146584328
1200,K2-25 b,K2-25,0,0.0287,3.44,24.5,0.428,9.91,494.0,3207.0,0.29,0.26,-2.088,4.94,,(111.65617412441436+111.65617412441436j),(85.47050288784186+85.47050288784186j),(113.63935620455854+113.63935620455854j),(113.06684753642874+113.06684753642874j),(1442.7875692901139+1442.7875692901139j),(3092.820300691383+3092.820300691383j),(1325.2483104053356+1325.2483104053356j),(1705.7552365993965+1705.7552365993965j),0.0018350494443878373
1201,K2-292 b,K2-292,0,0.13,2.63,24.5,0.04,67.0,795.0,5725.0,1.09,1.0,,4.33,,,,,,,,,,0.0018350494443878373
1202,Kepler-25 c,Kepler-25,0,,5.2,24.6,,,,6270.0,1.31,1.19,,4.28,,,,,,,,,,0.0018275967103259516
1203,Kepler-83 d,Kepler-83,0,,2.13,24.6,,,,,0.59,0.63,,,,,,,,,,,,0.0018275967103259516
1204,HD 147379 b,HD 147379,0,0.3193,,24.7,0.01,,,4090.0,0.57,0.58,-1.097,,,(28.499895340873238+28.499895340873238j),(21.81608322277873+21.81608322277873j),(29.00609647277863+29.00609647277863j),(28.859965394480522+28.859965394480522j),(368.26709356943775+368.26709356943775j),(789.4328779312797+789.4328779312797j),(338.2655589214086+338.2655589214086j),(435.38878258591086+435.38878258591086j),0.001820204267367842
1205,HD 11964 c,HD 11964,0,0.229,,25.0,0.3,,,5303.0,2.01,0.91,0.459,3.79,,(38.2773175939935+0j),(29.300498692628125+0j),(38.95718049386154+0j),(38.76091641543359+0j),(494.6080093058469+0j),(1060.2625948727443+0j),(454.31388694874266+0j),(584.7570494057985+0j),0.001798381456689091
1206,Kepler-11 g,Kepler-11,0,0.466,3.33,25.0,0.15,,,5663.0,1.06,0.96,,4.37,,,,,,,,,,0.001798381456689091
1207,OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.2,,25.0,,,,,,0.38,,,,,,,,,,,,0.001798381456689091
1208,rho CrB c,rho CrB,0,0.4123,,25.0,0.052,9.85,448.0,5627.0,1.36,0.89,0.232,4.12,,(24.053118683865204+0j),(18.4121672272253+0j),(24.480338354604328+0j),(24.357007790485913+0j),(310.8071802735389+0j),(666.2593837176015+0j),(285.4867197961908+0j),(367.45601820310486+0j),0.001798381456689091
1209,HD 10180 e,HD 10180,0,0.2699,,25.1,0.026,,,5911.0,,1.06,0.173,4.39,,(27.62588177268725+0j),(21.14704382760462+0j),(28.116559105216375+0j),(27.97490946601264+0j),(356.9733525698175+0j),(765.2231382732355+0j),(327.89188264606736+0j),(422.03660360894753+0j),0.0017912230072644197
1210,HD 99492 b,HD 99492,0,0.123,,25.10857,0.07,,,4929.0,0.78,0.85,,4.57,,,,,,,,,,0.001790612178470763
1211,Kepler-11 g,Kepler-11,0,,,25.13,0.052,,,5820.0,1.13,1.05,0.12,4.35,,,,,,,,,,0.001789086571911458
1212,Kepler-276 c,Kepler-276,0,,2.83,25.2,,,,,1.03,1.1,,,,,,,,,,,,0.001784121320249854
1213,Kepler-33 f,Kepler-33,0,,4.15,25.2,,,,,1.69,1.1,,,,,,,,,,,,0.001784121320249854
1214,GJ 436 b,GJ 436,0,0.0308,4.1,25.4,0.1616,,,3416.0,0.46,0.56,,4.84,,,,,,,,,,0.001770085554135159
1215,GJ 436 b,GJ 436,0,,,25.4,0.1616,,,3479.0,0.45,0.45,,,,,,,,,,,,0.001770085554135159
1216,HD 10180 e,HD 10180,0,0.2699,,25.58532,0.051,,,5911.0,1.11,1.06,,4.39,,,,,,,,,,0.0017572757071864231
1217,K2-19 c,K2-19,0,,4.86,25.6,0.0,,,5430.0,0.86,0.93,,4.63,,,,,,,,,,0.0017562689042833757
1218,Kepler-411 b,Kepler-411,0,0.0375,2.401,25.6,0.146,,1138.0,,0.82,0.87,,,,,,,,,,,,0.0017562689042833757
1219,GJ 3293 b,GJ 3293,0,0.1434,,25.72,0.07,,,3466.0,0.4,0.42,-1.658,,,(47.1533576979704+47.1533576979704j),(36.09492468195348+36.09492468195348j),(47.99087245914289+47.99087245914289j),(47.749097150028035+47.749097150028035j),(609.3015354539745+609.3015354539745j),(1306.1244761220685+1306.1244761220685j),(559.6637007241848+559.6637007241848j),(720.3550313924867+720.3550313924867j),0.001748081965621151
1220,GJ 3293 c,GJ 3293,0,0.364,,25.72,0.33,,,3466.0,0.4,0.42,-1.658,,,(29.596237741227746+29.596237741227746j),(22.655310762414395+22.655310762414395j),(30.12191156794053+30.12191156794053j),(29.970159076116804+29.970159076116804j),(382.4337010080434+382.4337010080434j),(819.8010152861109+819.8010152861109j),(351.27805845481197+351.27805845481197j),(452.1374470030427+452.1374470030427j),0.001748081965621151
1221,HAT-P-11 b,HAT-P-11,0,0.053,4.73,25.743,0.198,,878.0,4780.0,0.75,0.81,-0.585,,,(59.77809890580101+59.77809890580101j),(45.75890420054063+45.75890420054063j),(60.83984811460851+60.83984811460851j),(60.53334039072969+60.53334039072969j),(772.4346521221718+772.4346521221718j),(1655.8235071406841+1655.8235071406841j),(709.5068875088176+709.5068875088176j),(913.2213784157501+913.2213784157501j),0.0017465215113233734
1222,HD 179079 b,HD 179079,0,0.1214,,25.74423,0.049,,,5646.0,1.63,1.14,0.38,,,(50.146730303966194+0j),(38.38628979428548+0j),(51.03741187797244+0j),(50.78028827506806+0j),(647.9809978307884+0j),(1389.039403451044+0j),(595.1920718117459+0j),(766.0843521202515+0j),0.0017464381394147743
1223,K2-24 c,K2-24,0,,7.82,26.0,0.0,,,5743.0,1.21,1.12,,4.29,,,,,,,,,,0.0017292727447402179
1224,Kepler-411 c,Kepler-411,0,0.0739,4.421,26.4,0.108,,838.0,,0.82,0.87,,,,,,,,,,,,0.0017030939540165768
1225,Kepler-65 c,Kepler-65,0,,2.61,26.6,,,,,1.42,1.27,,,,,,,,,,,,0.0016902995586440817
1226,HAT-P-11 b,HAT-P-11,0,0.05259,4.45,26.69772,,,838.0,4780.0,0.69,0.81,,4.66,,,,,,,,,,0.0016841178702871051
1227,HD 99492 b,HD 99492,0,0.1231,,26.72937,0.085,,,4936.48,0.82,0.86,,4.54,,,,,,,,,,0.0016821253990843
1228,TOI-1728 b,TOI-1728,0,0.0391,5.05,26.78,0.057,57.78,767.0,3980.0,0.62,0.65,-1.056,4.66,,(80.67122808355637+80.67122808355637j),(61.7521645081489+61.7521645081489j),(82.10407078279006+82.10407078279006j),(81.69043510425561+81.69043510425561j),(1042.4093964444096+1042.4093964444096j),(2234.5527585471227+2234.5527585471227j),(957.4876584695741+957.4876584695741j),(1232.402693585954+1232.402693585954j),0.0016789478593415286
1229,EPIC 211945201 b,EPIC 211945201,0,0.148,6.12,27.0,0.0,,886.0,6025.0,1.38,1.18,,4.25,,,,,,,,,,0.0016652789342215257
1230,K2-10 b,K2-10,0,,3.84,27.0,0.31,,,5620.0,0.98,0.92,,4.5,,,,,,,,,,0.0016652789342215257
1231,K2-24 c,K2-24,0,0.247,7.82,27.0,0.0,24.0,606.0,5743.0,1.21,1.12,0.158,4.29,,(28.23071388267983+0j),(21.61003035754051+0j),(28.732133945841085+0j),(28.587383075304203+0j),(364.7888115594158+0j),(781.9766858756338+0j),(335.07064135002776+0j),(431.2765363486608+0j),0.0016652789342215257
1232,MOA-2011-BLG-291L b,MOA-2011-BLG-291L,0,1.2,,27.0,,,,,,0.22,,,,,,,,,,,,0.0016652789342215257
1233,HD 152843 c,HD 152843,0,,5.83,27.5,0.115,,,6310.0,1.43,1.15,,4.19,,,,,,,,,,0.00163502588790998
1234,HD 179079 b,HD 179079,0,0.1216,,27.5,0.115,,,5684.0,1.6,1.15,0.382,4.06,,(50.17127277780998+0j),(38.405076552814414+0j),(51.062390263172766+0j),(50.80514082057235+0j),(648.2981283115622+0j),(1389.7192177284762+0j),(595.4833666931054+0j),(766.4592839465156+0j),0.00163502588790998
1235,HD 99492 b,HD 99492,0,0.12186,,27.65,0.13,,,4740.0,0.96,0.83,-0.379,4.77,,(35.36879657222469+35.36879657222469j),(27.074085721380857+27.074085721380857j),(35.996999751389176+35.996999751389176j),(35.815648896609254+35.815648896609254j),(457.0249736328607+457.0249736328607j),(979.6980140812617+979.6980140812617j),(419.7926202108856+419.7926202108856j),(540.323994068317+540.323994068317j),0.0016261631583702751
1236,Kepler-122 e,Kepler-122,0,,2.02,27.7,,,,,0.95,1.03,,,,,,,,,,,,0.0016232302281541378
1237,CoRoT-24 c,CoRoT-24,0,0.098,5.0,28.0,0.0,,850.0,4950.0,0.86,0.91,,4.55,,,,,,,,,,0.0016058524400036633
1238,rho CrB c,rho CrB,0,0.4157,,28.12781,0.044,,,5770.31,1.36,0.91,,4.13,,,,,,,,,,0.0015985614368012602
1239,Kepler-333 b,Kepler-333,0,,1.61,28.2,,,,,0.64,0.67,,,,,,,,,,,,0.001594472495349497
1240,TOI-1710 b,TOI-1710,0,0.16,5.34,28.3,0.16,,,5665.0,0.97,0.98,,4.46,,,,,,,,,,0.0015888427928326676
1241,K2-19 b,K2-19,0,,7.74,28.5,0.0,,,5430.0,0.86,0.93,,4.63,,,,,,,,,,0.0015777018143571242
1242,Kepler-328 b,Kepler-328,0,,2.3,28.5,,,,,1.06,1.15,,4.44,,,,,,,,,,0.0015777018143571242
1243,HD 147379 b,HD 147379,0,0.323,,28.55,0.07,,,4156.0,,0.6,-0.971,,,(27.484928647884846+27.484928647884846j),(21.039147112040546+21.039147112040546j),(27.973102440296813+27.973102440296813j),(27.832175527681038+27.832175527681038j),(355.15199859712175+355.15199859712175j),(761.3188070595489+761.3188070595489j),(326.2189085185229+326.2189085185229j),(419.88328309056004+419.88328309056004j),0.0015749409397147751
1244,HAT-P-11 b,HAT-P-11,0,,4.82,28.6047,0.2,,,4708.0,0.77,0.88,,4.37,,,,,,,,,,0.0015719315895372787
1245,HD 103197 b,HD 103197,0,0.25,,28.6047,0.0,,,5250.0,0.88,0.8,,4.45,,,,,,,,,,0.0015719315895372787
1246,K2-39 b,K2-39,0,,6.277,28.6047,0.0,,,4881.0,2.97,0.66,,3.44,,,,,,,,,,0.0015719315895372787
1247,KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,0,1.065,,29.0,,,,,,0.02,,,,,,,,,,,,0.0015505211473857416
1248,K2-27 b,K2-27,0,,4.45,29.1,0.16,,,5320.0,0.85,0.89,,4.6,,,,,,,,,,0.0015451970126191261
1249,NGTS-14 A b,NGTS-14 A,0,0.0403,4.977,29.24036,0.0,,1143.0,5187.0,0.84,0.9,,4.2,,,,,,,,,,0.0015377854386072753
1250,HD 134060 c,HD 134060,0,2.3928,,29.29,0.11,,,5966.0,,1.09,0.158,4.43,,(9.070205715022587+0j),(6.943055767747708+0j),(9.231306250468219+0j),(9.184799450156534+0j),(117.20247589673872+0j),(251.24017177600024+0j),(107.65436746443372+0j),(138.56422196764655+0j),0.0015351812366738438
1251,LTT 9779 b,LTT 9779,0,0.01679,4.72,29.32,0.0,,1978.0,5443.0,0.95,0.77,-0.149,4.35,,(75.4505285696289+75.4505285696289j),(57.75582649656262+57.75582649656262j),(76.7906437703339+76.7906437703339j),(76.4037768374498+76.4037768374498j),(974.9490842784163+974.9490842784163j),(2089.941987426729+2089.941987426729j),(895.5231207785631+895.5231207785631j),(1152.646821558036+1152.646821558036j),0.00153361165544863
1252,GJ 163 d,GJ 163,0,1.0304,,29.4,0.373,,,,,,,,,,,,,,,,,0.001529441753759908
1253,Kepler-31 c,Kepler-31,0,,4.71,29.5,,,,,1.16,1.19,,,,,,,,,,,,0.001524261156744866
1254,Kepler-117 b,Kepler-117,0,0.1445,8.059,29.875,0.0493,,984.0,6150.0,1.61,1.13,,4.1,,,,,,,,,,0.0015051425704490917
1255,Kepler-9 c,Kepler-9,0,,,29.875,0.068,,,5754.0,1.05,1.03,0.037,4.41,,,,,,,,,,0.0015051425704490917
1256,Kepler-414 c,Kepler-414,0,,3.01,29.9,,,,,0.95,0.89,,,,,,,,,,,,0.0015038850363439105
1257,Kepler-9 c,Kepler-9,0,,8.3,29.9,,,,,,1.0,,,,,,,,,,,,0.0015038850363439105
1258,Kepler-9 c,Kepler-9,0,0.227,8.08,29.9,0.06691,,,5774.0,0.96,1.02,-0.038,4.49,,(14.58223316244485+14.58223316244485j),(11.16239931553774+11.16239931553774j),(14.84123561997148+14.84123561997148j),(14.766466311855233+14.766466311855233j),(188.42724017950354+188.42724017950354j),(403.9205812655824+403.9205812655824j),(173.07667947617+173.07667947617j),(222.77066873559366+222.77066873559366j),0.0015038850363439105
1259,K2-105 b,K2-105,0,0.081,3.59,30.0,,,,5434.0,0.95,1.01,,4.48,,,,,,,,,,0.0014988758431176974
1260,Kepler-56 b,Kepler-56,0,,,30.0,0.04,,,4819.44,4.22,,,,,,,,,,,,,0.0014988758431176974
1261,MOA-2011-BLG-028L b,MOA-2011-BLG-028L,0,4.14,,30.0,,,,,,0.75,,,,,,,,,,,,0.0014988758431176974
1262,MOA-2011-BLG-028L b,MOA-2011-BLG-028L,0,4.14,,30.0,,,,,,0.75,,,,,,,,,,,,0.0014988758431176974
1263,OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.6,,30.0,,,,,,0.47,,,,,,,,,,,,0.0014988758431176974
1264,TOI-216.02,TOI-216,0,0.1293,7.69,30.0,0.132,25.9,628.0,5026.0,0.84,0.87,,4.66,,,,,,,,,,0.0014988758431176974
1265,WASP-107 b,WASP-107,0,,,30.5,0.06,,,4425.0,0.67,0.68,-0.879,4.63,,,,,,,,,,0.0014743222213121632
1266,Kepler-338 b,Kepler-338,0,,2.43,30.6,,,,,1.74,1.14,,,,,,,,,,,,0.0014695077149156077
1267,GJ 143 b,GJ 143,0,0.1932,,30.63,0.325,,,,0.73,0.76,-0.706,,,(32.816229613155464+32.816229613155464j),(25.120148257936712+25.120148257936712j),(33.399095352708656+33.399095352708656j),(33.23083259378648+33.23083259378648j),(424.04146952119265+424.04146952119265j),(908.9931831859577+908.9931831859577j),(389.49617600410437+389.49617600410437j),(501.3287975075665+501.3287975075665j),0.0014680694886225476
1268,HD 34445 d,HD 34445,0,0.4817,,30.7,0.027,,,5836.0,1.38,1.07,0.303,4.21,,(23.789121221570234+0j),(18.21008260413654+0j),(24.21165189915217+0j),(24.089674962244374+0j),(307.3958843025798+0j),(658.9467857612439+0j),(282.35333112690085+0j),(363.42296712205285+0j),0.001464724550411023
1269,Kepler-128 b,Kepler-128,0,,1.13,30.7,,,,,1.66,1.18,,4.07,,,,,,,,,,0.001464724550411023
1270,LP 714-47 b,LP 714-47,0,0.0417,4.7,30.8,0.04,,700.0,3950.0,0.58,0.59,-1.125,4.64,,(79.36173808953502+79.36173808953502j),(60.74977687313204+60.74977687313204j),(80.77132227117542+80.77132227117542j),(80.36440090448522+80.36440090448522j),(1025.488559775059+1025.488559775059j),(2198.28053922006+2198.28053922006j),(941.945307894891+941.945307894891j),(1212.3978041824578+1212.3978041824578j),0.0014599724227432054
1271,HD 147379 b,HD 147379,0,0.3315,,30.82936,0.1,,,4126.06,0.63,0.65,,4.65,,,,,,,,,,0.0014585830481533835
1272,GJ 9066 b,GJ 9066,0,0.403,,30.9,0.18,,,,,0.15,,,,,,,,,,,,0.0014552510308029065
1273,K2-27 b,K2-27,0,0.06702,4.48,30.9,0.251,116.0,902.0,5248.0,0.89,0.87,,4.48,,,,,,,,,,0.0014552510308029065
1274,OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.4,,31.0,,,,,,0.5,,,,,,,,,,,,0.0014505600773632166
1275,HD 103197 b,HD 103197,0,0.249,,31.2,0.0,,,5303.0,,0.9,-0.328,4.4,,(23.864912969639036+23.864912969639036j),(18.268099627135832+18.268099627135832j),(24.28878982299469+24.28878982299469j),(24.16642426957659+24.16642426957659j),(308.37524252281213+308.37524252281213j),(661.0461793585105+661.0461793585105j),(283.25290418552026+283.25290418552026j),(364.5808267045899+364.5808267045899j),0.0014412683161182382
1276,HATS-37 A b,HATS-37 A,0,0.04913,6.793,31.46517,0.0,229.7,1085.0,5326.0,0.88,0.84,-0.256,4.48,,(50.498406828792945+50.498406828792945j),(38.65549093489861+38.65549093489861j),(51.39533470836636+51.39533470836636j),(51.13640791042669+51.13640791042669j),(652.525256331584+652.525256331584j),(1398.7806676828704+1398.7806676828704j),(599.3661242006139+599.3661242006139j),(771.4568635690486+771.4568635690486j),0.0014291308312111006
1277,HD 85390 b,HD 85390,0,1.373,,31.46517,0.5,,,5186.0,,0.76,,4.41,,,,,,,,,,0.0014291308312111006
1278,HD 156668 c,HD 156668,0,1.57,,31.4968,0.089,,,4903.69,0.77,0.79,,4.55,,,,,,,,,,0.0014276966810811142
1279,HD 179079 b,HD 179079,0,0.12,,31.783,0.12,,,5730.0,1.7,1.53,,4.16,,,,,,,,,,0.0014148496329251525
1280,HD 49674 b,HD 49674,0,0.06,,31.783,0.09,,,5602.0,1.02,1.03,,4.44,,,,,,,,,,0.0014148496329251525
1281,GJ 229 b,GJ 229,0,0.97,,32.0,0.1,,,3564.0,,0.58,-1.553,,,(17.836024668678103+17.836024668678103j),(13.65310973536696+13.65310973536696j),(18.152819371535447+18.152819371535447j),(18.061366491227933+18.061366491227933j),(230.4717574224475+230.4717574224475j),(494.0489821678212+494.0489821678212j),(211.6959652421506+211.6959652421506j),(272.478371368998+272.478371368998j),0.001405261925208845
1282,Kepler-56 b,Kepler-56,0,,5.1,32.0,,,,,,1.4,,,,,,,,,,,,0.001405261925208845
1283,WASP-166 b,WASP-166,0,0.0641,7.062,32.10083,0.0,440.0,1270.0,6050.0,1.22,1.19,,4.34,,,,,,,,,,0.001400851032567374
1284,K2-98 b,K2-98,0,0.0943,4.3,32.2,0.0,,1102.0,6120.0,1.31,1.07,,4.23,,,,,,,,,,0.0013965396850027512
1285,K2-19 b,K2-19,0,,7.0,32.4,0.2,,,5322.0,0.82,0.88,,4.51,,,,,,,,,,0.001387925052047212
1286,GJ 433 c,GJ 433,0,4.819,,32.422,0.12,,,,,0.48,,,,,,,,,,,,0.001386983926397467
1287,TOI-1338 b,TOI-1338,0,0.4607,6.85,33.0,0.088,,,6050.0,1.33,1.13,,4.0,,,,,,,,,,0.0013627072450602684
1288,HD 177830 c,HD 177830,0,0.496,,33.05415,0.54,,,4744.94,3.58,1.32,,3.45,,,,,,,,,,0.0013604763481187554
1289,TOI-500 d,TOI-500,0,,,33.12,0.016,,,4440.0,0.68,0.74,,4.62,,,,,,,,,,0.0013577732518670338
1290,Kepler-128 c,Kepler-128,0,,1.13,33.3,,,,,1.66,1.18,,4.07,,,,,,,,,,0.0013504388926401933
1291,Kepler-24 b,Kepler-24,0,,2.02,33.3,,,,,1.09,0.97,,,,,,,,,,,,0.0013504388926401933
1292,HD 49674 b,HD 49674,0,0.058,,33.4,0.087,,,5662.0,,1.06,,4.56,,,,,,,,,,0.001346398384322045
1293,Kepler-24 c,Kepler-24,0,,2.36,33.6,,,,,1.09,0.97,,,,,,,,,,,,0.0013383894713362432
1294,MOA-2015-BLG-337L b,MOA-2015-BLG-337L,0,0.24,,33.7,,,,,,0.01,,,,,,,,,,,,0.0013344206390392133
1295,MOA-2015-BLG-337L b,MOA-2015-BLG-337L,0,0.24,,33.7,,,,,,0.01,,,,,,,,,,,,0.0013344206390392133
1296,Kepler-203 d,Kepler-203,0,,1.22,33.9,,,,,0.94,1.01,,,,,,,,,,,,0.0013265531726730506
1297,KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,0,3.45,,34.0,,,,,,0.76,,,,,,,,,,,,0.001322654125946121
1298,OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,3.0,,34.0,,,,,,0.55,,,,,,,,,,,,0.001322654125946121
1299,OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0,2.7,,34.0,,,,,,0.54,,,,,,,,,,,,0.001322654125946121
1300,HD 206255 b,HD 206255,0,0.461,,34.2,0.23,,,5635.0,,1.42,,,,,,,,,,,,0.0013149243918475495
