,Name,Average
1,['Arrakis'],[0.005678758213558191]
4,['Dhrawn'],[0.006396596945976695]
0,['Earth'],[0.006455122102600353]
2,['Erid'],[0.005149162833773897]
5,['Hekla'],[0.008862699682039267]
3,['Mesklin'],[0.009708430357461434]
6,['Sarr'],[0.0016801588640781558]
7,['Tenebra'],[0.003636792048007151]
