,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Earth
0,TOI-561 b,1.45,1.0484067598580042,1.4837032100238539,5.762816840726222,0.033843140449653045
1,Kepler-10 b,1.47,1.1697007719576802,1.588798608609528,5.392692763192093,0.03059741158303235
2,Kepler-10 b,1.416,1.6042015199550659,1.7922840623726455,5.3942936813699145,0.02828997369813452
3,Kepler-21 b,1.639,1.1524197497703828,1.7583220713010548,5.105699591457012,0.027845426546355138
4,55 Cnc e,1.92,1.1402275116725602,2.0488544827323274,5.023795847558652,0.02567611155259371
