,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis
35,35,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Published Confirmed,0,,23400000000.0,16.141,4417.837,4417.837,Mass,,,3064.0,194975.76,,,-2.23,0.035,,1.0493061457105701,16.523257597824863,1.8992798511481932,1.5677380698981558,1.8385701159279646,1.7192533033913935,0.003,0.003
174,174,BD+60 1417 b,BD+60 1417,1,1,1,Published Confirmed,0,,249300000000.0,14.684,4767.4261,4767.4261,Mass,,1303.0,4993.0,557073.6,,,0.356,0.1,44.9543,1.5039544503348208,17.99599422867657,2.5783136653487913,2.1282384935860423,2.4958988806905986,2.3339237151651377,0.004,0.003
195,195,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Published Confirmed,0,8040000.0,30000000000.0,20.849,2479.06157,2479.06157,Mass,,1800.0,2320.0,167122.08,,,-2.85,0.003,,0.2732218740794485,10.890732478543487,1.1739139467741861,0.9689933708451114,1.1363902480749608,1.062642469285729,0.002,0.001
198,198,COCONUTS-2 b,COCONUTS-2 A,1,1,1,Published Confirmed,0,402000000.0,1125900000000.0,12.442,2002.31896,2002.31896,Mass,,434.0,3406.0,271573.38,0.0,[Fe/H],-1.732,0.475,10.8864,1.0383565566841189,12.670028144720465,0.3647094194601484,0.30104507294829247,0.35305162596838696,0.33013980209696486,0.001,0.001
241,241,CoRoT-19 b,CoRoT-19,1,1,1,Published Confirmed,0,3.89713,7770000.0,14.46,352.78,352.78,Mass,0.047,2000.0,6090.0,1148964.3,-0.02,[Fe/H],0.544,5.0,790.663,0.11654212104520142,4.93314498688116,514.6196679964214,424.7867129999837,498.1700522305839,465.84054669887354,0.15,0.162
327,327,CoRoTID 223977153 b,CoRoTID 223977153,1,1,1,Published Confirmed,0,6.71837,10649999.999999998,6.389,47.6745,47.6745,Mass,,938.0,5970.0,550110.18,0.0,[Fe/H],-0.155,,576.683,0.18258761821127442,2.7282406635842937,293.94906681314126,242.63677750037957,284.55310022945395,266.0865926850073,0.352,0.339
455,455,EPIC 246851721 b,EPIC 246851721,1,2,1,Published Confirmed,0,6.180235,10843499.999999998,11.781,953.49,953.49,Mass,,1401.0,6202.0,1107183.78,0.141,[Fe/H],0.526,3.02,372.632,0.5824431145359158,8.985102619157182,431.13387524704746,355.87435366036556,417.35285008906664,390.26810018245396,0.228,0.243
464,464,G 9-40 b,G 9-40,1,1,1,Published Confirmed,0,5.746007,5775000.0,2.025,11.7,11.7,Mass,0.0,456.0,3348.0,215866.02,0.04,[Fe/H],-1.971,9.9,27.9276,1.407325704331569,2.400692111169639,140.3365822052873,115.83917050960932,135.85077841905522,127.03453490397308,0.45,0.396
487,487,GJ 1214 b,GJ 1214,1,1,1,Published Confirmed,0,1.58040433,2235000.0,2.742,8.17,8.17,Mass,0.063,596.0,3250.0,146231.82,0.29,[Fe/H],-2.337,,14.6427,0.3958252967776153,1.723984477926033,182.72927282714758,150.83171514863483,176.88840331883654,165.40896053020265,0.47,0.438
571,571,GJ 3473 b,GJ 3473,1,2,2,Published Confirmed,0,1.1980035,2383500.0,1.264,1.86,1.86,Mass,0.0,773.0,3347.0,250683.12,0.11,[Fe/H],-1.824,,27.3644,0.9199316550151163,1.2115434203779671,237.73291280057006,196.23381864442882,230.1338735223241,215.19898471525832,0.827,0.767
