,Name,Average
1,['Arrakis'],[0.2767924826562969]
4,['Dhrawn'],[0.20861686419109193]
0,['Earth'],[0.28238017122656156]
2,['Erid'],[0.3254080456054162]
5,['Hekla'],[0.33206657164750036]
3,['Mesklin'],[0.11097650372961411]
6,['Sarr'],[0.14287538192276547]
7,['Tenebra'],[0.279580709365893]
