,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Erid
0,TOI-561 b,1.45,1.0484067598580042,1.4837032100238539,5.762816840726222,0.021082823844219487
1,55 Cnc e,1.92,1.1402275116725602,2.0488544827323274,5.023795847558652,0.020240170689014878
2,55 Cnc e,1.91,1.1582307740968618,2.0542109741810664,5.023795847558652,0.020162513953769213
3,Kepler-10 b,1.47,1.1697007719576802,1.588798608609528,5.392692763192093,0.019682410513985418
4,Kepler-21 b,1.639,1.1524197497703828,1.7583220713010548,5.105699591457012,0.01943991730719092
