,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Earth
0,TOI-178 b,1.152,0.9799810159452014,1.1396603480759493,319.76486630820847,0.901
1,HD 23472 d,0.75,1.302155171888637,0.8552769371938062,288.24916278942874,0.882
2,GJ 3473 b,1.264,0.9199316550151163,1.2115434203779671,237.73291280057006,0.827
3,HD 136352 b,1.664,1.023212586298141,1.6820944837227632,278.36379147263057,0.807
4,HD 23472 e,0.818,1.3138821918141235,0.9370130611769806,229.16421616199753,0.806
