,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin
104,GJ 3473 b,GJ 3473,0,2383500.0,1.264,1.86,3347.0,250683.12,0.9207656819008961,1.2115434203779671,792.4943908451648,1698.824409331409,727.9324238910718,787.867197954658,0.40831261447534234,0.008375400184891291,0.4346664109733428,0.3884980756024005,0.0009108296696860881
107,Kepler-11 b,Kepler-11,0,13650000.0,1.8,1.9,5663.0,738122.52,0.32569679691024844,1.0261163228781742,961.4572552042949,2061.020333441013,883.1304275884255,955.8435269215457,0.1597121444757153,0.017260866095278805,0.17983784912636075,0.19215553204841496,0.0003278064453080398
112,L 98-59 d,L 98-59,0,7290000.0,1.521,1.94,3415.0,208902.6,0.5511775114068829,1.12795638292766,422.06990211730687,904.7668481240888,387.6852258500665,419.6055328133281,0.42983897121636044,0.022944444603198385,0.46754812138841895,0.4421531036646705,0.0010528132129158738
117,Kepler-11 f,Kepler-11,0,37500000.0,2.49,2.0,5663.0,738122.52,0.1295118050172228,0.8950996195457033,580.0703573748028,1243.4632896101352,532.8138926269055,576.6834596697277,0.0823739756818909,0.02568319585108395,0.1003927337636223,0.10622654481587505,0.0002345096108298313
126,GJ 1252 b,GJ 1252,0,1374000.0,1.193,2.09,3458.0,271573.38,1.2305587615768652,1.3219315549745039,1122.4338060075872,2406.096458892153,1030.9927369871036,1115.880172584789,0.28764580690558095,0.004949906832056751,0.28158450362391957,0.2905819633820649,0.0008943815057719134
129,K2-32 e,K2-32,0,7348500.0,1.212,2.1,5271.0,598854.12,1.1792037105259763,1.3146628347879978,1098.6002790571995,2355.0059050516434,1009.1008507563802,1092.1858041290664,0.29784512512246275,0.005280802604083543,0.29177537578321994,0.30408280428591217,0.0008853966667986236
131,Kepler-51 b,Kepler-51,0,37710000.0,7.1,2.1,6018.0,654561.48,0.005865724353289231,0.5431709329998973,578.8748166178834,1240.9004780070911,531.7157487269634,575.4948994009411,0.001347023563151777,0.002401586898786381,0.0016714383288820621,0.0018439070456418225,1.3057583612458401e-05
138,LTT 1445 A b,LTT 1445 A,0,5710500.0,1.38,2.2,3337.0,194975.76,0.8368792954397252,1.2610370467402388,450.18909085541486,965.0443273728066,413.5136347983648,447.5605400610447,0.5284968666187427,0.016111908868855437,0.568812338247758,0.555997202207959,0.001515181366909972
139,TOI-1266 c,TOI-1266,0,15870000.0,1.56,2.2,3600.0,292463.64,0.5793303588766009,1.186055712220793,356.8087491755746,764.8702874931809,327.74068896048914,354.7254247678206,0.4684180927934122,0.02682041037194065,0.5057925307905637,0.44018982349538743,0.0013518602940131913
141,L 98-59 c,L 98-59,0,4560000.0,1.385,2.22,3415.0,208902.6,0.8353741958884777,1.2644674342416136,533.6613204553043,1143.9789202023896,490.18565055287274,530.5453944670891,0.4726303419862675,0.014159964544699491,0.5111518596253126,0.5087658074824164,0.0013208536331898463
143,Kepler-11 f,Kepler-11,0,37500000.0,2.61,2.3,5680.0,765976.2000000001,0.12932536590370922,0.9375613864625284,592.6876213822674,1270.510189023518,544.4032687511103,589.227054367999,0.08031418395400908,0.02724824831587508,0.09671083225340449,0.10533654313603294,0.0002491249737969614
146,L 98-59 d,L 98-59,0,7590000.0,1.57,2.31,3412.0,215866.02,0.5967472475107484,1.2114687390077874,420.11268397482445,900.5712727443192,385.88745596929624,417.6597424184471,0.427908010951685,0.023738920477461012,0.46375432431851554,0.4964109819261022,0.001252730937483637
148,LHS 1478 b,LHS 1478,0,2772000.0,1.242,2.33,3381.0,174085.5,1.2158179064562662,1.3679594088201634,618.6077755710547,1326.073725041212,568.2117914160494,614.995866724505,0.43206501428402677,0.008948468312630908,0.4168170166463519,0.4546259723058217,0.0016099770365069505
149,LTT 3780 b,LTT 3780,0,1804500.0,1.35,2.34,3360.0,264609.96,0.9508060878221989,1.3149132229123113,939.3975970156882,2013.7323195128054,862.8678987416082,933.9126700149625,0.3363585528923829,0.00797292537609429,0.3471849106718533,0.38548320440673406,0.0009213993750748923
150,GJ 9827 d,GJ 9827,0,9165000.0,2.04,2.35,4219.0,431732.04,0.2767290561554638,1.071950906004012,668.553163091927,1433.1387647867762,614.0882889916023,664.64963458886,0.16577015113551877,0.02987798230473804,0.18535768036420386,0.23138488715307584,0.00044562453466096084
153,GJ 9827 c,GJ 9827,0,5912999.999999999,1.269,2.42,4269.0,424768.62,1.1838805934846512,1.3792180119217585,835.3797532258615,1790.7552813438326,767.3240538481432,830.5021625455315,0.3479270975535841,0.007265134915164662,0.3383566689258947,0.38858324140101075,0.001239871723185667
154,L 98-59 c,L 98-59,0,4755000.0,1.35,2.42,3412.0,215866.02,0.9833122788588553,1.3372014750757806,530.7761759577238,1137.7942027412214,487.53554949012573,527.6770956661613,0.508023287616904,0.012782799353680693,0.49913586575171653,0.5663467947072918,0.001590969728943711
