,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Arrakis
0,BD+60 1417 b,14.684,1.5039544503348208,17.99599422867657,257.8313665348792,0.18506535528223172
1,2MASS J02192210-3925225 b,16.141,1.0493061457105701,16.523257597824863,189.92798511481934,0.16504938653158718
2,Ross 458 c,14.011,0.6925044682633972,11.651841032316826,122.30801492486847,0.1399711340554015
3,TRAPPIST-1 h,0.755,0.7565899812375398,0.6562833291240616,5279.478417279278,0.1010069957306823
4,CFHTWIR-Oph 98 b,20.849,0.2732218740794485,10.890732478543487,117.39139467741863,0.09938831809808461
