,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Arrakis
0,TOI-178 b,1.152,0.9799810159452014,1.1396603480759493,319.76486630820847,0.916110744454284
1,HD 23472 d,0.75,1.302155171888637,0.8552769371938062,288.24916278942874,0.8264574507805246
2,LHS 1678 b,0.696,1.036869659283395,0.7082481529982575,265.6272372759426,0.7863018204814387
3,GJ 3473 b,1.264,0.9199316550151163,1.2115434203779671,237.7329128005701,0.7667368730665995
4,HD 219134 b,1.602,1.1515283839187915,1.7179636213576124,312.03935818953266,0.7593609477645897
