,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Tenebra
0,TOI-561 b,1.45,1.0484067598580042,1.4837032100238539,5.762816840726222,0.011422522228697291
1,55 Cnc e,1.92,1.1402275116725602,2.0488544827323274,5.023795847558652,0.011165174540446162
2,55 Cnc e,1.91,1.1582307740968618,2.0542109741810664,5.023795847558652,0.011127949380821891
3,55 Cnc e,2.173,0.8147607887190225,1.9601482270433335,4.9615248764368385,0.011058993959814427
4,HD 213885 b,1.745,1.659809517642129,2.2466668869220716,5.340004738846431,0.011012760986296003
