,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Sarr
0,TOI-561 b,1.425,0.6903498638225222,1.1832148561360638,710.8014867365542,0.644
1,GJ 367 b,0.718,1.4733405804808477,0.870943831273646,418.5738433241413,0.547
2,HD 20329 b,1.72,1.45647289043112,2.07440608369834,656.5457699989428,0.524
