,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid
61,LHS 1678 c,LHS 1678,0,4965000.0,0.982,1.4,3490.0,229792.86000000002,1.4766494677918076,1.1925162952135844,548.1754514042408,1175.092023615008,503.51736197491095,544.9747807360445,0.5028234480102962,0.006062234114501423,0.49144520049906404,0.3729452376430119
63,TOI-500 b,TOI-500,0,1783500.0,1.166,1.42,4440.0,473512.56000000006,0.8946981390081763,1.1021759879388358,1670.3123108754257,3580.5519353843874,1534.2373437040517,1660.5597405871158,0.24402790889668416,0.003762655665780985,0.2712557829915688,0.21181205993310645
72,GJ 9827 c,GJ 9827,0,6435000.0,1.24,1.45,4219.0,431732.04,0.7596032035050168,1.0800135563352953,797.8622308046401,1710.3311375226535,732.8629632083192,793.2036963283948,0.39318378835749423,0.008645696330665692,0.4325665669671464,0.3336163807337985
74,TOI-178 b,TOI-178,0,3910500.0,1.152,1.5,4316.0,452622.3,0.9799810159452014,1.1396603480759493,1072.0592333731993,2298.1113998311403,984.7220186276709,1065.799725520309,0.3641867811288692,0.005339993915578125,0.36657626287690503,0.3121988717722111
75,LTT 1445 A c,LTT 1445 A,0,3991500.0000000005,1.147,1.54,3340.0,188012.34000000003,1.0193288308137716,1.157270012522518,529.245403074369,1134.5127734094474,486.1294837459647,526.1552606143985,0.6028598860499366,0.009560943563334283,0.5836103230524479,0.49332709899001337
77,TOI-270 b,TOI-270,0,4795500.0,1.206,1.58,3506.0,264609.96,0.8997026598826391,1.1431703132480626,601.289437372195,1288.949404666019,552.3043224818949,597.7786463282631,0.5190635313864234,0.00985528852478217,0.5623509457554362,0.44184890375062935
78,TOI-561 b,TOI-561,0,1582500.0,1.423,1.59,5455.0,591890.7,0.5511454988893724,1.0557282924640858,2435.73014386949,5221.33389302214,2237.299049751734,2421.5084744985725,0.12068213758969493,0.004362258843800531,0.1365525756229365,0.12840212622021868
82,K2-138 f,K2-138,0,15670499.999999998,2.904,1.63,5356.3,598854.12,0.06647856086247139,0.7482583026200428,764.4859434879154,1638.784319978568,702.205734579814,760.0222854942895,0.02992001328133516,0.012201621300284602,0.037076885502337585,0.04048553735192532
85,GJ 1132 b,GJ 1132,0,2295000.0,1.13,1.66,3270.0,146231.82,1.1490967556787886,1.2105169377226184,602.6468175842318,1291.8591421526053,553.551121297513,599.1281011087267,0.5113020465224682,0.007974409287021578,0.49476830521603404,0.450649049819809
95,LHS 1140 c,LHS 1140,0,4101000.0,1.169,1.76,2988.0,146231.82,1.100406064580014,1.225476892319672,411.94778143620596,883.0686432081978,378.3877217573829,409.5425128721107,0.649323205932169,0.011676391715754894,0.6220407766918995,0.49438921223090776
98,K2-3 d,K2-3,0,31455000.0,1.65,1.8,3835.0,417805.2,0.40022527651792,1.0431585660835465,322.6955385949044,691.743770151776,296.40657183416937,320.81139339560247,0.39833308202942086,0.03489502683810076,0.4307546948496149,0.27140519233075405
100,LHS 1140 c,LHS 1140,0,4012500.0,1.282,1.81,3216.0,146231.82,0.8580218355196481,1.1867283654506613,448.2445079705334,960.8758374642765,411.7274708214321,445.6273111493949,0.5791985291777435,0.014130080772373793,0.6241238854268553,0.49820163474424484
103,GJ 357 b,GJ 357,0,5250000.000000001,1.217,1.84,3505.0,236756.28000000003,1.0196002404300655,1.2280602396601665,543.4312908527619,1164.9222409140298,499.1596929119369,540.2583202493596,0.5555562910525926,0.010360890398700633,0.5374433207779177,0.5243707668000999
104,GJ 3473 b,GJ 3473,0,2383500.0,1.264,1.86,3347.0,250683.12,0.9199316550151163,1.2115434203779671,792.4943908451648,1698.824409331409,727.9324238910718,787.867197954658,0.4081199782522191,0.008381420281734444,0.4346664109733428,0.4058630340400444
107,Kepler-11 b,Kepler-11,0,13650000.0,1.8,1.9,5663.0,738122.52,0.32540178169565576,1.0261163228781742,961.4572552042949,2061.020333441013,883.1304275884255,955.8435269215457,0.15960299508454182,0.017269866098954815,0.17983784912636075,0.19983041372022714
112,L 98-59 d,L 98-59,0,7290000.0,1.521,1.94,3415.0,208902.6,0.5506782564146664,1.12795638292766,422.06990211730687,904.7668481240888,387.6852258500665,419.6055328133281,0.42958788954122434,0.022958925001842764,0.46754812138841895,0.3957658583238369
117,Kepler-11 f,Kepler-11,0,37500000.0,2.49,2.0,5663.0,738122.52,0.12939449359963473,0.8950996195457033,580.0703573748028,1243.4632896101352,532.8138926269055,576.6834596697277,0.0823079100964552,0.025668072291787025,0.1003927337636223,0.1086528183514717
126,GJ 1252 b,GJ 1252,0,1374000.0,1.193,2.09,3458.0,271573.38,1.2294441250174657,1.3219315549745039,1122.4338060075872,2406.096458892153,1030.9927369871036,1115.880172584789,0.2877896187773104,0.004953660527449835,0.28158450362391957,0.3209849297863935
129,K2-32 e,K2-32,0,7348500.0,1.212,2.1,5271.0,598854.12,1.1781355912229636,1.3146628347879978,1098.6002790571995,2355.0059050516434,1009.1008507563802,1092.1858041290664,0.2979911831221271,0.0052847789069917816,0.29177537578321994,0.3355461027813108
131,Kepler-51 b,Kepler-51,0,37710000.0,7.1,2.1,6018.0,654561.48,0.005860411197172122,0.5431709329998973,578.8748166178834,1240.9004780070911,531.7157487269634,575.4948994009411,0.001345810541915913,0.0023994633164936786,0.0016714383288820478,0.001874891761954097
138,LTT 1445 A b,LTT 1445 A,0,5710500.0,1.38,2.2,3337.0,194975.76,0.836121252599653,1.2610370467402388,450.18909085541486,965.0443273728066,413.5136347983648,447.5605400610447,0.528236148036443,0.016123254225139334,0.5688123382477581,0.5345069001520426
139,TOI-1266 c,TOI-1266,0,15870000.0,1.56,2.2,3600.0,292463.64,0.5788056031167489,1.186055712220793,356.8087491755746,764.8702874931809,327.74068896048914,354.7254247678206,0.4681493505556845,0.026837590631414863,0.5057925307905639,0.390215461687744
141,L 98-59 c,L 98-59,0,4560000.0,1.385,2.22,3415.0,208902.6,0.8346175163632165,1.2644674342416136,533.6613204553043,1143.9789202023896,490.18565055287274,530.5453944670891,0.4723969924242963,0.014169931410435457,0.5111518596253126,0.524450869870953
143,Kepler-11 f,Kepler-11,0,37500000.0,2.61,2.3,5680.0,765976.2000000001,0.12920822336212975,0.9375613864625284,592.6876213822674,1270.510189023518,544.4032687511103,589.227054367999,0.08024975973753087,0.027232195088643423,0.09671083225340445,0.10785203373478368
146,L 98-59 d,L 98-59,0,7590000.0,1.57,2.31,3412.0,215866.02,0.5962067155836552,1.2114687390077874,420.11268397482445,900.5712727443192,385.88745596929624,417.6597424184471,0.4276651866155743,0.02375425820329297,0.46375432431851554,0.44275168663744413
148,LHS 1478 b,LHS 1478,0,2772000.0,1.242,2.33,3381.0,174085.5,1.214716622120708,1.3679594088201634,618.6077755710547,1326.073725041212,568.2117914160494,614.995866724505,0.4322798618303996,0.008955240833699068,0.4168170166463519,0.49330031080204795
149,LTT 3780 b,LTT 3780,0,1804500.0,1.35,2.34,3360.0,264609.96,0.9499448504238092,1.3149132229123113,939.3975970156882,2013.7323195128054,862.8678987416082,933.9126700149625,0.3362023061133053,0.007978693940982037,0.3471849106718533,0.40514863115133476
150,GJ 9827 d,GJ 9827,0,9165000.0,2.04,2.35,4219.0,431732.04,0.27647839577851135,1.071950906004012,668.553163091927,1433.1387647867762,614.0882889916023,664.64963458886,0.16565251959322083,0.029892471643755206,0.1853576803642038,0.2389615881682815
153,GJ 9827 c,GJ 9827,0,5912999.999999999,1.269,2.42,4269.0,424768.62,1.1828082378746108,1.3792180119217585,835.3797532258615,1790.7552813438326,767.3240538481432,830.5021625455315,0.3480980248794357,0.007270609032006209,0.3383566689258947,0.4255677276478874
154,L 98-59 c,L 98-59,0,4755000.0,1.35,2.42,3412.0,215866.02,0.9824215974468454,1.3372014750757806,530.7761759577238,1137.7942027412214,487.53554949012573,527.6770956661613,0.5077911644287866,0.012792110116429369,0.49913586575171653,0.5848861462657636
161,TOI-1064 c,TOI-1064,0,14143500.0,2.651,2.5,4734.0,508329.66,0.1340277313159773,0.9698871127121717,655.2515375257705,1404.6248390648861,601.8703040419075,651.4256741619938,0.0778617134881778,0.02672568401221843,0.09084561959041941,0.10679257591369248
165,K2-229 b,K2-229,0,1933200.0,1.164,2.59,5185.0,550110.18,1.6403052088968928,1.489805043358387,2019.3924376701293,4328.854821893031,1854.8790362703246,2007.6016686266216,0.14038292085111598,0.0024193803910113037,0.13741668253005745,0.18420511240517864
168,LTT 3780 b,LTT 3780,0,1816500.0,1.332,2.62,3331.0,257646.54,1.10731825002652,1.4007304879349873,915.9138073769611,1963.391477328008,841.2972578495813,910.5659968349937,0.32442550769781925,0.007488258115122481,0.31641040273880516,0.4314574905437498
185,GJ 486 b,GJ 486,0,2601000.0,1.305,2.82,3340.0,229792.86000000002,1.267364138717238,1.4681666226216255,724.8198409920182,1553.7543892667463,665.7711017676412,720.5877842684876,0.3527066043027037,0.008356961621509255,0.3405801054918133,0.47241639352282266
189,LTT 1445 A b,LTT 1445 A,0,5719500.0,1.305,2.87,3340.0,188012.34000000003,1.2898351340845648,1.4811250965035345,442.12607537131186,947.7601072250737,406.1074872306137,439.544602674093,0.48193759432813865,0.01243854744436597,0.45881625737402143,0.565946844668723
192,Kepler-11 c,Kepler-11,0,16050000.0,2.87,2.9,5663.0,738122.52,0.12252822681036797,1.0039546575253206,886.6634131332432,1900.689098235077,814.4297990668238,881.4863889310311,0.05521270828858667,0.021318965633654017,0.06295028172384969,0.08006856700098505
200,TOI-178 d,TOI-178,0,8880000.0,2.572,3.01,4316.0,452622.3,0.17670036382822754,1.0804478606930241,711.423888238396,1525.0382598064054,653.4664741628009,707.2700474089577,0.09316783728637014,0.03151298059621292,0.10507284233657259,0.14152054204589662
203,TOI-431 b,TOI-431,0,1695000.0,1.28,3.07,4850.0,508329.66,1.4621512754105588,1.546750450439529,1939.1666335101345,4156.87940359399,1781.188970125484,1927.844284527302,0.14471841174911404,0.003114398083517354,0.141828830705502,0.22097783335146856
205,K2-138 b,K2-138,0,5077500.0,1.51,3.1,5356.3,598854.12,0.899320913280818,1.4310289559622131,1343.0307777217809,2878.977433826247,1233.61838352536,1335.18912920263,0.2192314233343219,0.007133537301440914,0.24072450441553914,0.34417570729653324
206,K2-3 c,K2-3,0,21195000.0,1.77,3.1,3835.0,417805.2,0.5583747044896229,1.3217528696957144,393.11633969940993,842.7007702554899,361.09041695979266,390.82102360227105,0.3769200646120867,0.031179456296750795,0.4076998526359913,0.46140132597688116
213,TOI-561 b,TOI-561,0,1596000.0,1.45,3.2,5326.0,577963.86,1.0484067598580042,1.4837032100238539,2340.0254306195993,5016.177232186237,2149.3910914133844,2326.362559107511,0.1406698173744111,0.003726986106789638,0.1394456428264045,0.2388267212139328
221,Kepler-10 b,Kepler-10,0,2527500.0,1.47,3.33,5708.0,738122.52,1.0470708523169556,1.5032094510924985,2252.1023686923013,4827.701647411488,2068.6308383137916,2238.9528597626627,0.14332905361508722,0.003956276134422184,0.14197483466189256,0.2505213193470273
228,GJ 9827 b,GJ 9827,0,2832000.0,1.62,3.42,4269.0,424768.62,0.8034611893719896,1.451147620386724,1207.0944697350526,2587.5786292543103,1108.7563689664262,1200.0465221242544,0.2138115585307981,0.00923181792616211,0.23538640459191676,0.3666186534337464
229,TOI-1685 b,TOI-1685,0,1733550.0,1.459,3.43,3461.0,320317.32,1.1030928897558019,1.5313535241449778,1086.1983566305153,2328.420620935478,997.7092730275616,1079.8562936815006,0.2561493508372935,0.007505094351711042,0.25024944422559037,0.4282954836511489
233,Kepler-107 b,Kepler-107,0,6816000.0,1.536,3.51,5854.0,1009695.9,0.967425009178403,1.509781149456411,1645.0107514584056,3526.3144452162323,1510.9970208861025,1635.4059111694567,0.1841671727822074,0.005908960791852132,0.18806852418399672,0.3196747466544878
244,GJ 9827 b,GJ 9827,0,3090000.0,1.58,3.69,4219.0,431732.04,0.9344131597779347,1.5263027540272716,1151.3912980635137,2468.170960498612,1057.5911553804465,1144.668588489621,0.2372565463684521,0.008713115066561606,0.24938663057339722,0.41807459413065984
246,HD 21749 c,GJ 143,0,10425000.000000002,0.892,3.7,4640.0,480475.98,5.207041054227936,2.0341102258771064,727.2794335824648,1559.0268757069407,668.0303192672615,723.0330158622136,0.11361995995049862,0.002084870168703858,0.1084026035492149,0.16235114312156598
250,Kepler-10 b,Kepler-10,0,2527500.0,1.47,3.72,5708.0,738122.52,1.1697007719576802,1.588798608609528,2252.1023686923013,4827.701647411488,2068.6308383137916,2238.9528597626627,0.13075737327675754,0.0037705716930660103,0.12900812307123868,0.24422032403241883
252,Kepler-101 c,Kepler-101,0,10260000.0,1.25,3.78,5667.0,1086293.52,1.9330611904429713,1.7367885274119956,1346.2900741145281,2885.964199074314,1236.6121555327832,1338.4293953116673,0.15611277555791805,0.003662267673655146,0.15074796201596316,0.2589698194662943
256,Kepler-107 d,Kepler-107,0,12565500.0,0.86,3.8,5854.0,1009695.9,5.967220467534508,2.0994165715235145,1211.5564231538642,2597.1434608401755,1112.8548214033965,1204.48242322096,0.06579541975377673,0.001152759330689773,0.06335809715097944,0.09990882444260088
264,TOI-178 e,TOI-178,0,11745000.0,2.207,3.86,4316.0,452622.3,0.3586444760384651,1.3208348950581,618.5978641881587,1326.0524785827026,568.202687481613,614.9860132118993,0.180265613893971,0.034882585791017724,0.1993813397809355,0.3343491786954286
266,K2-36 b,K2-36,0,3345000.0,1.43,3.9,4916.0,501366.24,1.3321107576410058,1.6493785147696394,1389.5586236049428,2978.716487140718,1276.355755579237,1381.445309670657,0.18295121945215992,0.005331927925482829,0.17846993192300198,0.33410492640095735
278,TOI-178 g,TOI-178,0,19125000.0,2.87,3.94,4316.0,452622.3,0.16646938401132755,1.1702083988001704,484.76829125554184,1039.1697601500025,445.2757790535883,481.9378404450968,0.10132387723238363,0.04874645546772392,0.11295988417631006,0.1641495203036188
289,Kepler-289 d,Kepler-289,0,49500000.0,2.68,4.0,5990.0,696342.0,0.20755798704254558,1.2201652350142376,518.7057178065095,1111.9194594295018,476.44843270925014,515.6771141502238,0.12016989288361855,0.05120937249029035,0.133721581703655,0.20427915231131985
291,Kepler-51 c,Kepler-51,0,57600000.0,9.0,4.0,6018.0,654561.48,0.005480451060137361,0.6658321925710793,468.38360069953717,1004.0468462500091,430.2258964942707,465.64881633737207,0.0013272311845584684,0.0036777253863448625,0.001631842045635576,0.001850683518369382
292,Kepler-62 c,Kepler-62,0,13935000.0,0.54,4.0,4925.0,445658.88,25.37245861174704,2.718248543529487,643.0423081567766,1378.4526199163658,590.6557212876554,639.2877316815728,0.01769811680114215,0.00037518970363144,0.01658549589973846,0.024557302755995852
294,TOI-776 b,TOI-776,0,9780000.0,1.85,4.0,3709.0,376024.68000000005,0.6309989651693105,1.4685886915171122,530.9835885447037,1138.2388211128268,487.726064841313,527.8832972186419,0.30939880903365075,0.02547028029630715,0.3358136266558997,0.5731848119404802
295,Kepler-93 b,Kepler-93,0,7950000.0,1.478,4.02,5655.0,640634.64,1.2436168329534172,1.6471450966635488,1172.032814027626,2512.4189849269505,1076.551073484748,1165.1895833787305,0.21444805684379667,0.00678753821631109,0.20887394355054334,0.40003362838353196
296,GJ 9827 d,GJ 9827,0,8386500.0,2.022,4.04,4340.0,417805.2,0.4881145485208037,1.4117446649058525,707.2481033475626,1516.086871149762,649.6308770250214,703.1186439678637,0.20837265001056202,0.02509594763121737,0.22945479310082295,0.419553551655995
297,HD 137496 b,HD 137496,0,4098000.0,1.31,4.04,5799.0,1107183.78,1.7949457166407132,1.7539252605686937,2200.7084261513432,4717.531424014395,2021.4237948326888,2187.8589946585776,0.10413601279533723,0.0025982048480201517,0.10146725386634821,0.19140789669208486
302,Kepler-79 e,Kepler-79,0,57900000.0,3.49,4.1,6174.0,905244.6,0.09633662262645425,1.0825183405906076,563.6322463362875,1208.2258613101715,517.714941579825,560.341326989431,0.05084786145564187,0.03295162283142856,0.057322810102316615,0.07866120055900433
304,Kepler-80 e,Kepler-80,0,7365000.0,1.6,4.13,4540.0,473512.56000000006,1.0071031273394628,1.6046158685103422,840.4671548582339,1801.6608501061928,771.9970012460559,835.559860007204,0.300425525589125,0.011406150698061506,0.29217615041622114,0.5562950796590495
318,Kepler-11 b,Kepler-11,0,13650000.0,1.97,4.3,5680.0,765976.2000000001,0.5617636293942946,1.4755609827689957,982.3701666581834,2105.8501326906503,902.3396314655829,976.634332684445,0.1774558900951794,0.01733712687457995,0.19611888765754937,0.3811186184794364
321,K2-138 g,K2-138,0,34663500.0,3.013,4.32,5356.3,598854.12,0.15775029958262124,1.1959096101393667,514.013736890194,1101.8615311957722,472.1386923745309,511.01252863378636,0.08883872868799134,0.04764525466610713,0.0992185369147955,0.1497928177854929
322,HD 219134 b,HD 219134,0,5730000.0,1.606,4.33612,4699.0,543146.76,1.045558917983631,1.6410957624583635,1056.2634395288858,2264.2508697662283,970.2130572606228,1050.0961596915129,0.24347676936777424,0.009227451645198757,0.23766378433656643,0.4926634706618181
323,HD 219134 c,HD 219134,0,9795000.0,1.511,4.36,4699.0,543146.76,1.2623417240415082,1.696551551658474,807.8808962865234,1731.8075715090167,742.0654402638395,803.1638651215625,0.2744956515096098,0.00972477614595183,0.2649098197530513,0.523921819388117
331,Kepler-36 b,Kepler-36,0,17295000.0,1.486,4.45,5911.0,1135037.46,1.3545262429761795,1.7283299228853226,1105.5828438085016,2369.974025427358,1015.5145684345217,1099.1275992871094,0.20705138191687072,0.006937750821474616,0.20080275920539287,0.4094086196257214
338,pi Men c,HD 39091,0,10053000.0,2.06,4.52,5870.0,765976.2000000001,0.5164408825133535,1.479420578836179,1182.9963780721757,2535.920943334866,1086.6214712586968,1176.0891336886878,0.14061264232905263,0.016185731207565394,0.15629154896505654,0.3168273854204315
341,HD 110113 b,HD 110113,0,5250000.000000001,2.05,4.55,5732.0,675451.74,0.5275135921975196,1.4879379342956496,1501.0985642770981,3217.8182095228217,1378.8088963359287,1492.3339942248538,0.11721613384540187,0.012832689530244962,0.13077759948877413,0.27130675730576764
342,Kepler-10 b,Kepler-10,0,2526000.0,1.416,4.56,5627.0,738122.52,1.6042015199550659,1.7922840623726455,2220.8027527569398,4760.606470249433,2039.88110133409,2207.835995102269,0.10454778531830738,0.0030963025837229146,0.1020863202554935,0.21583815320167793
346,Kepler-10 b,Kepler-10,0,2530500.0,1.46,4.6,5643.0,738122.52,1.4763288449689076,1.7727950736233908,2225.136329724636,4769.896108658846,2043.861635736169,2212.1442693084987,0.10855134895187339,0.003384257648746934,0.10622680284523676,0.2291667894092296
348,L 168-9 b,L 168-9,0,3136500.0,1.39,4.6,3800.0,417805.2,1.7107922405472094,1.8168855209306045,1012.589426823062,2170.629413645917,930.0970257817186,1006.6771495237851,0.1941372703941205,0.006003625847136729,0.18671379736982507,0.3740570722677673
349,Kepler-10 b,Kepler-10,0,2580000.0,1.481,4.60853,5627.0,738122.52,1.417036654436019,1.7618126683492406,2197.438894491763,4710.522718016548,2018.4206213926743,2184.6085530440823,0.11194511889049058,0.0035755116172400733,0.10965033761447655,0.23828791099336963
350,HD 136352 b,HD 136352,0,14535000.0,1.482,4.62,5850.0,703305.42,1.4176897699899955,1.7634085176851473,939.5196057920999,2013.9938626731298,862.9799678557563,934.0339664101267,0.22637923665526735,0.007815458983175566,0.21844811914035153,0.4497229305740593
351,HD 136352 b,HD 136352,0,14460000.0,1.664,4.72,5664.0,738122.52,1.023212586298141,1.6820944837227632,934.3053662476692,2002.8163988115457,858.190515622185,928.8501716138585,0.2607851998002725,0.011008183811638652,0.25387308354125393,0.5492253771527152
354,HD 219134 b,HD 219134,0,5814000.0,1.602,4.74,4699.0,543146.76,1.1515283839187915,1.7179636213576124,1048.6052918375485,2247.8345412993053,963.178794209845,1042.4827261671921,0.22657463157899202,0.008865084713177459,0.2203823743510719,0.48254838393150223
356,TOI-178 c,TOI-178,0,5550000.0,1.669,4.77,4316.0,452622.3,1.0247860617736566,1.6884455874086084,899.8879474745622,1929.0377679551427,826.5769731656092,894.633708251031,0.26699801161842573,0.011426799999529915,0.2596682799388932,0.5654538632126466
357,TOI-270 d,TOI-270,0,10815000.0,2.133,4.78,3506.0,264609.96,0.49197062367946903,1.4951148973720556,400.39372318711776,858.3008765121396,367.77493544091715,398.0559161177716,0.2823602277906864,0.04333511620448424,0.30558419297551065,0.4775419183923965
363,Kepler-68 c,Kepler-68,0,13588500.0,0.953,4.8,5793.0,863464.08,5.539191456461903,2.241455992657745,1066.1674616007028,2285.48154930229,979.3102305356538,1059.942354451178,0.07833693416697934,0.0016007066096047572,0.075193569882931,0.12081689734083911
365,pi Men c,HD 39091,0,10258500.000000002,2.042,4.82,6037.0,765976.2000000001,0.5654102351223343,1.5344463147598604,1204.4045831041783,2581.8124747935954,1106.285618740527,1197.372341124156,0.14465021621191482,0.01527493611335015,0.1603720895534855,0.34059573788789405
367,GJ 9827 b,GJ 9827,0,2820000.0,1.577,4.91,4340.0,417805.2,1.2504612929365493,1.7623044897054696,1219.6567199595024,2614.5075988015456,1120.2952131034274,1212.5354242523658,0.19078862897094268,0.007261650282978955,0.18566635864182734,0.4173365101818647
368,TOI-1634 b,TOI-1634,0,2317500.0,1.79,4.91,3550.0,313353.9,0.8550789988240044,1.6541324397378543,953.0628712855192,2043.025777937211,875.4199071056876,947.4981558841707,0.23111904013824028,0.013122400608500343,0.2520463863259589,0.5081516124075173
369,Kepler-1655 b,Kepler-1655,0,15450000.0,2.213,5.0,6148.0,717232.26,0.46079695806239407,1.501240746447267,967.130415482168,2073.1815591473833,888.341413760568,961.4835629184047,0.1441043675163348,0.022483237364691638,0.15984684311942735,0.327448519939393
