,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis
32894,32894,TOI-1634 b,TOI-1634,1,2,1,Published Confirmed,0,0.989343,2317500.0,1.79,4.91,4.91,Mass,0.16,924.0,3550.0,313353.9,0.23,[Fe/H],-1.539,,35.2736,0.8550789988240044,1.6541324397378543,284.0776183504104,234.48850722272405,274.99718874356734,257.1508266531884,0.7871927130155408,0.7381888573215851
32907,32907,TOI-169 b,TOI-169,1,1,1,Published Confirmed,0,2.2554477,5286000.0,12.173,251.40353,251.40353,Mass,0.0,1715.0,5880.0,898281.18,0.24,[Fe/H],0.253,4.7,407.84,0.1392074077179498,4.538819613905666,527.6954023064961,435.57992309874044,510.82782582397186,477.6768747646264,0.16771697043748507,0.18178125054406155
32913,32913,TOI-1695 b,TOI-1695,1,1,1,Published Confirmed,0,3.1342791,5032200.0,1.9,6.36,6.36,Mass,0.097,698.0,3690.0,362097.84,0.0,[Fe/H],-1.354,,45.1309,0.9261474891844024,1.8272913804147086,214.44599659257202,177.01190932562227,207.59131445381158,194.1193594076999,0.6632784593382558,0.6094859199839503
32916,32916,TOI-1696 b,TOI-1696,1,1,1,Published Confirmed,0,2.500311,3435000.0,3.09,48.8,48.8,Mass,,489.0,3185.0,194975.76,0.336,[Fe/H],-2.148,,64.9172,1.652069162022396,3.9690513670735896,164.3363054074312,135.64945792369056,159.08335988583033,148.75940255358287,0.3847141709720406,0.33872103012937416
32922,32922,TOI-172 b,TOI-172,1,1,1,Published Confirmed,0,9.47725,13710000.0,10.817,1722.6386,1722.6386,Mass,0.3806,1198.0,5645.0,1239488.76,0.148,[Fe/H],0.461,7.4,342.831,1.3594321174827555,12.603748270872744,369.3415456144293,304.86860664831414,357.5356880276568,334.3328641081576,0.24210492696048594,0.24571504800895813
32925,32925,TOI-1728 b,TOI-1728,1,1,1,Published Confirmed,0,3.49151,5865000.0,5.05,26.78,26.78,Mass,0.057,767.0,3980.0,431732.04,0.25,[Fe/H],-1.056,7.1,60.798,0.20769224425805438,2.2999354407448167,235.81036008246792,194.6468702620023,228.27277444750277,213.45866450413038,0.3691332645928763,0.3467941902145764
32934,32934,TOI-1759 b,TOI-1759,1,1,1,Published Confirmed,0,18.85019,17655000.0,3.14,10.8,10.8,Mass,0.0,443.0,4065.0,417805.2,0.05,[Fe/H],-1.057,5.0,40.0654,0.34843249612031807,1.852264921049402,135.83541962750374,112.12373914349118,131.49349373694628,122.960022858643,0.35857129460614007,0.3312150234886179
32935,32935,TOI-178 b,TOI-178,1,1,6,Published Confirmed,0,1.914558,3910500.0,1.152,1.5,1.5,Mass,,1040.0,4316.0,452622.3,-0.23,[Fe/H],-0.879,7.1,62.699,0.9799810159452014,1.1396603480759493,319.76486630820847,263.9461235921665,309.5437078230241,289.45539667392563,0.9012391832409937,0.916110744454284
32937,32937,TOI-178 c,TOI-178,1,1,6,Published Confirmed,0,3.23845,5550000.0,1.669,4.77,4.77,Mass,,873.0,4316.0,452622.3,-0.23,[Fe/H],-0.879,7.1,62.699,1.0247860617736566,1.6884455874086084,268.41105440710356,221.5567274728532,259.831400369608,242.96924525219606,0.7907787384188414,0.7128673598190213
32939,32939,TOI-178 d,TOI-178,1,1,6,Published Confirmed,0,6.5577,8880000.0,2.572,3.01,3.01,Mass,,690.0,4316.0,452622.3,-0.23,[Fe/H],-0.879,7.1,62.699,0.17670036382822754,1.0804478606930241,212.19757027345574,175.15597243685437,205.4147581997693,192.0840540922479,0.46219641955574564,0.4355197713452603
32941,32941,TOI-178 e,TOI-178,1,1,6,Published Confirmed,0,9.961881,11745000.0,2.207,3.86,3.86,Mass,,600.0,4316.0,452622.3,-0.23,[Fe/H],-0.879,7.1,62.699,0.3586444760384651,1.3208348950581,184.51019979397984,152.30176023120828,178.61240365395753,167.02107923349652,0.5131853149587673,0.47908972845605835
32942,32942,TOI-178 f,TOI-178,1,1,6,Published Confirmed,0,15.231915,15585000.000000002,2.287,7.72,7.72,Mass,,521.0,4316.0,452622.3,-0.23,[Fe/H],-0.879,7.1,62.699,0.6446183251032356,1.8349811873156363,160.17454034797035,132.21417822136317,155.05462401354052,144.9921176418352,0.4971668635342382,0.45921599658144824
32944,32944,TOI-178 g,TOI-178,1,1,6,Published Confirmed,0,20.7095,19125000.0,2.87,3.94,3.94,Mass,,470.0,4316.0,452622.3,-0.23,[Fe/H],-0.879,7.1,62.699,0.16646938401132755,1.1702083988001704,144.59263352086174,119.35227768590696,139.97078672427708,130.88716898487544,0.34372404481523,0.32031610194861143
32945,32945,TOI-1789 b,TOI-1789,1,1,1,Published Confirmed,0,3.208664,7323000.0,16.141,222.47988,222.47988,Mass,,1927.0,5991.0,1511062.14,0.373,[Fe/H],0.736,2.73,229.067,0.05284248952167092,3.707969902242885,592.041803079537,488.69389789915493,573.1174191439434,535.9240898990985,0.1117375612125765,0.12190491916406238
32951,32951,TOI-181 b,TOI-181,1,1,1,Published Confirmed,0,4.532,8085000.000000001,6.956,46.1687,46.1687,Mass,0.1543,895.0,4994.0,515293.08,0.272,[m/H],-0.526,5.4,96.2338,0.13701015792809426,2.5730610140707344,272.4939582741071,224.92691213740713,263.78379581651456,246.6651439669283,0.31472434507936176,0.29727957293610285
32953,32953,TOI-1811 b,TOI-1811,1,1,1,Published Confirmed,0,3.7130765,6583500.0,11.142,308.92921,308.92921,Mass,0.052,962.0,4766.0,536183.34,0.306,[Fe/H],-0.56,5.9,128.23,0.22307625879881288,5.259009533553698,296.1204970758588,244.42915890585445,286.65512157582924,268.05220014933343,0.26404909977157454,0.2556532607659046
32956,32956,TOI-1842 b,TOI-1842,1,1,1,Published Confirmed,0,9.5739,15015000.0,11.657,68.01528,68.01528,Mass,,,6230.0,1406610.84,0.22,[M/H],0.74,2.49,223.465,0.04288742205305403,2.412492073792467,414.41381183845243,342.0729752479536,401.1672369468647,375.13287709736596,0.16134522981598892,0.17468376527334664
32962,32962,TOI-1937 A b,TOI-1937 A,1,2,1,Published Confirmed,0,0.94667944,2898000.0,13.978,638.8351,638.8351,Mass,0.0,2097.0,5814.0,752049.3600000001,0.196,[Fe/H],0.08,3.6,415.135,0.23363478427303008,6.7519297511667915,645.1306849125699,532.5154869544249,624.509335699704,583.9808496281183,0.1453245840385041,0.15776683246681053
32965,32965,TOI-201 b,TOI-201,1,1,1,Published Confirmed,0,52.97818,45000000.0,11.299,133.4886,133.4886,Mass,0.28,759.0,6394.0,919171.4400000001,0.24,[Fe/H],0.415,0.87,113.825,0.09242894442613504,3.432876131666624,198.53662405076827,163.87970609243376,192.1904787629353,179.71798444400258,0.18897523143198547,0.17678144538200138
32966,32966,TOI-2025 b,TOI-2025,1,1,1,Published Confirmed,0,8.8720982,13380000.0,11.893,1144.18227,1144.18227,Mass,0.394,1166.0,5977.0,1016659.32,0.15,[Fe/H],0.387,4.5,335.985,0.6793675484970737,9.79620682449688,358.276920747014,295.73544303195604,346.82473955269415,324.317018974756,0.2543773583309493,0.2691925438496791
32990,32990,TOI-2109 b,TOI-2109,1,1,1,Published Confirmed,0,0.67247414,2686500.0,15.098,1595.4986,1595.4986,Mass,,3646.0,6540.0,1183781.4,0.068,[Fe/H],0.673,1.77,262.041,0.4630437271906782,10.267023390936085,942.65650155477,778.1046502604704,912.5248563533428,853.3051636817256,0.11269642911747978,0.12277784775294573
