,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Dhrawn
0,HAT-P-20 b,9.718,2.5062711095263923,15.374643221681106,297.61009548699496,0.764
1,Kepler-46 b,9.057,2.5637839871945762,14.49236324483481,166.68200392748568,0.661
2,TOI-1278 b,12.218,3.2199410300009554,21.909789630668296,138.28957996115045,0.595
