,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Habranah,similarityIndex_Dhrawn
205,K2-138 b,K2-138,0,5077500.0,1.51,3.1,5356.3,598854.12,0.9001362540906829,1.4310289559622131,1343.0307777217809,2878.977433826247,1233.61838352536,1335.18912920263,0.22184101420919616,0.007393292822583404,0.15491589338061015,0.3482297622657495,0.001159696238393679,0.01769929193833199,0.007563831511408455
206,K2-3 c,K2-3,0,21195000.0,1.77,3.1,3835.0,417805.2,0.5588809372226144,1.3217528696957144,393.11633969940993,842.7007702554899,361.09041695979266,390.82102360227105,0.3801480700486506,0.032116300069631794,0.29616454978445,0.4932826691955275,0.002131536317732713,0.030934027378694943,0.007908969414157734
213,TOI-561 b,TOI-561,0,1596000.0,1.45,3.2,5326.0,577963.86,1.049357264626688,1.4837032100238539,2340.0254306195993,5016.177232186237,2149.3910914133844,2326.362559107511,0.14234263905612485,0.0038679401904667286,0.0869335275337748,0.23043069798227106,0.0008025241535741134,0.011816038863282212,0.0056075621003913514
221,Kepler-10 b,Kepler-10,0,2527500.0,1.47,3.33,5708.0,738122.52,1.0480201459273972,1.5032094510924985,2252.1023686923013,4827.701647411488,2068.6308383137916,2238.9528597626627,0.14502590312909514,0.004105594404676913,0.0886685009135744,0.24174411122361225,0.000850888569305143,0.011942830517604603,0.005917625289522364
228,GJ 9827 b,GJ 9827,0,2832000.0,1.62,3.42,4269.0,424768.62,0.8041896220006134,1.451147620386724,1207.0944697350526,2587.5786292543103,1108.7563689664262,1200.0465221242544,0.21631395454432573,0.009564820332251048,0.15264890408812096,0.3716126258948441,0.0012342724726071212,0.016882088845913707,0.007964237790956364
229,TOI-1685 b,TOI-1685,0,1733550.0,1.459,3.43,3461.0,320317.32,1.1040929739713559,1.5313535241449778,1086.1983566305153,2328.420620935478,997.7092730275616,1079.8562936815006,0.25883316273955126,0.007772536476682213,0.16361414010063058,0.41510190458654384,0.001745596179914564,0.02231863152815155,0.010737299971936917
233,Kepler-107 b,Kepler-107,0,6816000.0,1.536,3.51,5854.0,1009695.9,0.9683020944088458,1.509781149456411,1645.0107514584056,3526.3144452162323,1510.9970208861025,1635.4059111694567,0.18642763067862672,0.006127620853113129,0.11945020913201557,0.3226106403441556,0.0011020160188969176,0.014530648902198014,0.007385889007926635
244,GJ 9827 b,GJ 9827,0,3090000.0,1.58,3.69,4219.0,431732.04,0.9352603158611422,1.5263027540272716,1151.3912980635137,2468.170960498612,1057.5911553804465,1144.668588489621,0.2400003622820647,0.009025718196610423,0.1623076355868242,0.42313654067554457,0.0015196256362989137,0.0186776823130631,0.0095969265840766
246,HD 21749 c,GJ 143,0,10425000.000000002,0.892,3.7,4640.0,480475.98,5.211761853007835,2.0341102258771064,727.2794335824648,1559.0268757069407,668.0303192672615,723.0330158622136,0.11465994612507958,0.002155149931523763,0.07346987463310715,0.15281357469753007,0.00725644796541877,0.012499965889491618,0.030411077819617084
250,Kepler-10 b,Kepler-10,0,2527500.0,1.47,3.72,5708.0,738122.52,1.1707612440990744,1.588798608609528,2252.1023686923013,4827.701647411488,2068.6308383137916,2238.9528597626627,0.13230207850329076,0.003912823520713619,0.08057031308148427,0.2353063495747765,0.0009909587958803708,0.011079524548921629,0.006816639109885939
252,Kepler-101 c,Kepler-101,0,10260000.0,1.25,3.78,5667.0,1086293.52,1.9348137391197104,1.7367885274119956,1346.2900741145281,2885.964199074314,1236.6121555327832,1338.4293953116673,0.1578021870491778,0.003795306567932991,0.09699605539745897,0.24899356792251104,0.002330199071437126,0.01382519266263614,0.013988753373774063
256,Kepler-107 d,Kepler-107,0,12565500.0,0.86,3.8,5854.0,1009695.9,5.9726304588922,2.0994165715235145,1211.5564231538642,2597.1434608401755,1112.8548214033965,1204.48242322096,0.0664809466330508,0.00119414841297544,0.04107665844868062,0.09280619568394921,0.005114182570517448,0.007433448908649617,0.020335123451730823
264,TOI-178 e,TOI-178,0,11745000.0,2.207,3.86,4316.0,452622.3,0.35896962968854534,1.3208348950581,618.5978641881587,1326.0524785827026,568.202687481613,614.9860132118993,0.18208967756137365,0.03603921699491715,0.13740981197558738,0.3418695514561345,0.001181043559038083,0.013669274487139012,0.006874553129503938
266,K2-36 b,K2-36,0,3345000.0,1.43,3.9,4916.0,501366.24,1.3333184736497465,1.6493785147696394,1389.5586236049428,2978.716487140718,1276.355755579237,1381.445309670657,0.1849574520577762,0.005526368771456152,0.11458435226601159,0.32241081760392765,0.0017530667453561808,0.01566799434179449,0.011071518983161985
278,TOI-178 g,TOI-178,0,19125000.0,2.87,3.94,4316.0,452622.3,0.16662030820354093,1.1702083988001704,484.76829125554184,1039.1697601500025,445.2757790535883,481.9378404450968,0.10228250509350131,0.05034277972520373,0.08000909680537531,0.16915953945021173,0.0007323752336655311,0.007550230313506903,0.0037253819502137036
289,Kepler-289 d,Kepler-289,0,49500000.0,2.68,4.0,5990.0,696342.0,0.20774616291475095,1.2201652350142376,518.7057178065095,1111.9194594295018,476.44843270925014,515.6771141502238,0.1213299285836664,0.05290661011987782,0.09397528403313284,0.21008495740646074,0.0008550198922913181,0.008954577821922343,0.004712341497975872
291,Kepler-51 c,Kepler-51,0,57600000.0,9.0,4.0,6018.0,654561.48,0.0054854197374357636,0.6658321925710793,468.38360069953717,1004.0468462500091,430.2258964942707,465.64881633737207,0.0013398052668823787,0.0037986340765206483,0.0011605151162109807,0.0019701119758838486,2.535039851528136e-05,0.00015343238425354376,0.00013974678974681978
292,Kepler-62 c,Kepler-62,0,13935000.0,0.54,4.0,4925.0,445658.88,25.39546174738779,2.718248543529487,643.0423081567766,1378.4526199163658,590.6557212876554,639.2877316815728,0.017851772957507575,0.00038757549229596937,0.01138346706350302,0.022806942876591556,0.0058235604613922475,0.003667445957382018,0.008841573324987993
294,TOI-776 b,TOI-776,0,9780000.0,1.85,4.0,3709.0,376024.68000000005,0.6315710403870525,1.4685886915171122,530.9835885447037,1138.2388211128268,487.726064841313,527.8832972186419,0.31234778761603077,0.026288217195569893,0.23537042583777396,0.586586406634081,0.002194786894978539,0.024108422258099456,0.011862438046748152
295,Kepler-93 b,Kepler-93,0,7950000.0,1.478,4.02,5655.0,640634.64,1.2447443187493858,1.6471450966635488,1172.032814027626,2512.4189849269505,1076.551073484748,1165.1895833787305,0.21672611356586854,0.007031223728875692,0.13575638225065803,0.38679906375963674,0.0019697388037193788,0.018261548503381707,0.012145961811062566
296,GJ 9827 d,GJ 9827,0,8386500.0,2.022,4.04,4340.0,417805.2,0.4885570821096712,1.4117446649058525,707.2481033475626,1516.086871149762,649.6308770250214,703.1186439678637,0.2105513778582627,0.025944972994068127,0.15594880271057862,0.42717202097993123,0.0014179643470100033,0.015814188556654778,0.008409841673473764
297,HD 137496 b,HD 137496,0,4098000.0,1.31,4.04,5799.0,1107183.78,1.7965730472994992,1.7539252605686937,2200.7084261513432,4717.531424014395,2021.4237948326888,2187.8589946585776,0.10535295810322227,0.0026959736367337967,0.06343997294375368,0.18355162983207987,0.00146720359579956,0.008963827317302286,0.009579196991352895
302,Kepler-79 e,Kepler-79,0,57900000.0,3.49,4.1,6174.0,905244.6,0.09642396317280642,1.0825183405906076,563.6322463362875,1208.2258613101715,517.714941579825,560.341326989431,0.051356002457167524,0.03406646388770437,0.03990889404356504,0.0811471529527579,0.0004056270743868745,0.0037096696880897246,0.002390916990380613
