,Name,Average
1,['Arrakis'],[0.012370676458928614]
4,['Dhrawn'],[0.009247524135139393]
0,['Earth'],[0.011365473415328299]
2,['Erid'],[0.020803091597526573]
5,['Hekla'],[0.01082252063185752]
3,['Mesklin'],[0.005005756878010021]
6,['Sarr'],[0.028911312252473176]
7,['Tenebra'],[0.031377897078087726]
