,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars
378,Kepler-21 b,Kepler-21,0,0.042717,1.639,5.08,0.02,,2025.0,6305.0,1.9,1.41,0.715,4.03,,99.01071652755958,75.79066539989651,100.76929620575004,100.26162617411696,1279.3867616608118,2742.547436035412,1175.159240580492,1512.572408294748,0.0007301050083198039,0.0006662616579614692,4.254121255955429e-05
411,Kepler-1705 c,Kepler-1705,0,,2.05,5.42,0.028,,,6312.0,1.26,1.14,0.354,4.3,,,,,,,,,,,,
426,HD 80653 b,HD 80653,0,0.0166,1.613,5.6,,,,,1.22,1.18,0.24,4.34,,120.89402353152353,92.54188645099342,123.04128375196682,122.42140870305315,1562.156286659025,3348.7041190747846,1434.8924426224132,1846.8805270247608,,,
450,Kepler-79 c,Kepler-79,0,0.187,3.72,5.9,0.03,,,6174.0,1.3,1.17,0.342,4.27,,39.35426345182867,30.12487857823647,40.05325453465025,39.85146849701537,508.52398044374127,1090.093457679728,467.09616871404637,601.2093956458682,,,
455,Kepler-79 d,Kepler-79,0,0.287,7.16,6.0,0.025,,,6174.0,1.3,1.17,0.342,4.27,,31.766666491414018,24.316729293143794,32.330890406712165,32.168009204068966,410.47932988038275,879.9208085032826,377.038900222814,485.29477336970535,,,
549,HD 189567 c,HD 189567,0,0.197,,7.0,0.16,,,5726.0,,0.83,0.324,4.41,,37.82763630501569,28.956276922452112,38.499512186869985,38.30555381556351,488.7973626580706,1047.8066475836858,448.9766149786794,577.8873333377916,,,
560,HD 93385 c,HD 93385,0,0.112,,7.1,0.2,,,5977.0,,1.04,0.207,4.42,,44.8528083371816,34.333901502296385,45.64946187144406,45.41948245683159,579.5745271061339,1242.4004069285281,532.3584560541293,685.209871261455,,,
570,Kepler-11 d,Kepler-11,0,,,7.24,0.003,,,5820.0,1.13,1.05,0.12,4.35,,,,,,,,,,,,
571,HD 86226 c,HD 86226,0,0.049,2.16,7.25,0.075,,1311.0,5863.0,1.05,1.02,0.072,4.4,,52.0764234188085,39.863430151620314,53.001379253378865,52.73436129359059,672.9159130781704,1442.4909397094739,618.0956197803163,795.5639949746123,0.0018364633968970874,0.0015963137722342466,0.00010348599863826006
576,Kepler-289 b,Kepler-289,0,0.21,2.15,7.3,,,,5990.0,1.0,1.08,0.061,4.47,,24.133976013772767,18.474061848848883,24.56263183266024,24.438886678640134,311.85199442189605,668.4990914037985,286.4464162991758,368.6912639473624,,,
579,Kepler-10 c,Kepler-10,0,,,7.37,,,,5706.0,1.09,1.02,0.055,4.37,,,,,,,,,,,,
580,Kepler-11 e,Kepler-11,0,,,7.37,0.013,,,5820.0,1.13,1.05,0.12,4.35,,,,,,,,,,,,
609,HD 1461 b,HD 1461,0,0.063438,,7.6,0.14,,,5765.0,1.11,1.02,0.075,,,46.23774440400788,35.39404155301364,47.058996491923224,46.821915921380224,597.4702552837089,1280.7624448205588,548.7962768640725,706.3673394164359,,,
611,Kepler-68 b,Kepler-68,0,,,7.65,0.0,,,5875.23,1.26,1.06,0.231,4.26,,,,,,,,,,,,
618,HD 5278 b,HD 5278,0,0.1202,2.45,7.8,0.08,132.0,943.0,6203.0,1.19,1.13,0.28,4.5,,46.6920927323033,35.741835845717866,47.52141473189066,47.28200452433171,603.3412080127712,1293.3476667696066,554.1889419731069,713.3083531696614,0.002531668443941647,0.0021796989608357693,0.00014084773493882943
639,Kepler-36 c,Kepler-36,0,0.1283,3.679,8.08,0.033,,928.0,5911.0,1.63,1.07,0.462,4.04,,51.22161070366353,39.20908861420607,52.13138377497114,51.8687488033417,661.8702797385572,1418.8130540983866,607.9498386325888,782.50514465483,0.0016180965625618758,0.0013957743625791854,8.547152724635528e-05
642,HD 1461 b,HD 1461,0,,,8.1,0.16,,,5739.0,1.13,1.03,0.095,4.35,,,,,,,,,,,,
658,HD 97658 b,HD 97658,0,0.0831,,8.26323,,,,5170.0,0.68,0.78,0.3,4.63,,57.13284714942434,43.7340184326427,58.14761269681004,57.8546683031437,738.2535028783292,1582.5513536147614,678.1103664635172,872.8102496004683,,,
663,Kepler-68 b,Kepler-68,0,0.0617,2.31,8.3,0.0,,1280.0,5793.0,1.24,1.08,0.194,4.28,,59.4584954925191,45.51425436660098,60.51456806260113,60.2096990812809,768.3048327422599,1646.970652092408,705.7135112197494,908.3388432571194,0.001317606467333014,0.0011516374138992266,7.18905041650657e-05
