,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth
85,GJ 1132 b,GJ 1132,0,2295000.0,1.13,1.66,3270.0,146231.82,1.1501385478416886,1.2105169377226184,602.6468175842318,1291.8591421526053,553.551121297513,599.1281011087267,0.5158407534269376
95,LHS 1140 c,LHS 1140,0,4101000.0,1.169,1.76,2988.0,146231.82,1.101403712870658,1.225476892319672,411.94778143620596,883.0686432081978,378.3877217573829,409.5425128721107,0.6542956265767815
98,K2-3 d,K2-3,0,31455000.0,1.65,1.8,3835.0,417805.2,0.4005881280832128,1.0431585660835465,322.6955385949044,691.743770151776,296.40657183416937,320.81139339560247,0.40150026547210704
100,LHS 1140 c,LHS 1140,0,4012500.0,1.282,1.81,3216.0,146231.82,0.8587997338292761,1.1867283654506613,448.2445079705334,960.8758374642765,411.7274708214321,445.6273111493949,0.5843598330515354
103,GJ 357 b,GJ 357,0,5250000.000000001,1.217,1.84,3505.0,236756.28000000003,1.0205246286806822,1.2280602396601665,543.4312908527619,1164.9222409140298,499.1596929119369,540.2583202493596,0.5603243687881782
104,GJ 3473 b,GJ 3473,0,2383500.0,1.264,1.86,3347.0,250683.12,0.9207656819008961,1.2115434203779671,792.4943908451648,1698.824409331409,727.9324238910718,787.867197954658,0.41246116890087775
107,Kepler-11 b,Kepler-11,0,13650000.0,1.8,1.9,5663.0,738122.52,0.32569679691024844,1.0261163228781742,961.4572552042949,2061.020333441013,883.1304275884255,955.8435269215457,0.1614154546277851
112,L 98-59 d,L 98-59,0,7290000.0,1.521,1.94,3415.0,208902.6,0.5511775114068829,1.12795638292766,422.06990211730687,904.7668481240888,387.6852258500665,419.6055328133281,0.43337148327525377
117,Kepler-11 f,Kepler-11,0,37500000.0,2.49,2.0,5663.0,738122.52,0.1295118050172228,0.8950996195457033,580.0703573748028,1243.4632896101352,532.8138926269055,576.6834596697277,0.08313579829802917
126,GJ 1252 b,GJ 1252,0,1374000.0,1.193,2.09,3458.0,271573.38,1.2305587615768652,1.3219315549745039,1122.4338060075872,2406.096458892153,1030.9927369871036,1115.880172584789,0.29081954927850734
129,K2-32 e,K2-32,0,7348500.0,1.212,2.1,5271.0,598854.12,1.1792037105259763,1.3146628347879978,1098.6002790571995,2355.0059050516434,1009.1008507563802,1092.1858041290664,0.30111674906821134
131,Kepler-51 b,Kepler-51,0,37710000.0,7.1,2.1,6018.0,654561.48,0.005865724353289231,0.5431709329998973,578.8748166178834,1240.9004780070911,531.7157487269634,575.4948994009411,0.0013594726873624684
138,LTT 1445 A b,LTT 1445 A,0,5710500.0,1.38,2.2,3337.0,194975.76,0.8368792954397252,1.2610370467402388,450.18909085541486,965.0443273728066,413.5136347983648,447.5605400610447,0.5329540153470855
139,TOI-1266 c,TOI-1266,0,15870000.0,1.56,2.2,3600.0,292463.64,0.5793303588766009,1.186055712220793,356.8087491755746,764.8702874931809,327.74068896048914,354.7254247678206,0.47199976967379453
141,L 98-59 c,L 98-59,0,4560000.0,1.385,2.22,3415.0,208902.6,0.8353741958884777,1.2644674342416136,533.6613204553043,1143.9789202023896,490.18565055287274,530.5453944670891,0.47687771057237677
143,Kepler-11 f,Kepler-11,0,37500000.0,2.61,2.3,5680.0,765976.2000000001,0.12932536590370922,0.9375613864625284,592.6876213822674,1270.510189023518,544.4032687511103,589.227054367999,0.08106228949919565
146,L 98-59 d,L 98-59,0,7590000.0,1.57,2.31,3412.0,215866.02,0.5967472475107484,1.2114687390077874,420.11268397482445,900.5712727443192,385.88745596929624,417.6597424184471,0.431417967108671
148,LHS 1478 b,LHS 1478,0,2772000.0,1.242,2.33,3381.0,174085.5,1.2158179064562662,1.3679594088201634,618.6077755710547,1326.073725041212,568.2117914160494,614.995866724505,0.4361460265375269
149,LTT 3780 b,LTT 3780,0,1804500.0,1.35,2.34,3360.0,264609.96,0.9508060878221989,1.3149132229123113,939.3975970156882,2013.7323195128054,862.8678987416082,933.9126700149625,0.3399262578591919
150,GJ 9827 d,GJ 9827,0,9165000.0,2.04,2.35,4219.0,431732.04,0.2767290561554638,1.071950906004012,668.553163091927,1433.1387647867762,614.0882889916023,664.64963458886,0.16737434096730194
153,GJ 9827 c,GJ 9827,0,5912999.999999999,1.269,2.42,4269.0,424768.62,1.1838805934846512,1.3792180119217585,835.3797532258615,1790.7552813438326,767.3240538481432,830.5021625455315,0.351511668183738
154,L 98-59 c,L 98-59,0,4755000.0,1.35,2.42,3412.0,215866.02,0.9833122788588553,1.3372014750757806,530.7761759577238,1137.7942027412214,487.53554949012573,527.6770956661613,0.5125799609040415
161,TOI-1064 c,TOI-1064,0,14143500.0,2.651,2.5,4734.0,508329.66,0.1341492433117307,0.9698871127121717,655.2515375257705,1404.6248390648861,601.8703040419075,651.4256741619938,0.07867341492386867
165,K2-229 b,K2-229,0,1933200.0,1.164,2.59,5185.0,550110.18,1.64179233963932,1.489805043358387,2019.3924376701293,4328.854821893031,1854.8790362703246,2007.6016686266216,0.1420082222994745
168,LTT 3780 b,LTT 3780,0,1816500.0,1.332,2.62,3331.0,257646.54,1.108322165031077,1.4007304879349873,915.9138073769611,1963.391477328008,841.2972578495813,910.5659968349937,0.3276897353949442
185,GJ 486 b,GJ 486,0,2601000.0,1.305,2.82,3340.0,229792.86000000002,1.268513154255513,1.4681666226216255,724.8198409920182,1553.7543892667463,665.7711017676412,720.5877842684876,0.3560218896456903
189,LTT 1445 A b,LTT 1445 A,0,5719500.0,1.305,2.87,3340.0,188012.34000000003,1.2910045222387667,1.4811250965035345,442.12607537131186,947.7601072250737,406.1074872306137,439.544602674093,0.4857250709022677
192,Kepler-11 c,Kepler-11,0,16050000.0,2.87,2.9,5663.0,738122.52,0.12263931314473822,1.0039546575253206,886.6634131332432,1900.689098235077,814.4297990668238,881.4863889310311,0.05583525162243144
200,TOI-178 d,TOI-178,0,8880000.0,2.572,3.01,4316.0,452622.3,0.1768605636141099,1.0804478606930241,711.423888238396,1525.0382598064054,653.4664741628009,707.2700474089577,0.09415874627640518
203,TOI-431 b,TOI-431,0,1695000.0,1.28,3.07,4850.0,508329.66,1.4634768885342313,1.546750450439529,1939.1666335101345,4156.87940359399,1781.188970125484,1927.844284527302,0.14638840790366225
205,K2-138 b,K2-138,0,5077500.0,1.51,3.1,5356.3,598854.12,0.9001362540906829,1.4310289559622131,1343.0307777217809,2878.977433826247,1233.61838352536,1335.18912920263,0.22184101420919616
206,K2-3 c,K2-3,0,21195000.0,1.77,3.1,3835.0,417805.2,0.5588809372226144,1.3217528696957144,393.11633969940993,842.7007702554899,361.09041695979266,390.82102360227105,0.3801480700486506
213,TOI-561 b,TOI-561,0,1596000.0,1.45,3.2,5326.0,577963.86,1.049357264626688,1.4837032100238539,2340.0254306195993,5016.177232186237,2149.3910914133844,2326.362559107511,0.14234263905612485
221,Kepler-10 b,Kepler-10,0,2527500.0,1.47,3.33,5708.0,738122.52,1.0480201459273972,1.5032094510924985,2252.1023686923013,4827.701647411488,2068.6308383137916,2238.9528597626627,0.14502590312909514
228,GJ 9827 b,GJ 9827,0,2832000.0,1.62,3.42,4269.0,424768.62,0.8041896220006134,1.451147620386724,1207.0944697350526,2587.5786292543103,1108.7563689664262,1200.0465221242544,0.21631395454432573
229,TOI-1685 b,TOI-1685,0,1733550.0,1.459,3.43,3461.0,320317.32,1.1040929739713559,1.5313535241449778,1086.1983566305153,2328.420620935478,997.7092730275616,1079.8562936815006,0.25883316273955126
233,Kepler-107 b,Kepler-107,0,6816000.0,1.536,3.51,5854.0,1009695.9,0.9683020944088458,1.509781149456411,1645.0107514584056,3526.3144452162323,1510.9970208861025,1635.4059111694567,0.18642763067862672
244,GJ 9827 b,GJ 9827,0,3090000.0,1.58,3.69,4219.0,431732.04,0.9352603158611422,1.5263027540272716,1151.3912980635137,2468.170960498612,1057.5911553804465,1144.668588489621,0.2400003622820647
246,HD 21749 c,GJ 143,0,10425000.000000002,0.892,3.7,4640.0,480475.98,5.211761853007835,2.0341102258771064,727.2794335824648,1559.0268757069407,668.0303192672615,723.0330158622136,0.11465994612507958
250,Kepler-10 b,Kepler-10,0,2527500.0,1.47,3.72,5708.0,738122.52,1.1707612440990744,1.588798608609528,2252.1023686923013,4827.701647411488,2068.6308383137916,2238.9528597626627,0.13230207850329076
252,Kepler-101 c,Kepler-101,0,10260000.0,1.25,3.78,5667.0,1086293.52,1.9348137391197104,1.7367885274119956,1346.2900741145281,2885.964199074314,1236.6121555327832,1338.4293953116673,0.1578021870491778
256,Kepler-107 d,Kepler-107,0,12565500.0,0.86,3.8,5854.0,1009695.9,5.9726304588922,2.0994165715235145,1211.5564231538642,2597.1434608401755,1112.8548214033965,1204.48242322096,0.0664809466330508
264,TOI-178 e,TOI-178,0,11745000.0,2.207,3.86,4316.0,452622.3,0.35896962968854534,1.3208348950581,618.5978641881587,1326.0524785827026,568.202687481613,614.9860132118993,0.18208967756137365
266,K2-36 b,K2-36,0,3345000.0,1.43,3.9,4916.0,501366.24,1.3333184736497465,1.6493785147696394,1389.5586236049428,2978.716487140718,1276.355755579237,1381.445309670657,0.1849574520577762
278,TOI-178 g,TOI-178,0,19125000.0,2.87,3.94,4316.0,452622.3,0.16662030820354093,1.1702083988001704,484.76829125554184,1039.1697601500025,445.2757790535883,481.9378404450968,0.10228250509350131
289,Kepler-289 d,Kepler-289,0,49500000.0,2.68,4.0,5990.0,696342.0,0.20774616291475095,1.2201652350142376,518.7057178065095,1111.9194594295018,476.44843270925014,515.6771141502238,0.1213299285836664
291,Kepler-51 c,Kepler-51,0,57600000.0,9.0,4.0,6018.0,654561.48,0.0054854197374357636,0.6658321925710793,468.38360069953717,1004.0468462500091,430.2258964942707,465.64881633737207,0.0013398052668823787
292,Kepler-62 c,Kepler-62,0,13935000.0,0.54,4.0,4925.0,445658.88,25.39546174738779,2.718248543529487,643.0423081567766,1378.4526199163658,590.6557212876554,639.2877316815728,0.017851772957507575
294,TOI-776 b,TOI-776,0,9780000.0,1.85,4.0,3709.0,376024.68000000005,0.6315710403870525,1.4685886915171122,530.9835885447037,1138.2388211128268,487.726064841313,527.8832972186419,0.31234778761603077
295,Kepler-93 b,Kepler-93,0,7950000.0,1.478,4.02,5655.0,640634.64,1.2447443187493858,1.6471450966635488,1172.032814027626,2512.4189849269505,1076.551073484748,1165.1895833787305,0.21672611356586854
296,GJ 9827 d,GJ 9827,0,8386500.0,2.022,4.04,4340.0,417805.2,0.4885570821096712,1.4117446649058525,707.2481033475626,1516.086871149762,649.6308770250214,703.1186439678637,0.2105513778582627
297,HD 137496 b,HD 137496,0,4098000.0,1.31,4.04,5799.0,1107183.78,1.7965730472994992,1.7539252605686937,2200.7084261513432,4717.531424014395,2021.4237948326888,2187.8589946585776,0.10535295810322227
302,Kepler-79 e,Kepler-79,0,57900000.0,3.49,4.1,6174.0,905244.6,0.09642396317280642,1.0825183405906076,563.6322463362875,1208.2258613101715,517.714941579825,560.341326989431,0.051356002457167524
304,Kepler-80 e,Kepler-80,0,7365000.0,1.6,4.13,4540.0,473512.56000000006,1.0080161854784833,1.6046158685103422,840.4671548582339,1801.6608501061928,771.9970012460559,835.559860007204,0.30338754941169077
318,Kepler-11 b,Kepler-11,0,13650000.0,1.97,4.3,5680.0,765976.2000000001,0.5622729345886684,1.4755609827689957,982.3701666581834,2105.8501326906503,902.3396314655829,976.634332684445,0.17946195247020685
321,K2-138 g,K2-138,0,34663500.0,3.013,4.32,5356.3,598854.12,0.15789331889321293,1.1959096101393667,514.013736890194,1101.8615311957722,472.1386923745309,511.01252863378636,0.0896966202723279
322,HD 219134 b,HD 219134,0,5730000.0,1.606,4.33612,4699.0,543146.76,1.0465068408467169,1.6410957624583635,1056.2634395288858,2264.2508697662283,970.2130572606228,1050.0961596915129,0.24601486826155813
323,HD 219134 c,HD 219134,0,9795000.0,1.511,4.36,4699.0,543146.76,1.2634861861666593,1.696551551658474,807.8808962865234,1731.8075715090167,742.0654402638395,803.1638651215625,0.2771587612721391
331,Kepler-36 b,Kepler-36,0,17295000.0,1.486,4.45,5911.0,1135037.46,1.3557542812744354,1.7283299228853226,1105.5828438085016,2369.974025427358,1015.5145684345217,1099.1275992871094,0.20921959761306896
338,pi Men c,HD 39091,0,10053000.0,2.06,4.52,5870.0,765976.2000000001,0.5169090972753783,1.479420578836179,1182.9963780721757,2535.920943334866,1086.6214712586968,1176.0891336886878,0.14226564301216177
341,HD 110113 b,HD 110113,0,5250000.000000001,2.05,4.55,5732.0,675451.74,0.5279918456809264,1.4879379342956496,1501.0985642770981,3217.8182095228217,1378.8088963359287,1492.3339942248538,0.11865085002075944
342,Kepler-10 b,Kepler-10,0,2526000.0,1.416,4.56,5627.0,738122.52,1.6056559184319066,1.7922840623726455,2220.8027527569398,4760.606470249433,2039.88110133409,2207.835995102269,0.10577341516590132
346,Kepler-10 b,Kepler-10,0,2530500.0,1.46,4.6,5643.0,738122.52,1.4776673117367851,1.7727950736233908,2225.136329724636,4769.896108658846,2043.861635736169,2212.1442693084987,0.10982618823353124
348,L 168-9 b,L 168-9,0,3136500.0,1.39,4.6,3800.0,417805.2,1.712343276123408,1.8168855209306045,1012.589426823062,2170.629413645917,930.0970257817186,1006.6771495237851,0.19612015185217496
349,Kepler-10 b,Kepler-10,0,2580000.0,1.481,4.60853,5627.0,738122.52,1.4183213658181006,1.7618126683492406,2197.438894491763,4710.522718016548,2018.4206213926743,2184.6085530440823,0.11325882380262003
350,HD 136352 b,HD 136352,0,14535000.0,1.482,4.62,5850.0,703305.42,1.4189750734985993,1.7634085176851473,939.5196057920999,2013.9938626731298,862.9799678557563,934.0339664101267,0.2286589206536966
351,HD 136352 b,HD 136352,0,14460000.0,1.664,4.72,5664.0,738122.52,1.0241402495676768,1.6820944837227632,934.3053662476692,2002.8163988115457,858.190515622185,928.8501716138585,0.26342695518645975
354,HD 219134 b,HD 219134,0,5814000.0,1.602,4.74,4699.0,543146.76,1.1525723806403863,1.7179636213576124,1048.6052918375485,2247.8345412993053,963.178794209845,1042.4827261671921,0.22892764509903293
356,TOI-178 c,TOI-178,0,5550000.0,1.669,4.77,4316.0,452622.3,1.0257151515848748,1.6884455874086084,899.8879474745622,1929.0377679551427,826.5769731656092,894.633708251031,0.26967709509162074
357,TOI-270 d,TOI-270,0,10815000.0,2.133,4.78,3506.0,264609.96,0.49241665325669437,1.4951148973720556,400.39372318711776,858.3008765121396,367.77493544091715,398.0559161177716,0.28480337616182727
363,Kepler-68 c,Kepler-68,0,13588500.0,0.953,4.8,5793.0,863464.08,5.544213388879366,2.241455992657745,1066.1674616007028,2285.48154930229,979.3102305356538,1059.942354451178,0.07913117921783658
365,pi Men c,HD 39091,0,10258500.000000002,2.042,4.82,6037.0,765976.2000000001,0.565922846396244,1.5344463147598604,1204.4045831041783,2581.8124747935954,1106.285618740527,1197.372341124156,0.14635364468938877
367,GJ 9827 b,GJ 9827,0,2820000.0,1.577,4.91,4340.0,417805.2,1.2515949840452862,1.7623044897054696,1219.6567199595024,2614.5075988015456,1120.2952131034274,1212.5354242523658,0.19283177763104886
368,TOI-1634 b,TOI-1634,0,2317500.0,1.79,4.91,3550.0,313353.9,0.85585422910399,1.6541324397378543,953.0628712855192,2043.025777937211,875.4199071056876,947.4981558841707,0.23369295627858716
369,Kepler-1655 b,Kepler-1655,0,15450000.0,2.213,5.0,6148.0,717232.26,0.4612147250234661,1.501240746447267,967.130415482168,2073.1815591473833,888.341413760568,961.4835629184047,0.14573369085963758
372,HD 3167 b,HD 3167,0,2722500.0,1.7,5.02,5261.0,598854.12,1.0214905537718892,1.7162614440490738,1801.4839434414964,3861.7369807163095,1654.7228456111864,1790.9654920912415,0.1505329892212253
378,Kepler-21 b,Kepler-21,0,6407550.0,1.639,5.08,6305.0,1323049.8,1.1534645546205826,1.7583220713010548,2091.764084497747,4483.993737189518,1921.3547979978412,2079.5507540158956,0.12503255736791813
388,GJ 9827 d,GJ 9827,0,8422500.0,2.07,5.2,4269.0,424768.62,0.5860972843483601,1.5829695007405682,699.9505754256155,1500.4435824340399,642.9278552118694,695.8637246368528,0.21948233580708928
395,K2-111 b,K2-111,0,8550000.0,1.82,5.29,5775.0,870427.5,0.8772409770298953,1.7027394192522496,1345.3049808422795,2883.852511577599,1235.7073146383739,1337.450053772981,0.1749541049433528
399,TOI-1246 d,TOI-1246,0,19650000.0,3.51,5.3,5151.0,598854.12,0.12252703437519827,1.227270866367902,656.5326223692437,1407.371026580732,603.0470230270414,652.699279045043,0.05352301248827485
400,TOI-776 c,TOI-776,0,15000000.0,2.02,5.3,3709.0,376024.68000000005,0.6428344799095894,1.6177756648838126,428.75075334054503,919.088202652598,393.82180963004885,426.2473760793621,0.3208392854369793
401,K2-141 b,K2-141,0,1074000.0,1.54,5.31,4373.0,466549.14,1.4534823433777282,1.854568796324586,2104.3188738479803,4510.906713292029,1932.8867890740312,2092.032238832123,0.10959902910514141
409,TOI-561 c,TOI-561,0,13213500.0,2.878,5.4,5455.0,591890.7,0.2264638012938471,1.3680675236348416,842.9311353720209,1806.942742683974,774.2602491990269,838.0094539041929,0.08277139466063112
427,K2-146 b,K2-146,0,3720000.0,2.25,5.6,3385.0,243719.69999999998,0.4914936084742444,1.5756465493626608,632.5837590875311,1356.0332329146784,581.0491965446342,628.8902476803673,0.19892429437262504
432,HD 28109 d,HD 28109,0,61650000.0,3.25,5.681,6120.0,1009695.9,0.1654444139184969,1.3204645987589194,571.8283661827357,1225.7954095843272,525.2433499259887,568.4895915729002,0.07785316942368734
433,HD 3167 b,HD 3167,0,2628000.0,1.574,5.69,5286.0,577963.86,1.4587319128386658,1.898933767934162,1809.8823172855627,3879.740089192289,1662.4370309728456,1799.314829757649,0.12115517318473532
434,CoRoT-24 b,CoRoT-24,0,8400000.0,3.7,5.7,4950.0,598854.12,0.11249859156894372,1.239631530216544,964.9650722123404,2068.5398379644207,886.352474036615,959.3308625910374,0.0357073604060979
435,EPIC 220674823 c,EPIC 220674823,0,16065000.0,2.77,5.7,5496.0,661524.9,0.26810996151826144,1.4326944930202892,814.2635122510625,1745.4896163552696,747.9280850516188,809.5092144561354,0.0973589977605566
437,CoRoT-7 b,CoRoT-7,0,2552400.0,1.585,5.74,5259.0,571000.44,1.4411244769864293,1.9006290423742687,1816.0698208666136,3893.003882902052,1668.1204585549456,1805.4662059251673,0.12108231647015219
441,EPIC 220674823 c,EPIC 220674823,0,15750000.0,2.5,5.8,5470.0,605817.54,0.37109522774121423,1.5212480715603673,783.2555592115413,1679.0196600811782,719.4462501305069,778.6823097388624,0.13326924890615546
442,HD 191939 d,HD 191939,0,31050000.0,3.04,5.8,5348.0,654561.48,0.20638809601266903,1.3795366830533773,566.9194218489667,1215.2723894158662,520.7343214850227,563.6093094386162,0.09680069798741006
450,Kepler-79 c,Kepler-79,0,28050000.0,3.72,5.9,6174.0,905244.6,0.11457783026091105,1.25779708567818,809.7830478468815,1735.88510384024,743.8126296596698,805.0549104554559,0.040904846067722204
451,TOI-1235 b,TOI-1235,0,5739000.0,1.694,5.9,3997.0,431732.04,1.2133586638097742,1.8639117713059685,800.4029729165593,1715.7775795005475,735.1967192391211,795.7296036301593,0.25044689581058804
455,Kepler-79 d,Kepler-79,0,43050000.0,7.16,6.0,6174.0,905244.6,0.016341412215580255,0.9142714585150996,653.6549221112998,1401.2022669057005,600.4037597456912,649.8383810185451,0.004649497686500284
461,Kepler-11 d,Kepler-11,0,23850000.0,3.43,6.1,5680.0,765976.2000000001,0.15112102017548945,1.3319070132547928,743.1856220172879,1593.124052273307,682.6406817328946,738.846331712838,0.0573559078610355
469,TOI-270 c,TOI-270,0,6789000.0,2.355,6.15,3506.0,264609.96,0.4707385694649483,1.613980006116442,505.3562231630216,1083.3029195339823,464.1864784218619,502.4055641425841,0.21384743156385866
474,Wolf 503 b,Wolf 503,0,8559000.0,2.043,6.26,4716.0,480475.98,0.733916472088551,1.7482721187337364,815.7998873732504,1748.783054882549,749.3392966382492,811.0366190365445,0.21345337844545378
475,GJ 1214 b,GJ 1214,0,2116500.0,2.847,6.26125,3026.0,153195.24,0.27125393376011786,1.481128835161938,594.3851357010934,1274.1490523307218,545.9624920427415,590.9146572902545,0.11783028173740422
476,TOI-1201 b,TOI-1201,0,4305000.0,2.415,6.28,3476.0,355134.42,0.44574413785202005,1.6105614606075729,728.911983753831,1562.5264791269944,669.5298708314044,724.6560339477585,0.15826638956987976
477,LTT 3780 c,LTT 3780,0,11430000.0,2.42,6.29,3360.0,264609.96,0.44369235871350393,1.6101772564077064,373.2542598587248,800.1235779835541,342.8464368269759,371.07491388792516,0.24178533909651642
482,K2-138 c,K2-138,0,6691499.999999999,2.299,6.31,5356.3,598854.12,0.5191464006154789,1.6546313258852627,1169.901210213273,2507.849589064117,1074.5931245714407,1163.0704255099,0.12470780754882703
492,LHS 1140 b,LHS 1140,0,14354999.999999998,1.635,6.38,2988.0,146231.82,1.4593007631036594,1.972911067599242,220.18384657954894,471.995382466879,202.24617737846648,218.89824362605574,0.3570275342171721
495,Kepler-87 c,Kepler-87,0,101400000.0,6.14,6.4,5600.0,1267342.44,0.027640905260147373,1.0196751833809097,457.0898271999723,979.8370369237125,419.8521903666507,454.42098458963267,0.011633328677409946
