,Name,Average
1,['Arrakis'],[0.2767952380952381]
4,['Dhrawn'],[0.2086142857142857]
0,['Earth'],[0.2824047619047619]
2,['Erid'],[0.3254]
5,['Hekla'],[0.33205714285714283]
3,['Mesklin'],[0.11096190476190476]
6,['Sarr'],[0.14285714285714285]
7,['Tenebra'],[0.27957380952380956]
