,Name,Average
1,['Arrakis'],[0.28887171052631583]
4,['Dhrawn'],[0.2032763157894737]
0,['Earth'],[0.29579934210526315]
2,['Erid'],[0.3342664473684211]
5,['Hekla'],[0.3424835526315789]
3,['Mesklin'],[0.10741447368421053]
6,['Sarr'],[0.14938815789473683]
7,['Tenebra'],[0.28449013157894737]
