,Name,Average
2,['Arrakis'],[0.047077132178139136]
6,['Dhrawn'],[0.015910255953100746]
0,['Earth'],[0.045554444051353386]
3,['Erid'],[0.0938407064098332]
5,['Habranah'],[0.0036167139458790757]
7,['Hekla'],[0.04442471770405055]
1,['Jupiter'],[0.06598501122683202]
4,['Mesklin'],[0.003969037627967373]
8,['Sarr'],[0.04591526842287263]
9,['Tenebra'],[0.10745035797970666]
