,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Tenebra
0,TOI-2196 b,3.51,0.600531564775078,2.718248543529487,571.6229748395587,0.7515928821658425
1,HD 20329 b,1.72,1.45647289043112,2.07440608369834,656.5457699989428,0.7307944604884112
2,HD 213885 b,1.745,1.659809517642129,2.2466668869220716,654.0143417108945,0.7241642687191223
3,TOI-132 b,3.42,0.5593112322636175,2.5560362243739303,467.37404006103725,0.6530998101423102
4,TOI-561 b,1.425,0.6903498638225222,1.1832148561360638,710.8014867365542,0.6349034814915137
