,Name,planetEarthRads,density,escapeVelocity,surfaceEarthTemp,similarityIndex_Sarr
0,LHS 1678 b,0.696,1.036869659283395,0.7082481529982575,891.6715804694944,0.8618701542943825
1,K2-266 c,0.705,0.827006890267024,0.6407045508707235,684.4096778400494,0.7211687645487653
2,L 98-59 b,0.85,0.6505595477858964,0.6851356738096475,628.6100636096577,0.6085605224928917
3,GJ 3473 b,1.264,0.9199316550151163,1.2115434203779671,792.4943908451648,0.5491810953114662
4,GJ 367 b,0.718,1.4733405804808477,0.870943831273646,1410.2310610625375,0.5407192285785665
